start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.584,159.104,-11.881,-36.786,43.2,-48.355,21.506,5.822,-27.718,6.293,-9.974,-3.975
0.12005,10.732,-32.657,-23.591,-180.776,74.391,19.479,50.233,-115.388,-58.54,77.785,-45.886,17.035
0.40245,25.67,-236.705,-36.054,-37.601,68.367,-46.933,5.479,12.708,-27.912,-9.478,4.418,-11.281
0.66272,25.187,-220.229,-49.128,-34.782,38.294,-55.818,13.249,18.434,-37.108,-17.639,3.772,5.518
0.89234,24.956,-242.482,-72.404,-53.407,59.281,-48.969,-2.785,12.28,-32.751,-13.049,5.009,-1.581
1.13029,25.001,-251.226,-70.729,-37.767,76.742,-66.566,-7.078,20.732,-23.122,-20.558,-2.73,-7.243
1.61252,24.377,-241.524,-81.548,-58.839,68.168,-43.069,-6.331,4.709,-25.472,-3.669,9.589,-6.61
1.85778,24.927,-237.021,-67.137,-47.103,54.739,-56.902,-2.918,11.503,-34.501,-18.953,0.441,-2.255
2.11188,25.313,-242.358,-61.625,-47.467,61.344,-57.589,11.754,9.651,-23.234,-4.035,1.07,-17.002
2.30635,25.734,-242.011,-57.163,-47.637,56.727,-47.841,18.587,19.57,-20.229,-6.633,4.571,-14.591
2.80417,25.004,-233.414,-48.388,-46.695,64.101,-51.925,14.836,7.88,-24.13,-10.429,-2.603,-12.443
3.27488,25.851,-251.085,-55.711,-39.186,69.129,-61.609,4.074,12.192,-22.389,-14.872,2.424,-12.588
3.51166,25.795,-251.559,-52.958,-42.24,73.336,-62.202,9.23,10.342,-19.275,-7.967,-1.321,-18.012
3.73374,26.306,-260.599,-76.911,-49.837,55.555,-57.255,14.509,14.99,-18.479,-7.266,-5.957,-14.273
3.98231,26.908,-255.427,-56.079,-51.025,49.251,-57.1,9.824,11.119,-24.765,-15.076,1.783,-9.491
4.21601,27.81,-244.726,-52.175,-45.315,37.275,-49.056,5.22,15.102,-31.41,-13.99,12.065,4.384
4.4571,28.2,-259.212,-70.798,-50.817,49.87,-56.765,-7.469,11.528,-24.048,-16.24,7.052,4.146
4.69066,28.086,-244.855,-53.162,-36.544,56.364,-57.273,-10.829,25.17,-19.673,-20.505,-0.138,0.954
5.16163,26.774,-197.602,-52.895,-45.902,44.782,-58.326,20.308,21.536,-1.921,-8.163,1.343,2.65
5.62689,28.004,-183.918,-49.529,-40.862,51.357,-46.389,-12.72,7.958,-0.72,9.034,7.135,6.071
5.83338,28.473,-138.301,-50.886,-55.198,53.78,-57.621,-26.28,-15.083,-0.975,17.372,-6.84,3.781
5.94422,29.44,-136.01,-38.913,-49.134,43.602,-47.647,-29.738,-5.614,10.001,-2.717,7.141,-0.402
