start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,12.482,3.693,58.363,-269.201,60.79,5.942,69.999,-175.076,-51.538,77.36,-14.298,8.628
0.31986,32.087,-200.103,-43.849,-13.48,38.963,0.13,3.971,18.906,23.555,-35.611,-26.326,11.734
0.53283,36.119,-131.875,-49.84,16.074,11.422,65.273,-16.593,13.106,8.977,-27.141,2.262,-19.199
0.7429,35.807,-136.298,-76.95,68.8,9.148,1.61,3.565,-26.85,5.218,-1.406,4.637,0.395
0.94163,34.466,-119.907,-96.264,67.96,-14.259,18.064,-14.655,0.2,19.341,-21.253,30.064,-7.253
1.13991,26.421,-158.916,-124.062,-17.424,-1.535,-23.65,-26.212,-15.947,15.365,10.671,2.342,-1.655
1.35202,40.84,-104.021,-30.725,45.672,44.418,32.071,-16.989,-21.452,33.479,-60.677,-24.301,-24.829
1.73256,35.561,-134.047,-60.947,-75.673,75.112,16.073,11.99,71.184,30.142,-66.122,-50.557,-16.389
1.96762,41.502,-49.733,-14.441,-21.911,7.476,2.591,-23.222,44.761,43.978,-12.799,1.6,-36.066
2.17274,36.202,44.947,-137.298,30.073,29.24,-52.011,-33.16,9.438,3.466,-5.111,-29.459,-13.78
2.35578,40.937,-19.931,-71.42,-7.581,59.895,62.635,-13.859,16.891,20.026,-4.16,8.326,-26.572
2.77556,38.113,-46.702,-116.597,-22.905,29.068,-66.104,-31.485,-14.983,-14.164,1.57,-23.326,-11.179
2.97923,42.242,-19.129,-77.06,85.714,68.428,-34.622,-25.732,-12.769,2.359,21.079,-28.085,-16.022
3.19311,36.806,-59.972,-71.704,-14.209,11.721,-49.917,-31.912,31.952,-1.183,7.557,9.059,-1.276
3.36916,37.017,-75.992,-128.959,53.42,38.27,-20.369,-13.355,-40.231,-15.139,30.167,-18.765,-9.324
3.57483,37.241,-118.439,-105.254,39.712,39.584,-58.677,-23.878,-36.699,-5.382,2.637,-16.955,9.281
3.77764,43.095,2.238,-65.108,63.825,8.301,-9.972,-23.582,-28.83,-34.398,-13.538,-26.511,-16.016
3.97628,40.094,-24.174,-76.313,11.925,0.557,5.602,-13.275,16.124,-4.095,-13.849,37.335,-13.884
4.1707,36.879,-41.268,-127.566,17.369,27.155,-33.664,-8.897,-3.207,-21.789,26.415,13.295,-19.742
4.38195,35.815,-73.312,-142.818,23.771,9.141,-81.754,-22.953,4.07,-22.609,-3.655,-20.421,-2.258
4.58694,44.27,-0.216,-62.388,53.232,47.348,-10.44,-26.521,-36.817,19.324,-12.585,-38.332,-22.667
4.9922,39.756,1.586,-129.05,24.42,56.573,18.885,-17.303,-13.152,27.139,-25.815,6.617,-2.533
5.16458,36.379,-117.199,-100.363,8.668,57.949,17.714,-6.421,29.06,2.012,19.827,-47.021,-7.004
5.3785,31.159,-10.046,-170.271,4.995,49.846,4.256,-10.384,-4.2,2.239,-21.436,-6.107,-7.412
5.57007,39.544,-10.012,-59.495,-56.631,74.626,124.733,0.396,32.941,28.226,-23.275,-7.05,-27.238
5.9985,36.63,-82.391,-105.611,9.515,-5.785,-41.917,-25.585,-20.962,1.713,26.029,-16.99,-4.923
6.19655,42.361,34.49,-111.454,52.133,60.051,29.227,-19.991,10.438,23.643,-2.499,23.088,-22.077
6.40363,34.723,-52.894,-129.432,3.476,41.957,-41.687,-32.192,5.375,2.053,19.184,-19.314,-1.057
6.61932,38.921,-15.426,-134.566,55.961,50.044,-61.249,-22.839,-20.432,-4.275,-11.414,-18.166,-3.064
6.82218,37.794,-100.416,-94.816,50.064,17.542,-62.541,-20.138,-32.418,-16.234,-0.956,-9.853,2.382
7.01324,42.787,10.151,-69.321,71.817,29.323,4.702,-30.298,-13.932,-30.567,-14.305,-25.858,-11.813
7.20757,39.944,-18.174,-84.808,47.48,-20.135,-50.37,-29.867,-23.034,-2.508,35.946,13.274,3.822
7.41565,37.258,-41.847,-125.739,19.111,4.781,-70.773,-24.577,-49.036,-8.253,9.411,-12.749,-4.062
7.61007,37.643,-49.723,-138.506,20.432,20.872,-95.241,-16.524,-3.588,-19.728,-9.554,-29.921,-2.135
7.81587,41.714,-21.559,-82.568,42.212,66.796,51.429,-10.591,-20.429,10.176,-12.226,-10.455,-24.428
8.23746,40.633,28.952,-128.715,46.337,44.231,-18.754,-25.3,2.137,1.105,-0.707,-16.878,-5.566
8.42639,38.432,-99.24,-78.725,40.88,58.861,-20.16,-7.514,20.355,19.629,6.534,-28.688,-20.992
8.63819,33.144,43.822,-134.848,3.122,32.516,-34.897,-23.41,5.541,0.372,-19.137,1.918,-11.968
8.83039,42.191,21.367,-84.162,0.675,88.086,77.34,-1.47,6.271,27.54,-9.351,-2.282,-22.451
9.24803,37.632,-83.575,-101.736,25.953,42.603,-60.521,-14.243,22.145,14.729,8.029,-0.816,-16.882
9.41261,37.918,7.249,-76.341,-54.166,45.381,62.543,-30.589,79.637,10.914,-29.708,-58.373,-7.152
9.64086,37.828,-57.634,-97.355,2.524,58.22,-36.67,-27.895,39.667,2.41,17.845,11.297,-22.207
9.84576,38.008,-66.24,-97.126,56.486,35.518,-20.609,-0.179,-14.876,-10.461,0.519,13.104,-17.099
10.04327,38.901,-70.461,-86.353,35.063,21.934,-6.222,-16.254,-6.201,2.8,-16.415,1.453,-9.778
10.24712,42.583,3.009,-76.606,82.474,32.967,-2.524,-34.061,-22.103,-29.936,-21.568,-27.796,-6.714
10.44948,39.191,-15.212,-64.131,28.79,-1.155,-54.976,-38.534,7.589,-3.007,32.997,4.739,-3.458
10.64644,36.839,-85.582,-105.841,45.096,-7.281,-45.05,-19.082,-38.215,-2.513,18.984,3.265,-12.508
10.85279,36.236,-90.311,-136.088,70.679,6.283,-73.077,-9.246,-50.483,-8.372,-1.181,-40.698,13.158
11.021,39.323,-77.069,-72.243,-5.749,48.736,108.854,-1.783,-0.414,35.852,-48.955,-3.478,-23.475
11.44812,39.312,-1.397,-116.546,41.494,47.719,23.823,-26.829,-14.961,11.043,-30.649,5.709,-9.53
11.66145,40.381,-31.36,-69.265,58.8,-0.084,-7.424,-36.068,52.648,13.632,21.309,-27.805,-16.826
12.05156,41.832,-27.959,-73.424,20.627,52.078,52.985,-6.972,-13.868,29.589,-18.691,38.124,-29.728
12.4693,38.495,-41.904,-97.051,-2.746,6.552,-79.154,-32.246,-4.081,-10.232,3.117,-9.884,-16.61
12.66626,42.633,25.804,-81.152,90.259,35.986,-21.456,-35.249,-17.439,1.393,-7.14,-50.516,8.519
12.87619,31.403,-77.169,-97.305,-46.799,11.847,-21.994,-22.327,0.263,11.256,-3.338,-20.441,7.906
13.07306,35.809,-63.443,-85.278,72.378,-28.263,-35.461,-5.888,-32.43,-9.515,-6.909,-30.901,20.125
13.25678,35.88,-89.708,-97.757,32.951,18.301,72.469,4.016,-36.024,17.888,-13.738,1.907,5.094
13.47959,39.07,-59.381,-73.362,77.627,16.115,-29.153,-19.595,-51.377,-16.046,7.327,-23.416,-7.935
13.67592,39.816,-25.259,-108.483,95.175,21.843,-23.313,-17.324,-40.895,15.799,-13.956,7.893,-2.86
13.86249,39.09,-27.805,-125.352,20.336,30.527,-4.899,-8.341,26.745,13.232,-2.241,31.88,-2.655
14.05923,37.653,7.151,-124.34,-27.804,30.527,-7.941,-18.94,29.264,13.901,-13.522,7.535,-9.439
14.25741,52.338,16.974,77.558,15.947,28.248,-10.856,-9.92,6.931,-23.645,5.243,2.19,-15.653
14.4483,48.531,55.567,-18.466,37.391,48.157,5.892,-34.2,-17.427,41.348,13.574,-38.554,23.328
14.60617,46.714,63.023,22.662,-102.632,-1.664,40.378,-0.436,13.485,-8.137,-17.47,-50.371,17.743
14.8605,51.898,37.137,52.921,-9.21,-1.043,23.461,13.858,10.8,-29.6,28.103,-5.604,-16.508
15.08689,48.821,52.544,5.678,95.289,11.984,-18.043,-12.902,22.43,1.335,-24.472,-48.025,20.813
15.26694,51.653,44.807,67.489,12.205,22.951,17.647,24.528,-13.125,-33.842,51.415,31.306,1.892
15.69719,50.878,22.312,36.639,28.972,-32.43,5.377,-1.273,-5.498,-38.072,-14.758,-27.846,-10.119
15.84998,47.498,-0.054,70.814,-44.782,3.846,29.262,61.523,15.569,-21.156,-5.312,-28.822,-2.982
16.08376,45.913,72.706,-4.262,-41.255,18.304,35.461,3.633,-32.949,-16.968,3.667,-51.127,0.897
16.29007,50.677,23.344,16.945,31.699,26.696,24.675,23.799,-15.056,3.796,26.084,24.1,13.118
16.51374,49.752,-13.827,29.257,13.053,31.103,-37.729,15.735,12.028,5.294,3.375,-18.299,29.784
16.70082,48.657,96.051,-22.443,16.87,20.94,45.426,-22.739,29.494,7.565,1.945,-25.609,28.076
16.9107,50.171,12.724,3.396,42.036,28.205,13.407,1.859,10.51,19.229,21.002,-38.703,22.766
17.10794,49.719,105.127,-32.349,6.505,-12.865,68.744,-11.005,-4.484,-4.253,-5.564,-30.141,31.026
17.28009,49.209,70.485,30.707,-66.788,-8.689,67.643,25.001,-24.2,-10.574,-11.034,-17.53,15.115
17.52508,51.644,36.586,10.047,22.821,52.828,-13.421,-10.878,-9.781,38.897,4.513,-27.025,24.564
17.75737,48.106,-9.1,1.423,-19.357,40.062,-19.677,-11.351,21.716,30.453,-28.839,5.804,8.153
17.90825,47.177,-24.465,-6.022,0.305,37.175,-25.799,8.575,24.241,43.572,-9.05,-19.545,8.286
18.32902,39.734,45.704,-116.762,62.589,28.289,-32.918,-23.358,-2.441,6.665,-19.367,8.392,8.889
18.51261,42.672,-22.473,-4.051,16.414,24.276,13.285,-15.842,-16.388,16.278,33.861,1.692,-20.086
18.72086,40.491,-31.721,-84.481,22.066,47.479,-38.689,-3.869,-34.394,11.747,-6.588,-28.923,-18.167
18.93642,40.411,-69.868,-47.959,25.519,-25.654,-48.385,-26.315,-7.123,1.435,7.82,-5.155,-24.477
19.12916,39.842,39.784,-117.463,96.805,10.995,-15.996,-41.134,-17.663,16.935,-25.348,-12.603,-10.513
19.34231,38.02,-92.282,-63.932,8.378,44.85,-58.49,-27.083,28.173,16.999,27.465,5.115,-13.757
19.52018,41.082,1.443,-80.083,62.949,-3.29,-43.096,9.98,-21.453,-18.709,-16.355,-8.361,19.628
19.73651,39.071,-101.649,-73.024,66.794,17.045,-45.771,-16.561,-43.629,-4.916,-7.003,-45.975,6.386
19.93569,43.173,-5.977,-73.19,61.105,15.749,-21.824,-31.431,-31.702,-36.603,-16.735,-35.546,-12.62
20.13156,38.788,-44.701,-38.597,29.658,23.973,-74.011,-31.559,2.787,-7.769,20.866,-14.621,15.61
20.33338,37.634,-31.795,-136.415,14.716,9.12,-69.2,-20.583,-46.646,-2.389,-10.45,-30.246,0.543
20.53914,45.966,40.842,-11.737,-115.88,-29.483,-21.733,0.93,31.165,-13.951,7.79,24.931,19.085
20.73528,53.635,62.998,61.857,21.898,-10.846,-13.616,-18.866,15.609,-38.801,-1.374,-20.155,0.416
20.91025,51.955,66.375,62.11,-1.436,-2.339,1.051,-15.255,13.087,-28.557,9.084,-0.694,14.66
21.10689,50.158,-16.667,54.049,-1.313,42.413,-29.317,39.929,20.143,23.55,10.054,-6.068,-1.933
21.29796,50.527,19.239,41.25,-3.915,5.793,-13.218,-9.036,17.782,6.029,2.245,-16.414,0.48
21.50794,49.365,44.381,25.33,71.023,6.924,13.016,-12.657,14.076,-31.761,11.589,-53.422,5.096
21.71587,50.745,44.506,49.697,16.374,-6.383,30.619,-20.023,22.793,-42.246,25.235,19.014,-25.325
22.10966,49.853,41.118,18.589,-37.87,-11.848,39.553,-16.435,32.781,-13.963,-16.827,-20.037,-26.448
22.33188,46.102,39.039,-26.36,37.758,1.001,-0.541,-40.804,-3.305,-16.471,-17.693,-23.363,-8.243
22.5346,50.244,24.225,40.162,56.43,25.664,3.985,17.265,-10.265,-31.528,38.639,-25.849,18.02
22.95338,48.228,20.185,-32.134,10.236,4.861,38.105,-19.055,19.743,-6.609,-28.124,-39.801,23.202
23.13247,47.793,16.743,15.443,9.605,28.348,77.631,-4.459,-0.391,-32.548,13.108,-28.966,-0.686
23.35342,44.275,33.459,-56.647,-33.373,8.44,-54.353,-19.326,50.904,-11.262,-4.067,-5.807,11.573
23.53909,49.405,31.452,-21.318,1.213,5.65,6.574,6.49,39.662,-13.76,31.998,-8.342,16.645
23.8946,46.272,75.421,-16.618,-76.632,18.209,10.447,5.845,-68.272,-21.957,30.827,-46.529,12.886
24.32132,45.718,-12.833,-11.883,-38.712,16.708,35.295,17.913,-3.788,-5.272,-23.191,-16.059,-3.967
24.53025,44.397,-42.941,-34.742,-59.393,22.302,20.807,-2.523,16.534,34.261,-4.681,0.572,-9.755
24.75252,39.955,64.255,-100.534,63.747,22.037,-75.713,-15.719,-17.54,3.05,-24.373,-26.1,9.694
24.94789,44.915,-15.133,-17.424,-14.857,-2.47,13.16,-25.74,2.54,19.115,21.188,16.222,-36.931
25.14703,42.758,-10.514,-82.866,-8.227,14.617,-48.773,-20.574,-43.218,1.272,-1.934,-32.134,-24.525
25.34685,42.187,-77.848,-56.158,12.143,10.454,-14.177,-20.988,-19.77,12.077,32.121,-0.317,-26.111
25.55406,41.653,-1.617,-82.358,63.314,71.97,-73.64,-32.008,-44.923,5.217,-7.562,-36.193,-11.562
25.74599,36.141,-102.253,-96.012,21.286,40.094,-51.842,-36.321,-27.136,-7.738,35.278,-12.505,-9.301
25.85542,34.078,-18.509,-135.765,-4.528,1.188,-75.334,-42.06,-30.292,1.161,14.691,3.694,-7.982
25.94227,42.548,-1.288,-94.347,35.641,30.404,-43.881,-8.22,-22.318,-11.182,-0.348,-22.804,-11.596
26.14943,43.502,-56.252,-76.591,16.481,37.539,-72.925,-8.457,-19.314,-9.817,3.852,-29.247,-16.627
26.33211,41.373,-16.928,-129.655,45.699,24.465,-14.49,-23.976,-25.373,13.665,-27.658,-33.072,-4.816
26.53846,41.593,-48.674,-73.612,18.906,-20.094,-39.988,-33.924,10.511,-25.748,8.623,-7.673,1.947
26.73156,43.022,-47.753,-78.343,33.82,26.872,-58.385,-19.688,-40.836,-14.915,-10.915,-31.855,-16.731
26.94163,37.733,-112.49,-133.339,40.798,14.342,-104.532,-24.114,-28.147,-1.833,11.0,-29.828,12.384
27.11206,50.823,21.063,60.69,15.721,24.262,22.721,-13.436,13.041,-26.706,-10.695,10.017,-17.748
27.32367,46.581,34.881,-34.017,45.308,30.479,-27.526,-50.883,-28.446,18.318,14.164,-7.595,14.531
27.51478,51.779,104.075,17.763,-22.448,-15.207,39.466,-12.421,37.173,-13.73,-18.093,33.862,13.735
27.66626,51.988,84.953,37.978,-4.784,-7.943,-12.388,-18.666,-44.864,-29.434,6.499,-18.172,8.483
27.92848,50.456,108.927,-25.029,47.487,19.523,-36.802,-56.155,21.634,-4.352,-7.495,-27.201,16.026
28.11315,49.648,63.947,9.565,-36.393,46.319,61.064,13.363,-37.651,-10.499,34.561,-38.818,24.366
28.33982,49.369,-0.773,33.398,-24.464,17.999,-26.055,41.254,4.282,-13.719,8.154,10.316,14.472
28.51397,49.504,33.167,10.851,24.684,47.272,-24.391,6.955,48.34,7.993,8.946,-34.156,29.3
28.9844,49.183,27.707,-15.351,84.33,42.324,-27.2,-4.021,3.773,3.816,44.178,-31.026,28.721
29.33873,50.096,-9.016,32.126,-39.648,16.325,-2.27,16.216,19.299,6.54,5.031,19.092,-6.07
29.4951,50.495,22.48,32.879,25.444,-10.775,-10.308,-19.03,3.878,-25.927,-14.061,-44.808,-24.872
29.75048,48.856,69.294,-6.868,-21.855,-25.072,24.188,-27.449,-4.556,-23.06,-16.546,-5.217,7.172
29.89247,47.926,64.891,-10.951,-32.85,18.331,1.919,7.516,-31.555,-7.794,26.652,-53.228,55.726
30.31964,45.42,4.093,26.538,-90.814,32.357,40.07,6.158,-5.534,11.453,-19.269,-35.1,18.1
30.59728,50.403,29.539,22.418,-11.271,7.767,16.835,1.657,6.231,-10.122,-6.983,22.302,0.457
30.96893,50.04,-13.248,52.171,0.032,-25.259,1.608,15.28,7.436,-16.732,-9.644,-2.656,-27.25
31.17796,48.721,37.276,31.829,-15.292,15.058,-20.936,-23.923,-19.062,-36.784,-1.983,-16.665,-28.137
31.41057,48.493,39.144,40.763,-34.22,-25.155,-9.107,-59.699,-14.273,-10.067,-17.849,5.001,-48.524
31.53986,47.377,29.41,-16.59,27.818,-15.981,-8.679,-61.09,-10.847,-8.467,-16.62,-42.77,-30.277
31.74667,40.121,-32.402,-61.394,1.919,-11.555,-15.6,-41.75,-13.942,3.393,-10.178,-3.208,-16.111
31.97297,41.792,36.929,-79.143,55.457,52.612,-37.208,-61.682,-40.057,-11.331,-15.339,-25.447,-5.865
32.16966,35.95,-32.923,-89.292,-36.122,28.574,-32.181,-35.408,1.652,-23.37,18.827,-6.853,-6.412
32.36458,40.546,4.175,-113.931,36.22,31.352,-5.967,0.25,-18.845,-24.203,5.85,1.248,8.736
32.56794,38.026,-66.164,-121.731,30.015,12.427,-20.853,-13.347,-22.677,-19.366,24.782,0.944,1.327
32.75147,39.953,44.514,-135.106,3.443,39.941,22.699,-22.669,-5.571,5.849,-13.035,7.18,0.871
32.97342,40.719,22.762,-67.384,10.493,-8.721,-46.44,-3.341,5.745,-22.075,30.257,21.312,15.563
33.14585,38.313,-58.624,-112.673,45.328,-12.69,-89.564,-17.531,-35.003,-7.573,-5.379,-14.718,10.841
33.34943,50.61,26.538,21.705,7.009,-26.679,-5.847,11.837,22.45,-25.837,-19.35,-6.48,-9.929
33.53107,50.537,59.94,12.399,54.166,-9.401,1.516,-32.207,-11.889,-43.043,-3.835,-34.226,-4.921
33.72653,46.418,26.959,33.37,-24.562,-7.654,30.207,-22.012,7.122,-25.111,-27.252,-32.887,-19.38
33.93633,50.882,39.593,11.931,48.643,31.057,-23.127,-3.566,-6.515,-4.352,34.403,-25.334,19.977
34.1741,52.636,77.529,29.33,21.909,-1.53,-15.558,-17.929,-19.174,-13.723,-10.304,6.679,-28.251
34.58095,48.342,-5.22,21.334,44.765,20.363,-2.125,-28.676,35.067,-12.192,-2.616,-39.446,-11.91
34.94526,45.04,1.042,2.315,-65.061,22.885,21.11,-0.702,44.115,-1.502,13.555,-38.585,-7.477
35.35093,44.458,23.633,-3.219,-30.169,19.177,94.095,1.282,2.419,5.986,6.737,-58.017,-7.102
35.56721,48.595,-1.565,4.011,-7.655,55.733,-27.785,17.372,-19.561,30.189,20.84,-0.282,-5.139
35.70635,47.854,-10.388,-3.747,-4.688,46.606,-28.262,2.924,-8.107,46.956,12.589,-20.171,15.592
35.91751,47.217,31.548,40.768,-68.77,-4.5,8.508,-28.669,-11.171,-15.543,-16.615,-31.22,-3.794
36.16308,46.713,74.272,-29.426,10.983,-7.909,72.141,-30.326,20.423,-1.986,-32.568,-34.803,2.23
36.36744,49.981,42.718,-2.07,-2.113,12.35,-14.612,23.896,6.467,1.18,24.617,4.141,20.947
36.57819,49.709,47.39,-29.147,17.614,20.712,10.588,-19.467,16.201,23.859,-2.21,-32.309,25.335
36.77501,51.188,61.094,58.266,21.199,-1.184,-16.665,-25.218,-12.624,-43.097,-3.424,2.422,-11.157
36.93102,48.163,44.04,12.883,20.942,-18.015,4.064,-47.813,8.501,-18.56,-29.185,-40.64,-35.556
37.36653,44.346,6.295,-34.662,-46.858,0.889,4.136,-14.411,21.243,19.756,18.94,5.539,-25.516
37.55946,41.297,47.83,-102.881,52.919,0.067,-24.063,-33.45,2.309,-2.788,-18.913,-37.169,-13.707
37.76549,43.603,25.095,-19.873,-8.131,-0.367,56.643,-11.478,16.86,5.311,24.192,-0.516,-37.209
38.15156,39.41,-57.158,-69.243,0.064,19.492,29.128,-16.328,-16.564,15.104,-5.404,-16.462,-20.455
38.35864,40.62,53.674,-92.662,62.48,39.316,48.475,-39.822,25.862,5.749,-29.672,-17.824,-15.354
38.56952,38.925,-68.522,-85.721,-17.534,38.194,-67.256,-12.667,20.251,15.091,6.402,23.062,-22.075
38.7605,43.844,49.577,-91.606,21.944,9.437,10.607,-18.419,-16.655,-1.957,-6.883,-57.692,-13.234
38.96785,39.083,10.258,-134.875,89.735,-8.674,-91.519,-39.722,-21.974,-3.955,0.158,-31.956,7.895
39.16227,40.576,34.865,-84.264,-5.592,4.105,-18.226,-27.706,-5.914,8.389,21.591,24.037,-7.724
39.27075,40.977,54.021,-83.451,17.621,18.626,-94.676,-24.611,-25.298,-7.37,-12.149,16.4,16.309
39.35764,39.809,15.699,-112.835,17.057,5.464,-77.395,-40.936,-39.306,-8.968,8.657,-10.5,16.181
39.45501,37.641,25.613,-105.23,23.59,5.978,-69.881,-45.34,-40.475,-12.915,-0.144,1.11,7.82
39.55574,47.475,-7.133,-22.045,3.872,-9.271,-9.892,-41.009,-3.04,2.149,5.224,-9.785,-22.893
39.74109,46.906,-50.134,-6.715,29.915,18.698,5.059,0.699,24.979,14.133,5.568,-29.968,18.858
39.92045,50.212,67.457,27.003,-23.394,1.535,21.169,-10.38,0.449,-32.968,-16.561,2.638,10.849
40.12358,47.998,75.291,2.618,5.634,-7.22,36.223,-33.139,-35.012,-23.706,-0.081,-49.922,11.311
40.3098,50.42,33.4,71.887,-17.341,20.333,1.986,22.747,2.202,-30.685,19.478,-0.648,17.585
40.54803,52.326,49.391,52.272,8.393,47.483,-22.575,15.276,-14.157,10.829,49.159,-9.623,15.568
40.76249,50.979,42.543,34.923,-46.285,16.673,-26.187,-15.33,5.547,14.184,2.144,5.793,6.234
41.31982,51.017,51.941,34.969,13.971,-48.565,8.096,-17.098,-2.319,-47.549,-15.379,-33.542,4.363
41.55778,52.155,31.868,53.121,18.364,-9.032,19.997,2.143,-24.086,-33.882,10.942,-3.122,-16.027
41.98766,50.117,61.625,18.485,-5.657,-5.665,9.515,-43.731,-13.754,-10.977,-15.104,-30.065,-27.794
42.382,42.83,-1.904,-70.594,-20.708,24.727,-21.089,-16.568,-26.747,-3.35,14.968,-13.841,-16.002
42.60857,41.277,-5.348,-84.756,-56.823,22.615,-45.898,-47.017,-12.601,-1.073,-3.929,16.643,-2.476
42.71043,40.136,-14.781,-91.8,-0.61,-0.418,-67.677,-38.114,-51.803,-6.673,24.117,-3.422,3.976
42.78844,44.426,-18.551,-76.923,4.525,16.28,19.906,-15.876,5.006,5.498,13.553,-31.476,-1.317
42.99129,44.705,-27.693,-53.683,6.339,7.269,29.276,-18.083,9.844,-13.181,10.411,-6.282,-9.914
43.13941,48.895,49.242,40.763,-66.145,-23.79,41.105,16.817,-5.422,-45.062,-23.865,14.824,7.813
43.37483,49.089,60.216,-12.669,24.304,-33.398,9.601,-25.46,-21.996,-31.619,6.226,-43.713,16.176
43.55551,49.479,12.763,44.698,-15.129,10.633,-1.116,31.284,-18.461,-35.924,19.207,2.366,14.447
43.81029,51.06,-27.848,35.902,13.232,4.394,-52.946,32.989,26.06,6.609,23.131,-2.958,16.678
44.01483,46.787,40.929,-28.599,52.321,24.362,-43.095,-9.723,14.757,23.382,-9.637,-30.513,21.763
44.15238,48.29,73.75,29.89,-39.703,15.936,65.372,26.413,-42.745,-33.386,41.853,-42.379,20.861
44.59424,49.475,-36.19,27.709,-11.841,15.993,-23.625,29.535,-12.035,-15.686,19.527,-2.31,-10.906
44.82073,48.122,15.271,-37.505,56.965,47.199,-49.723,30.138,29.575,9.987,-15.951,-17.82,15.839
44.97179,46.984,72.803,12.111,-86.774,-3.213,6.294,7.7,-41.075,-12.147,-1.89,-5.974,-9.665
45.37728,48.803,9.031,21.062,22.19,3.003,27.216,21.423,-24.436,-25.662,6.668,-27.907,-3.504
45.6234,45.899,-13.628,-16.064,-13.26,18.544,-24.746,-21.696,18.448,-6.634,7.857,-52.795,6.23
45.80776,49.152,-7.245,19.302,14.887,13.167,21.002,7.311,10.192,-27.231,24.565,-20.422,-0.664
46.38531,44.085,12.874,-9.578,-46.533,26.556,30.363,-14.387,-7.992,0.574,-15.911,-28.157,-15.816
46.62617,48.451,49.806,-10.505,2.01,-14.258,-8.333,-32.465,5.46,19.722,17.819,6.533,2.623
46.78349,50.163,37.056,53.543,17.149,29.791,17.895,20.509,-7.684,-20.811,21.503,-25.178,0.663
