start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.30027,35.842,170.824,99.448,151.728,44.689,57.756,27.185,16.497,-0.642,56.275,92.513,-16.519
0.52218,37.371,139.221,117.761,143.027,5.965,-111.68,-23.06,16.736,-1.408,14.976,-29.454,0.489
0.72562,38.876,154.754,109.21,116.008,11.486,-102.956,-17.69,16.598,-6.457,12.397,-26.931,7.546
0.90535,36.882,164.264,127.987,147.013,13.069,-97.973,2.581,14.414,-0.222,18.32,-25.95,-5.737
1.09732,38.53,150.236,120.455,144.171,21.455,-88.936,-6.125,23.903,7.817,13.233,-10.918,-10.901
1.30023,34.197,153.342,105.338,142.923,10.191,-102.303,-4.023,3.851,3.951,15.309,-28.77,-0.89
1.49769,39.616,164.861,124.284,142.476,22.482,-84.74,2.737,19.459,1.5,10.283,-13.481,1.348
1.70649,35.953,164.938,127.348,138.251,1.314,-103.307,9.961,18.556,-14.511,7.38,-30.249,12.253
1.90385,38.227,183.641,115.429,145.61,9.968,-96.448,2.358,8.576,-10.128,17.951,-21.104,9.075
2.1132,38.682,184.432,132.228,125.63,11.763,-100.636,7.741,19.842,-2.059,9.579,-27.688,5.506
2.30467,33.498,149.14,117.214,156.244,1.245,-92.143,20.653,-1.242,-21.922,11.187,-30.529,6.929
2.51365,38.603,181.183,130.528,133.942,24.203,-107.626,-2.989,17.295,-3.486,19.719,-33.591,3.455
2.72249,40.799,181.779,113.644,98.742,-2.974,-117.311,-9.606,16.82,-8.12,20.947,-12.276,12.887
2.8444,41.241,180.605,116.718,112.591,16.418,-78.82,6.225,19.161,1.113,13.365,-48.839,13.903
3.12281,42.678,194.508,99.275,135.664,25.341,24.936,18.364,14.927,-2.139,25.568,36.696,-1.923
3.33782,39.969,199.706,131.947,107.187,42.262,-56.021,12.091,-10.962,8.837,34.43,42.376,-7.101
3.4424,41.412,191.572,124.101,94.431,16.853,-111.582,11.5,-0.384,0.07,26.723,-17.401,12.236
3.54676,37.913,192.874,103.59,130.896,10.004,-80.017,3.431,2.507,-0.442,24.307,-6.274,3.87
3.721,42.153,209.283,108.076,130.059,33.659,32.899,30.228,6.766,12.768,9.428,29.326,-7.456
3.94762,41.826,205.115,136.407,63.886,39.629,19.992,21.775,-12.702,-0.612,29.164,13.893,1.281
4.15619,42.837,213.256,125.113,97.092,29.019,-34.112,9.038,-2.569,0.845,37.073,7.111,5.52
4.37125,39.651,154.548,128.33,93.231,8.393,-109.014,-9.528,-0.368,-10.741,18.837,-11.081,4.69
4.46385,38.818,201.152,148.457,119.462,21.418,-99.944,14.658,-3.45,4.491,26.339,-19.996,-2.178
4.54508,40.976,196.704,137.711,86.873,44.621,29.52,21.169,-10.083,5.683,19.428,28.834,-10.35
4.75401,39.35,203.842,110.299,123.44,35.648,-2.054,18.39,-15.635,7.918,20.736,2.57,-2.272
4.87619,38.153,143.188,126.766,103.555,7.595,-104.635,-7.233,5.495,-8.044,13.616,-11.586,2.088
