start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.21696,31.24,-137.554,5.754,-39.622,42.581,169.688,30.225,16.426,-39.094,83.859,43.622,-9.81
0.9127,34.907,-161.426,40.791,24.279,30.043,22.69,37.877,39.504,1.366,0.607,3.608,2.286
1.20177,31.717,-201.09,12.959,-7.974,25.463,-32.49,-29.037,12.785,-12.505,1.641,0.049,-16.905
1.44535,29.825,-198.039,18.124,22.388,67.966,-39.794,-38.292,10.714,-6.573,3.967,-12.364,-8.874
1.92735,30.8,-160.323,73.169,16.609,71.137,37.564,40.436,30.996,0.934,-1.008,15.255,-3.761
2.15415,30.848,-161.049,74.311,81.463,78.184,-16.027,15.457,20.546,6.341,-8.31,-22.445,-19.513
2.56553,29.149,-228.437,4.076,-12.49,59.108,-24.686,-7.308,13.476,-14.484,12.989,6.515,-16.882
2.94875,26.913,-228.706,13.111,1.827,92.955,-62.866,-1.849,19.015,-5.849,-9.394,-3.037,-22.921
3.10517,26.517,-217.35,13.597,6.765,98.636,-46.208,-25.202,11.958,-11.808,-0.923,-0.662,-18.536
3.29819,27.051,-228.31,10.378,-20.164,82.314,-38.177,0.836,18.452,-11.299,-6.161,0.884,-25.681
3.46041,27.678,-191.18,20.387,24.916,65.43,-61.816,-15.076,25.899,-1.651,-0.677,-5.752,-16.229
3.64018,27.546,-232.535,-28.503,22.085,74.787,-37.932,-27.981,29.76,-17.015,7.274,-4.297,-4.848
4.22703,30.53,-211.728,-18.039,-21.678,29.517,-22.655,-34.058,-1.345,-1.496,-2.254,6.279,-4.115
4.42998,31.303,-169.465,15.617,5.837,39.75,-37.408,-40.978,-12.868,-8.997,-13.534,15.462,-5.03
4.76136,28.159,-203.203,-19.138,-18.532,37.783,-44.182,-52.943,-2.729,-12.257,-11.261,4.054,-2.172
4.98535,31.238,-207.702,-6.772,31.943,29.738,-41.761,-7.943,18.696,-3.507,-11.304,-12.477,0.079
5.40571,26.508,-190.776,-26.177,-26.287,47.271,8.629,-17.654,18.409,-12.54,-5.48,-17.832,-9.305
5.88122,25.091,-178.075,-30.157,-21.976,41.118,-4.099,-32.773,7.572,-26.078,-1.543,-28.216,-6.935
6.56571,22.65,-162.81,-20.914,19.586,57.819,-27.131,24.564,54.618,-11.539,11.06,-3.43,-20.233
7.07565,26.307,-54.194,52.335,57.421,-28.318,-42.27,29.372,8.354,-56.152,-18.442,-7.841,16.602
7.24839,23.728,-92.832,18.395,-20.375,-31.947,-6.73,35.213,-3.348,-64.175,-12.072,-28.637,19.519
7.58717,21.861,-126.044,-27.375,-17.847,-0.21,-22.662,31.992,16.082,-43.609,-10.901,-8.86,-11.429
7.79755,19.822,-109.348,-55.496,-23.28,21.024,-41.661,7.204,6.251,-8.744,-12.428,-16.287,-4.836
8.30195,17.857,-101.157,-33.517,-29.987,27.08,-39.76,10.335,20.146,-56.85,-17.453,-10.553,-2.928
8.63329,16.442,-78.846,-36.25,-47.694,16.093,-41.545,13.701,13.038,-67.129,-17.443,0.52,1.425
8.83868,35.099,-148.53,-27.256,49.9,28.151,34.509,-47.689,-10.758,-15.314,7.914,24.092,-4.257
9.5663,28.191,-189.32,1.25,-4.104,26.509,-29.403,-16.243,24.633,-23.529,-11.364,3.269,7.559
10.20041,27.966,-216.328,-32.647,0.698,28.039,-29.31,0.245,20.583,-25.268,-9.697,-0.737,2.422
10.73302,30.725,-190.434,25.498,7.585,42.422,-25.502,-14.678,-3.404,-9.04,-13.559,-8.846,-2.308
11.06444,27.748,-237.513,-23.868,-48.086,55.828,-32.806,-19.085,7.468,-18.745,-9.714,6.117,-6.05
11.25701,29.842,-166.081,45.99,50.854,71.397,-25.286,-59.296,10.857,-19.51,-16.766,-14.807,-1.933
11.68635,24.424,-195.241,-34.68,1.96,58.31,-21.909,-24.799,26.01,-42.641,2.821,9.437,-1.322
12.32295,24.641,-196.2,-26.557,-118.203,48.673,-18.892,1.952,-13.974,-26.732,6.028,-9.024,-11.832
12.64313,28.269,-239.982,-16.209,-42.871,63.749,-29.907,-0.549,7.588,-3.163,5.27,6.86,-22.432
12.74753,30.414,-193.637,42.71,5.937,81.26,-30.291,-37.081,-23.523,-7.51,-4.047,-2.096,-8.228
12.9107,31.141,-180.191,65.197,-0.459,72.456,-33.928,-53.901,-15.101,-13.62,-11.782,12.348,-10.584
13.00322,27.486,-143.04,36.323,122.32,77.812,-52.485,-32.31,52.639,-2.783,-25.407,-35.511,-10.873
13.43252,21.102,-170.833,-22.974,-63.934,92.665,20.464,15.169,0.25,-33.539,48.488,-31.102,-11.012
13.97361,25.168,-197.633,-52.151,23.745,49.586,-33.208,-25.313,40.18,-20.865,-5.603,-10.704,-14.174
14.80154,24.735,-184.819,-39.492,-15.001,59.026,29.501,-10.889,23.161,-24.505,24.325,6.227,-6.457
15.53483,21.697,-187.781,-82.017,-45.554,47.927,-49.105,16.852,19.209,-21.821,4.567,-10.385,-9.491
16.16562,26.525,-204.185,-23.925,-80.47,32.661,6.782,40.124,-5.554,-13.387,24.707,5.945,-23.473
16.44045,29.845,-221.339,10.935,-10.214,52.89,-10.794,18.644,26.771,-0.077,-12.727,-34.835,-13.211
17.26408,28.143,-215.065,30.236,-8.16,66.726,-62.262,41.927,10.279,7.67,1.626,2.307,-32.429
17.32776,29.638,-176.907,54.923,18.634,50.893,-30.422,21.861,29.135,6.705,-3.691,-7.449,-26.27
17.7283,29.753,-211.348,65.067,10.839,99.331,-45.972,-9.269,15.248,7.822,0.912,2.117,-27.015
17.90812,29.079,-204.907,20.531,22.275,57.327,-66.106,19.175,17.713,8.883,12.26,-25.879,-28.25
18.158,27.971,-211.919,-19.491,-19.065,23.554,-56.642,3.949,5.365,-29.226,-10.543,11.491,1.487
18.24494,30.008,-210.043,-11.784,-22.499,35.922,-23.439,-26.666,-5.779,-5.914,-4.834,7.978,-4.152
18.38336,29.785,-238.387,2.138,3.228,60.068,-58.583,-16.405,26.904,-2.473,-10.606,-5.623,-9.432
18.55837,28.574,-194.831,6.955,77.572,77.349,-48.527,-21.144,56.751,5.504,-10.397,-22.852,-17.359
18.86698,29.483,-209.581,1.261,-83.144,37.131,-29.777,-23.859,7.795,-14.205,-0.974,18.269,-4.288
19.02349,33.891,-136.539,33.462,-1.466,48.028,-38.492,-63.196,-31.603,-8.483,-13.412,2.473,-3.823
19.2093,31.154,-169.271,56.367,68.79,93.424,-37.653,-69.485,-0.681,-10.033,-8.692,-9.433,-14.521
19.5395,25.19,-208.057,-26.433,-26.161,65.543,-44.037,-42.75,12.938,-26.295,-6.978,-6.978,-3.594
19.97927,27.001,-233.096,-15.516,-34.706,78.587,-5.296,4.507,15.432,-15.565,21.724,4.484,-20.947
20.18367,26.208,-236.446,-10.19,-8.211,96.785,-47.857,-9.114,21.364,-14.433,-6.89,-4.456,-19.978
20.38698,29.955,-232.673,-0.299,24.95,66.833,-43.582,-11.871,18.252,-4.295,7.833,-15.401,-15.956
20.7702,28.625,-179.282,-33.766,27.242,36.174,-24.859,-40.85,1.783,-12.646,-3.393,8.011,-10.21
21.23914,31.381,-188.78,11.06,15.607,25.939,-26.018,-31.018,11.619,-20.13,-16.221,-1.099,1.859
21.42145,28.948,-184.913,18.745,5.188,43.287,-28.738,-28.562,25.242,-0.176,-24.727,-13.175,-17.831
21.63578,28.946,-115.443,78.032,16.26,59.873,-40.753,-50.34,16.38,-13.061,-23.859,9.041,-7.034
21.82181,30.365,-189.445,6.181,6.211,28.025,-39.107,-35.038,3.558,-28.175,-10.556,5.265,10.801
22.09515,30.421,-186.656,13.14,2.727,34.784,1.79,-12.08,17.719,-15.858,-3.101,-6.378,8.362
22.55764,31.855,-177.18,51.73,17.027,63.191,-20.108,-48.137,1.582,-17.117,-7.253,-9.198,-3.522
22.76735,30.831,-198.361,21.296,-7.316,42.73,-5.361,-17.297,13.071,-15.917,-3.918,15.674,3.883
23.11986,29.319,-213.888,-14.787,1.607,35.825,-20.861,-13.96,32.216,-7.905,-7.951,-14.658,-6.698
23.78209,27.135,-207.283,-38.408,0.9,45.002,-7.106,-21.369,22.912,-18.018,-8.958,-17.192,-3.719
24.58957,25.961,-197.121,-12.393,-76.867,48.044,-10.726,1.197,2.786,-18.446,-2.438,-24.465,-6.356
