start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,30.912,-39.768,-106.039,232.357,8.491,-15.069,-16.831,83.461,-0.308,-32.163,-75.923,9.582
1.0673,26.25,-89.021,49.89,-202.501,69.381,148.907,53.748,-16.814,-36.777,70.364,-38.399,9.406
1.2351,32.923,-178.489,-11.659,42.815,24.758,7.767,2.314,29.433,-5.582,-23.163,-24.943,4.714
1.42794,33.345,-164.255,9.096,-47.293,32.841,46.37,21.293,36.304,-3.208,-21.462,5.429,2.38
1.55723,27.328,-71.175,-90.112,233.516,32.678,-63.432,-41.326,100.81,-0.227,-30.981,-32.495,3.465
2.35329,18.123,-18.367,65.597,-312.615,51.68,29.05,63.422,-111.617,-49.02,79.374,0.782,5.504
2.57796,32.296,-141.978,-0.411,86.769,27.876,-38.164,7.028,9.413,-10.179,-25.746,-15.525,1.368
2.7327,31.258,-135.022,38.971,-7.688,29.619,30.234,37.009,9.469,-11.083,-2.615,-2.404,2.215
2.86132,26.537,-68.727,-75.407,228.874,41.727,-18.951,-33.723,110.324,0.382,-44.723,-17.552,-5.09
3.64553,26.241,-74.994,45.945,-198.136,57.55,117.494,39.553,13.534,-28.743,93.267,5.852,-0.781
3.80639,32.724,-129.096,-7.823,82.242,21.397,-22.352,-2.312,25.347,-6.581,-27.647,-31.944,6.966
4.00594,33.077,-113.586,35.128,-44.939,25.111,52.733,33.638,0.799,-5.767,-19.142,1.354,-1.286
4.12603,29.618,-93.811,-30.719,138.384,23.743,-29.2,-2.408,49.441,2.883,-48.457,-37.234,4.181
4.40576,23.971,-123.182,-32.082,-31.107,51.571,82.001,20.825,63.927,-17.512,10.628,-90.88,5.137
5.03206,19.029,-89.173,-37.55,-60.989,78.325,102.98,24.485,70.511,-31.239,55.811,-103.838,14.642
6.06032,29.01,-138.002,-8.255,-95.484,51.636,101.046,24.619,70.07,-10.72,25.197,-12.295,2.05
6.28,30.518,-149.399,12.001,-44.197,25.453,45.96,35.378,8.446,-11.793,15.231,-13.443,-0.47
6.39637,32.201,-181.188,-24.643,60.268,21.824,-16.457,5.785,18.912,-15.743,-1.737,-24.927,5.462
6.60263,32.704,-160.268,21.106,-47.141,30.226,32.782,28.867,33.611,-0.677,-6.465,7.43,1.56
6.73048,27.524,-52.324,-83.285,244.17,34.427,-58.674,-37.315,101.073,-0.034,-39.761,-24.055,-2.996
7.50045,17.898,-12.629,65.795,-315.603,46.133,20.83,70.075,-116.667,-45.482,72.069,-2.131,4.259
7.72658,32.259,-140.958,5.809,87.753,25.921,-39.732,3.875,11.431,-15.971,-25.817,-15.586,-0.598
7.88472,31.382,-129.772,41.498,-8.535,28.711,31.154,35.499,11.22,-13.682,0.009,0.811,1.45
8.01066,27.708,-74.677,-61.398,207.74,39.773,-13.476,-32.153,96.52,1.382,-44.297,-14.577,-2.272
8.71347,6.108,159.466,32.614,12.187,32.511,-47.767,-11.794,-3.851,-4.661,12.276,-16.501,-12.486
8.84671,29.286,-120.782,22.179,-130.688,46.831,84.822,27.581,50.001,-9.625,23.75,6.119,-2.55
9.00998,32.116,-145.297,-13.289,85.564,24.481,-15.787,-0.325,22.909,-12.797,-16.966,-33.438,6.732
9.18934,33.619,-116.795,28.662,-22.543,20.128,35.887,29.969,13.735,-13.081,-4.739,15.347,5.028
9.30739,34.204,-141.917,-1.303,76.748,19.346,-11.981,11.361,12.962,-7.897,-24.574,-28.929,8.519
9.50825,28.852,-101.807,-26.57,94.503,43.878,65.074,4.483,47.12,-4.655,-25.121,-34.164,1.454
9.80363,32.378,-100.667,27.665,-52.639,36.621,76.158,34.897,38.792,-0.39,-16.534,7.38,-9.143
9.93524,30.774,-86.879,-51.223,141.545,24.263,7.917,-8.517,43.065,4.66,-31.449,-38.105,4.807
10.24803,38.656,-76.29,-56.145,48.235,8.476,51.735,10.286,-5.828,-4.281,40.855,29.818,0.541
10.78975,33.782,-89.937,-89.726,93.165,-33.702,6.472,-1.361,-3.92,-2.779,11.732,12.165,-3.141
10.90603,31.717,-95.92,-128.896,96.944,-38.804,-64.265,-26.25,20.228,8.28,-11.193,-10.803,-6.815
11.11764,21.217,44.768,-164.405,-69.642,35.188,-47.483,-3.26,-5.486,14.298,-12.95,-10.613,5.83
11.21991,33.781,87.778,-210.022,39.544,46.064,12.993,-35.094,83.393,7.176,27.003,35.108,-7.201
11.4419,36.385,-54.412,-40.638,-22.456,47.825,81.194,41.925,-31.899,-24.71,63.499,-18.691,1.927
