start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.184,168.038,1.188,-30.942,50.648,-51.183,21.644,6.221,-24.935,3.132,-12.036,-10.415
0.16943,9.241,-22.001,-69.398,-108.62,87.695,14.218,3.085,-30.318,-36.687,77.017,-29.418,7.198
0.49814,11.399,-67.416,-93.673,-72.495,96.958,-52.615,-18.532,2.093,0.78,10.053,-3.212,4.112
0.60735,12.864,-90.101,-103.933,-49.035,94.583,-43.282,-19.175,31.653,-4.902,12.076,-4.247,-0.481
0.89914,10.501,-52.869,-98.46,-73.065,90.262,-56.142,-31.74,2.284,0.535,1.404,-3.098,2.481
1.00027,13.169,-89.143,-90.646,-17.667,102.306,-48.391,-18.148,53.545,-4.071,11.291,4.729,-9.273
1.23542,10.702,-56.365,-102.836,-75.906,87.436,-58.306,-26.496,-0.588,2.949,4.195,1.169,-2.488
1.39664,10.798,-53.133,-106.763,-42.622,79.877,-69.191,-28.656,34.142,2.099,-10.865,-1.773,-3.574
1.58372,10.157,-47.132,-98.307,-72.487,90.128,-55.41,-35.947,-0.077,-1.249,5.042,6.31,1.447
1.7249,12.586,-80.784,-88.043,-21.461,104.643,-44.337,-22.69,51.506,-5.249,12.394,-7.159,-5.802
1.98676,10.027,-43.844,-119.306,-73.139,67.81,-64.908,-29.542,8.316,2.23,-5.51,-3.322,-2.739
2.10082,12.123,-78.647,-89.264,-68.454,104.138,-28.713,-20.392,11.099,-8.23,25.005,-18.204,0.638
2.48649,11.64,-67.208,-84.682,-64.946,98.035,-39.066,-21.18,11.915,-9.818,13.74,-17.685,-1.708
2.72104,10.066,-43.092,-99.809,-70.4,83.845,-52.567,-25.841,5.097,-2.513,7.974,-3.499,1.037
2.8629,10.966,-55.476,-100.838,-68.111,80.027,-41.214,-16.341,15.598,-9.181,13.362,-19.15,-0.466
3.1078,10.21,-46.884,-107.077,-80.103,78.566,-51.846,-25.645,-0.147,-2.406,6.381,-2.469,1.083
3.22834,13.035,-50.962,-38.212,-106.703,75.084,-31.283,1.66,-7.557,-3.282,15.144,-17.53,-5.757
3.51066,16.699,-59.844,-18.601,7.039,62.641,-12.864,-20.421,26.757,-8.398,13.33,-8.185,-10.735
3.66363,16.552,-57.918,-31.336,-51.585,39.046,9.028,-17.496,14.6,-15.066,-6.48,-15.525,-11.127
4.01732,15.853,-83.384,-46.345,-80.526,52.689,-15.378,-16.258,2.832,-25.824,6.49,-27.057,-13.103
4.27197,17.504,-59.869,-33.713,17.024,22.554,-32.305,-31.497,18.189,-28.915,2.916,-11.095,-13.2
4.43379,18.465,-37.71,-28.91,-13.033,15.654,27.822,-32.922,10.511,-12.658,-5.098,-0.536,-7.273
4.81918,17.441,-73.563,-48.053,-6.061,32.325,-6.106,-29.444,23.781,-17.984,-1.199,-13.205,-16.226
5.04168,18.035,-69.396,-26.836,1.922,35.715,-50.013,-33.701,11.307,-9.954,-0.976,-9.791,-5.147
5.18939,18.988,-40.946,-9.961,-7.08,27.121,24.031,-25.106,4.78,-8.196,-4.282,-15.259,-10.569
5.60245,19.61,-81.934,-48.437,15.945,24.541,-41.436,-32.735,17.8,2.204,2.826,-18.063,-20.895
5.78712,17.146,-54.777,-27.925,-4.547,34.997,-23.862,-29.765,10.209,-9.295,1.892,-7.7,-17.666
5.95605,20.314,-35.641,-16.081,19.65,35.586,21.795,-34.195,-2.415,-1.449,-5.656,2.626,-13.121
6.33238,20.38,-66.624,11.158,-80.369,35.487,20.872,-15.289,14.226,-6.243,17.647,6.093,-19.597
6.57098,23.432,-60.999,33.504,2.317,35.12,-59.363,-26.781,13.158,11.014,5.395,-8.584,-14.142
6.72857,22.959,-28.03,23.586,-4.202,11.393,-30.545,-33.618,-4.132,-15.087,19.307,3.523,-1.421
6.89039,22.855,-9.668,37.816,-15.381,15.309,-15.717,-18.37,16.441,-8.592,-5.069,-15.499,29.034
7.10054,23.648,-59.911,7.977,-7.431,15.346,-4.725,-32.615,1.731,1.311,15.76,0.668,-12.909
7.2966,22.92,-63.29,33.881,12.054,39.358,-28.715,-18.763,8.593,-5.341,8.309,0.861,0.376
7.47723,24.173,-25.403,23.361,-15.189,22.593,-28.11,-32.561,-6.397,-4.354,9.844,8.781,15.555
7.74499,25.891,20.715,20.843,18.017,25.759,10.418,-21.967,-21.229,12.809,-3.64,5.364,4.157
7.84286,28.964,6.621,32.396,7.681,15.522,-0.172,-38.149,-3.22,0.996,20.538,0.484,-21.277
8.01075,25.781,10.233,20.385,-4.525,17.574,-18.393,-20.93,-6.158,-0.392,9.988,-6.237,-5.946
8.20821,27.421,33.392,9.275,25.083,7.308,-6.529,-31.021,-29.957,0.787,14.202,7.364,7.757
8.56902,24.823,-23.678,-0.752,-1.364,12.676,-11.639,-35.764,-28.059,-12.509,23.304,-20.45,1.126
8.75995,23.256,-33.534,5.591,-7.047,11.936,-22.416,-33.265,-18.47,-10.435,11.247,-2.188,-3.377
8.93483,24.434,-30.055,27.23,3.2,11.488,-18.081,-33.181,-22.48,-21.255,17.775,-22.74,2.902
