start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,47.513,20.747,-56.946,-34.467,-5.634,-24.908,-11.389,-15.793,-10.382,18.8,13.235,-11.946
0.14254,46.667,-22.957,-26.671,29.142,14.201,-38.725,1.603,-0.203,7.638,10.715,-31.526,12.851
0.87342,38.289,-150.32,-71.556,7.744,19.729,-58.033,-36.734,-10.524,25.05,-16.268,-9.061,25.535
1.28104,33.757,-195.657,-62.469,-46.825,12.022,-43.361,-26.707,8.065,3.284,-0.141,4.075,14.405
1.378,47.177,24.693,-40.56,-37.216,9.586,-21.155,3.142,-16.367,-0.61,11.321,24.37,-13.774
1.52653,46.416,-15.052,-13.405,34.88,23.443,-37.659,-2.513,1.281,3.009,9.351,-33.012,18.691
2.25265,37.55,-151.643,-65.922,10.744,23.41,-57.183,-41.894,-12.004,22.514,-20.194,-9.1,26.909
2.75637,45.618,16.099,-54.461,-13.328,-0.727,-46.527,-16.553,-14.656,-5.0,8.16,18.0,-18.473
2.90766,45.53,9.496,6.641,-26.271,25.062,-39.405,-21.589,-7.811,4.201,-3.915,-4.841,14.246
3.07828,44.611,-34.427,-40.089,17.074,26.866,-47.824,-49.948,4.67,8.538,8.286,-20.725,23.718
3.62209,38.093,-140.355,-76.81,15.649,27.934,-57.185,-47.816,0.767,21.483,7.095,2.464,27.034
4.14091,45.509,20.109,-49.216,-9.274,-1.816,-48.733,-19.939,-12.725,-2.283,7.807,13.745,-13.551
4.28417,44.888,4.329,0.758,-19.909,21.565,-43.086,-25.297,2.332,2.37,8.565,-5.291,16.897
4.4922,42.319,-61.445,-58.109,18.476,11.715,-66.727,-62.188,-16.21,17.187,-7.853,-5.163,22.953
5.00308,46.016,-4.598,-34.704,-20.815,10.705,-27.852,-51.757,-20.142,20.961,0.516,25.055,12.442
5.12127,45.755,33.996,3.824,-34.443,18.477,-17.763,-42.546,-5.412,15.107,-4.376,-2.72,37.255
5.52082,46.542,27.299,-51.649,-15.763,-2.315,-57.018,-14.854,-11.176,-4.851,12.643,10.435,-3.851
5.66526,45.368,16.969,-6.717,-16.364,9.011,-48.737,-15.462,10.136,4.015,6.408,-8.473,11.485
5.87338,42.542,-53.29,-53.493,21.236,5.775,-56.779,-54.428,-8.936,8.315,-15.637,-10.267,14.296
6.37605,38.053,-141.275,-43.086,-16.708,12.911,-46.738,-31.772,20.192,-6.586,10.173,22.343,11.199
6.53488,38.425,-76.776,8.875,-50.664,-19.046,-29.682,1.123,-11.582,-7.131,-4.26,13.685,25.096
6.7395,40.519,-64.148,10.375,-17.072,-18.68,-19.478,-16.274,-14.844,-10.094,-18.829,6.269,13.621
6.84354,43.292,-29.467,10.021,-67.663,-8.02,-18.018,-1.367,36.678,1.186,-19.304,4.323,14.791
7.25048,42.931,-52.018,-39.622,13.896,5.281,-68.898,-42.274,-16.305,13.14,-8.952,0.962,26.293
7.76803,36.608,-155.607,-54.379,-1.203,7.805,-61.605,-42.101,21.85,13.411,-14.186,-4.936,19.059
8.02893,32.788,-188.122,-43.863,-53.398,-1.203,-52.006,-26.062,7.046,12.238,-15.67,12.205,6.773
8.2732,45.215,15.109,-55.383,-23.255,-1.935,-36.214,-16.352,0.077,-2.923,6.297,31.814,-17.82
8.42889,45.082,23.916,3.836,-31.057,7.763,-46.526,-17.724,14.502,4.239,-9.238,6.832,11.181
8.62585,45.477,-13.003,-30.232,0.655,16.356,-53.256,-46.459,-6.211,11.267,-6.697,-6.492,20.103
9.09823,39.082,-75.454,-44.255,-0.674,20.032,-25.911,-46.669,-17.996,15.3,-7.971,-7.847,17.657
9.65574,45.776,20.285,-38.444,-24.309,-0.638,-42.815,-18.552,-2.269,-7.863,9.987,32.434,-18.417
