start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,14.651,55.529,48.666,-311.208,27.35,9.847,43.33,-90.997,-44.203,88.513,20.949,5.256
0.16082,38.105,-100.706,19.39,-24.05,-14.931,34.139,13.858,9.785,-41.694,5.958,-32.983,9.414
0.418,39.944,-69.408,16.181,35.84,-59.104,-29.111,18.08,3.632,-68.887,-11.386,3.995,26.155
0.55982,37.818,-144.347,-1.558,-9.605,-0.917,-19.313,29.585,14.994,-17.016,25.805,-11.396,12.096
0.70961,36.31,-95.056,-16.49,13.557,-38.995,-55.67,-2.827,4.837,-19.353,-12.62,-7.884,-4.266
0.81247,38.777,-120.414,-28.797,15.224,-3.897,4.56,8.371,23.894,2.206,5.043,-11.613,-3.633
1.12059,36.409,-106.469,-43.042,-31.824,-38.439,-45.791,-16.28,15.054,-20.396,3.054,-0.345,12.406
1.34685,38.159,-77.288,-37.814,-58.514,-36.831,14.343,-21.475,18.967,-9.032,-17.11,-38.313,-3.135
1.58454,36.201,-136.216,-31.447,-14.933,-32.12,-42.782,3.671,-22.788,-35.045,0.27,-21.845,14.64
1.75828,37.803,-136.411,-18.522,18.206,-37.457,-61.492,0.334,-19.036,-49.686,-17.946,-10.194,7.782
1.95982,37.288,-168.453,-27.94,35.091,17.92,-48.308,14.547,5.71,-24.068,-11.085,-16.298,30.514
2.22694,31.431,-165.504,-85.599,-56.637,2.206,-41.287,-12.703,-9.89,7.824,-11.045,-1.992,7.266
2.3907,30.756,-186.022,-85.267,-42.093,7.067,-33.981,-14.856,18.35,6.026,-1.299,-12.802,15.616
2.55542,29.179,-185.171,-99.61,-74.5,11.327,-35.255,-4.199,-11.295,11.282,-7.976,-7.241,6.303
2.75778,29.735,-211.698,-71.084,-58.914,5.815,-40.204,10.415,10.104,3.484,-9.322,-3.383,14.614
2.91447,32.133,-176.373,-19.717,-93.338,-6.755,-18.399,20.029,-13.819,-19.392,-1.279,7.54,6.304
3.22036,36.368,-187.105,-27.967,-4.225,-17.684,-26.532,19.226,12.174,-16.378,-12.233,1.662,-2.1
3.73624,34.521,-194.677,-16.897,-25.248,-20.094,-37.601,20.891,10.009,-27.253,-17.428,-1.498,23.749
3.9576,35.48,-190.304,-6.803,-31.464,-17.712,-36.333,25.636,15.323,-32.106,-15.853,-3.366,21.462
4.12027,38.255,-172.386,3.92,-3.984,-9.103,-15.619,46.677,14.011,-27.693,-10.688,-49.417,32.639
4.33029,37.341,-141.447,13.007,-71.982,-15.925,2.365,30.985,18.603,-17.308,-22.091,11.743,13.315
4.61506,40.786,-113.593,36.424,-8.475,0.968,-21.486,33.645,-15.946,-34.371,-11.115,-10.674,19.032
4.74844,39.376,-138.942,-9.635,75.553,-12.448,-28.822,14.142,-9.726,-33.462,-23.73,-29.218,13.67
5.28259,34.155,-189.754,-8.783,-38.066,-18.753,-38.174,22.136,6.396,-23.551,-11.216,11.285,13.533
5.56599,36.854,-169.643,-3.815,-14.233,-20.768,-28.143,24.464,2.273,-37.387,-18.471,-2.747,22.196
5.72259,39.396,-121.701,31.326,-81.859,-23.493,-17.605,30.369,42.156,-29.882,-19.824,13.063,12.157
6.05896,43.959,-85.534,39.364,25.891,-14.656,-33.463,30.857,-8.801,-32.62,-1.311,-1.501,0.134
6.27601,39.062,-114.021,16.29,33.046,-16.876,-1.565,21.869,-0.168,-44.713,-35.904,-50.764,30.904
6.65941,37.189,-167.567,45.277,-90.904,0.642,-0.933,43.631,28.874,-19.158,-15.325,-12.075,17.176
6.96617,38.149,-131.376,-1.05,51.871,-14.175,-57.2,7.438,-5.247,-43.151,-15.91,-11.975,16.464
7.18272,41.833,-106.315,46.308,-53.24,-8.526,50.483,39.171,33.878,-29.615,-44.446,1.324,6.041
7.37252,40.381,-125.644,-15.198,76.13,-26.506,-44.557,5.303,-25.722,-48.386,-22.944,-16.907,18.259
7.67968,40.579,-118.955,18.794,28.666,-16.656,-6.331,14.637,-13.061,-51.484,-21.722,-7.451,27.796
7.83587,41.512,-108.549,54.347,51.845,1.546,-53.184,35.459,-14.652,-50.276,-11.951,8.767,38.19
7.95293,39.917,-152.867,24.839,34.418,7.61,-21.601,34.217,19.882,-28.744,-19.575,-17.915,33.567
