start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.40091,9.529,5.493,10.799,-27.435,102.329,-34.29,75.057,14.745,-20.779,40.216,6.428,0.681
0.77701,11.725,-10.104,40.873,-2.972,88.855,-57.555,73.24,19.404,-31.622,-0.171,-11.528,-15.366
1.09066,15.378,-109.429,-60.893,-44.251,84.45,-38.117,-18.158,21.127,-45.881,-10.246,1.33,7.626
1.44503,17.411,-73.93,47.725,4.826,60.72,-54.683,26.099,14.752,-62.108,-25.935,6.246,15.672
1.78658,17.185,-95.686,14.642,-17.882,78.206,-28.492,-9.999,16.529,-62.089,-20.857,-2.548,1.133
2.13574,16.821,-77.72,59.443,8.865,97.595,-54.392,20.97,9.403,-48.399,-11.602,-0.173,-9.162
3.15828,17.433,-109.616,43.353,0.377,128.318,-36.466,16.075,22.336,-35.137,3.124,-2.162,-15.313
4.20295,16.895,-59.032,76.983,20.102,84.413,-34.754,28.953,29.903,-53.19,-13.508,9.729,-4.927
4.57478,17.99,-81.465,34.422,10.101,62.238,-27.273,4.591,20.957,-59.682,-18.221,-1.625,2.467
4.88109,17.383,-48.385,87.413,16.032,64.903,-20.081,48.494,23.978,-57.548,-11.072,1.661,3.103
5.24794,17.262,-107.043,-0.016,-21.268,77.189,-59.36,17.909,16.915,-51.068,-14.902,5.51,17.443
5.44426,15.953,-87.112,10.211,-9.208,88.84,-46.058,25.659,26.025,-45.549,-14.249,-5.749,5.959
5.92054,14.299,-72.072,8.497,-13.8,104.924,-69.841,35.971,16.47,-27.557,-13.501,-2.348,7.705
6.2698,15.711,-67.456,46.632,0.287,96.115,-41.278,39.113,17.275,-40.597,-2.057,-4.802,-15.16
6.47279,15.39,-58.356,54.658,-8.938,109.532,-51.162,26.824,12.63,-12.627,0.383,-6.487,-34.855
6.61152,18.247,-97.28,9.301,-19.483,71.083,-30.5,-5.538,5.98,-38.619,9.486,-4.191,-12.08
6.9376,20.277,-81.776,50.598,-3.822,35.381,-32.959,23.027,27.712,-54.763,-20.703,17.456,31.527
7.11701,19.802,-64.747,70.721,-9.152,32.393,-34.139,34.855,8.468,-60.282,-18.393,-1.666,39.58
7.31424,21.381,-91.52,43.83,0.828,39.502,-33.393,-9.463,3.901,-54.145,-12.9,3.257,21.245
7.62794,21.087,-100.659,55.882,-13.655,49.138,-26.836,4.819,15.472,-57.782,-16.187,15.459,24.912
7.83197,21.53,-103.166,51.719,-3.621,62.753,-35.344,-9.1,6.291,-41.205,-12.593,9.012,19.043
8.32476,20.736,-100.448,53.598,-2.323,92.18,-47.483,-20.6,-1.252,-16.593,-7.934,1.884,2.978
8.68984,20.533,-122.111,66.21,-0.227,112.203,-45.477,-1.712,7.802,-19.963,-2.046,5.428,-9.921
8.99188,22.296,-91.756,112.782,-1.505,81.751,-22.315,16.27,13.305,-26.979,-12.805,-0.013,-4.163
9.1024,23.822,-98.364,125.146,39.044,83.925,-43.068,11.592,20.565,-21.966,-1.161,-1.857,-17.577
9.25238,24.622,-62.26,125.408,-2.753,79.008,-11.744,10.083,5.134,-6.307,-2.557,-0.581,0.042
9.43923,25.353,-62.364,128.701,13.234,80.504,-42.465,-1.441,26.056,-3.127,0.356,8.912,-6.835
9.80517,26.402,-21.258,126.117,17.681,80.759,-18.959,3.122,1.64,2.296,-7.263,-11.421,4.677
10.05433,26.274,-44.221,82.635,33.869,77.459,-23.291,-27.283,-13.54,5.807,-2.335,-9.698,-2.953
10.75642,20.913,-115.328,32.88,17.023,87.497,-36.317,-16.83,10.888,-24.477,-12.544,-10.667,1.79
11.46449,19.631,-138.744,5.422,-76.689,77.212,-38.481,5.294,-1.347,-44.61,-10.594,4.113,1.268
11.59887,23.743,-166.436,2.774,-10.43,53.077,-34.381,-32.831,0.138,-52.165,-13.895,4.138,2.809
11.74853,22.459,-168.054,6.102,-25.878,66.996,-36.778,-17.977,14.574,-56.48,-20.494,5.886,6.207
12.13683,21.214,-122.688,11.084,-4.785,39.242,-23.482,7.35,8.178,-52.353,-17.06,-5.031,-2.995
12.44499,21.54,-99.461,56.129,4.297,32.398,-31.336,33.699,24.779,-54.33,-21.432,24.34,17.682
12.75483,22.072,-125.219,30.042,-22.752,31.698,-37.937,18.255,-1.305,-59.679,-10.02,3.592,20.631
12.8649,23.869,-122.966,21.06,2.155,31.176,-28.295,-28.219,8.273,-38.544,-25.315,-8.136,7.374
13.85841,20.879,-102.853,60.49,9.44,51.89,-39.248,20.214,15.874,-56.835,-21.158,5.276,13.736
