start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.009,170.973,9.096,-28.705,57.156,-50.138,15.201,5.249,-27.129,1.114,-10.782,-7.348
0.30526,3.315,101.393,-88.854,-67.666,4.894,-45.952,19.598,6.084,-30.683,11.964,-6.596,2.164
0.42113,9.28,63.034,-117.996,-129.827,-8.202,-26.447,-17.933,6.173,12.863,24.2,-0.605,-4.316
0.52077,23.543,124.16,-87.295,41.824,37.029,134.494,-10.073,-7.002,34.915,-9.857,-40.499,0.645
0.80794,33.425,216.71,28.68,-26.961,81.799,24.556,-13.314,9.009,41.169,24.116,4.521,-34.188
1.03288,30.921,181.278,-56.069,74.408,39.167,-0.898,-37.775,-36.365,21.926,18.807,-54.182,4.295
1.30626,34.543,217.0,3.309,-2.465,59.712,-13.053,-25.053,-10.71,37.412,10.439,-11.59,-17.124
1.53841,30.194,168.845,-44.447,91.863,45.374,-20.174,-48.442,-23.904,18.899,14.963,-36.498,10.672
1.77624,33.467,226.433,9.065,-2.96,58.47,4.711,-14.52,-8.317,46.502,5.66,-4.954,-7.52
2.01814,29.996,154.284,-72.093,111.617,37.33,-48.053,-41.032,-50.713,17.094,11.451,-60.229,16.74
2.24916,32.006,192.951,17.267,-23.308,55.242,13.604,-22.092,7.373,36.418,25.388,-1.835,-10.109
2.48422,31.543,182.328,-48.2,67.012,50.938,-19.21,-44.283,-51.345,23.768,11.91,-17.911,10.236
2.70789,32.401,196.292,19.355,-56.362,37.747,15.836,-17.168,19.338,45.951,12.619,-14.566,-7.074
2.97814,30.871,162.537,-53.718,103.506,42.647,-29.645,-52.1,-34.89,21.69,21.654,-46.732,4.333
3.20812,33.975,199.745,10.671,-19.475,50.719,-6.283,-33.252,7.234,23.946,15.284,2.633,-21.538
3.43664,32.288,183.976,-55.472,79.343,47.939,9.571,-42.293,-27.793,15.832,4.79,-48.131,-1.262
3.69197,30.611,176.315,-9.978,-17.986,38.197,-14.431,-13.189,-3.706,44.832,30.598,-0.933,-28.868
3.92376,31.03,179.492,-55.66,95.092,40.0,2.766,-37.365,-23.521,24.6,11.564,-28.147,9.705
4.17465,29.038,188.673,-34.712,-23.447,36.223,-35.371,-13.979,-21.173,29.632,48.144,-20.314,-22.21
4.39365,31.48,173.69,-73.745,102.593,34.455,16.031,-36.158,-43.601,33.825,6.041,-48.07,6.825
4.64712,38.667,158.113,-39.181,-46.738,23.184,1.311,-12.638,-1.135,27.232,33.625,10.051,-2.161
4.88993,37.241,104.413,-82.079,58.824,29.743,-43.877,-24.391,-37.689,19.52,38.008,-60.934,2.776
5.12503,36.284,92.287,-52.738,-82.284,28.07,13.914,-4.801,-18.048,24.93,42.95,8.023,2.092
5.36925,35.146,82.069,-74.866,60.776,35.637,-22.085,-37.447,-29.344,25.25,11.707,-50.543,7.645
5.61297,37.764,116.668,-79.419,-56.768,18.107,4.694,-13.841,-4.467,46.923,15.636,11.647,-0.257
5.87415,36.239,91.908,-88.004,25.308,19.959,-45.834,-15.95,-52.627,18.629,10.42,-31.56,19.504
6.10989,37.054,132.699,-43.731,-34.488,33.09,-22.592,-19.705,-0.126,43.951,-1.619,9.436,-5.816
6.26349,38.242,79.384,-39.805,-51.849,28.946,-29.425,-29.192,-0.852,24.867,19.809,-3.227,4.626
6.36204,35.812,92.971,-86.764,57.906,39.374,-48.271,-40.63,-22.39,26.309,-1.279,-34.599,13.828
6.59397,36.067,131.359,-60.683,-45.404,21.519,1.393,-22.122,-6.334,44.543,14.639,-9.467,-6.495
6.85048,34.78,69.422,-105.43,71.858,11.143,-24.992,-23.269,-26.925,16.245,27.734,-48.323,5.153
7.0902,36.039,106.046,-65.204,-50.34,6.636,-11.434,-11.862,12.348,23.145,31.274,0.304,-0.464
7.3434,34.392,116.61,-73.967,74.197,22.931,-38.871,-29.989,-17.7,16.626,17.529,-27.103,8.199
7.56771,34.5,110.3,-75.847,-71.43,10.566,11.856,-9.07,6.87,29.18,13.205,9.062,-5.999
7.80707,35.087,109.96,-68.19,-13.22,19.327,5.406,-20.419,-34.371,28.322,-6.41,-25.286,-7.405
7.97737,39.048,108.06,-20.767,-27.327,56.2,92.699,-1.695,32.204,57.637,-12.78,-20.404,2.298
8.22313,40.63,108.583,-65.708,95.954,44.956,68.359,-16.013,17.084,48.36,-6.228,-62.798,27.421
8.53737,44.237,160.821,25.11,-29.243,58.559,71.57,10.568,16.92,50.078,15.602,37.814,13.201
8.75361,44.461,165.831,20.381,20.367,55.554,-29.749,-12.287,0.142,52.487,16.7,-16.18,30.573
9.03283,37.86,98.008,-52.828,-7.344,27.443,-37.542,-5.697,9.087,31.717,14.253,-21.533,15.67
9.28213,31.94,87.024,-60.643,69.79,44.398,-41.868,-40.68,-13.533,12.985,11.143,-48.097,19.517
9.50785,33.907,101.843,-64.701,-64.548,20.007,-1.369,-20.841,14.149,35.845,25.257,-11.437,-7.791
9.72844,33.054,86.103,-61.714,-20.776,18.135,-3.698,-25.877,-25.221,20.785,4.64,-37.624,-1.086
9.91628,42.276,134.327,-36.966,85.186,58.371,4.421,-6.611,-0.757,60.219,10.545,-27.093,21.408
10.23474,36.889,67.152,-53.602,110.054,51.131,30.411,-13.946,-8.347,56.822,13.141,-74.992,24.718
10.47855,42.533,141.341,4.386,17.855,46.345,13.844,3.103,-12.823,49.177,13.025,1.174,19.846
10.68177,38.646,114.157,-50.844,88.411,35.333,-14.986,-25.026,-10.242,49.013,-0.992,-68.53,25.08
10.89832,40.635,130.473,6.727,37.914,52.284,-25.2,5.326,-16.473,48.656,22.68,-18.025,31.648
11.22354,31.891,80.1,-72.98,92.3,32.533,-50.452,-25.062,5.803,21.611,19.706,-45.848,15.26
11.45669,31.291,94.927,-65.391,-37.781,3.68,9.16,-16.721,15.616,17.03,34.83,0.773,-11.969
11.69692,32.034,76.365,-80.752,20.682,16.25,2.021,-18.972,-37.45,25.85,2.568,-26.981,-4.731
11.88744,42.528,138.463,-27.764,71.092,68.123,-9.958,-6.37,12.921,77.995,8.203,-36.514,5.618
12.09782,41.963,122.994,-23.964,101.608,67.294,27.746,-24.931,-17.057,63.221,13.811,-99.906,21.48
12.43814,45.382,149.471,-11.923,135.746,92.479,28.148,27.815,-9.969,88.053,21.596,-55.736,-1.212
12.68975,47.254,239.479,44.243,-5.388,52.602,20.21,34.154,4.685,75.593,17.944,26.83,16.428
12.94508,48.142,186.296,35.313,3.935,52.459,-42.345,23.028,-16.759,87.919,27.92,-21.251,6.874
13.16567,49.404,149.665,71.918,51.2,118.874,-21.614,-16.493,5.065,90.301,19.354,-18.269,-20.675
13.4093,46.239,174.491,-3.328,20.389,49.502,-29.961,-37.687,-14.51,71.221,32.078,-22.748,-5.975
13.68245,40.8,136.412,15.633,7.826,34.604,-46.515,-23.002,-4.651,38.338,11.138,-13.612,22.777
13.81556,38.206,115.578,-42.049,13.573,9.116,-53.157,-26.704,-30.863,44.039,24.65,-19.141,16.131
13.91451,43.366,150.235,17.298,-30.944,38.173,-33.025,-3.619,8.355,64.935,1.132,-8.733,26.492
14.0942,43.358,124.055,18.789,22.028,60.341,-36.049,-7.008,-46.727,65.721,12.656,-22.413,15.291
14.39079,38.322,85.189,3.381,-2.069,53.407,-13.69,4.296,24.516,68.706,15.377,-49.533,13.132
14.63492,39.255,51.631,28.489,14.182,68.035,-19.712,23.306,-17.061,61.029,46.862,-7.451,-9.786
14.8254,37.597,30.552,32.841,8.216,66.938,-48.263,20.698,37.396,62.807,29.637,-27.477,-3.206
15.08136,31.011,62.899,-46.403,49.657,51.961,-21.991,-28.707,18.221,53.11,9.36,-70.728,-1.141
15.35864,31.947,106.647,-56.257,-58.654,19.498,13.237,-9.55,22.238,37.395,19.771,0.744,-8.882
15.59125,31.391,90.427,-62.244,-2.501,15.377,-0.383,-19.805,-16.069,16.157,14.984,-31.698,2.497
15.76426,40.482,103.599,-25.896,41.877,75.355,90.419,-12.916,23.086,77.192,11.965,-6.316,-25.395
15.99252,45.742,155.645,19.806,0.313,99.466,25.802,-25.437,6.048,84.583,36.071,8.872,-19.167
16.23093,43.653,165.342,42.511,-29.891,95.239,-29.013,-38.894,-2.739,86.61,32.934,-16.382,-16.48
16.35215,48.273,163.46,24.229,-15.757,97.371,-37.535,-31.272,-13.508,88.461,33.323,-28.811,-10.197
16.52671,43.072,123.041,-55.649,131.125,78.161,-6.37,-40.779,-31.514,78.691,9.742,-105.215,0.818
16.7415,45.416,153.943,0.058,69.234,89.052,-18.301,-33.307,-33.149,79.94,27.159,-38.27,-11.914
17.02707,44.174,147.466,38.596,-26.781,104.393,30.277,-13.56,-2.855,80.191,21.613,-30.083,-14.762
17.31619,46.522,127.065,7.264,15.519,85.562,-27.799,-21.292,-22.179,83.397,22.096,-35.791,-16.961
17.47351,52.044,167.437,85.755,11.999,98.504,-41.422,-2.593,3.972,89.917,35.254,-13.19,-26.062
17.71696,51.216,149.179,89.642,8.938,99.073,-43.268,0.922,-11.77,86.691,32.923,-15.238,-28.273
17.94254,50.214,151.036,57.044,46.159,99.748,-34.296,-10.978,10.945,89.687,22.896,-27.719,-16.737
18.44227,38.623,114.157,-16.704,96.984,56.83,-36.336,3.525,-60.191,53.072,12.793,-50.012,20.168
18.76059,41.251,118.333,1.516,-4.417,43.121,52.403,27.996,1.403,70.508,-6.367,2.078,12.162
18.98254,33.991,26.913,-35.236,127.431,72.075,-37.221,-13.318,37.725,49.474,-12.854,-90.299,-0.865
19.25392,31.915,77.81,-62.741,-39.848,0.382,-3.226,-14.77,21.433,26.288,14.685,11.355,-14.211
19.49361,30.898,88.025,-93.242,48.039,9.511,-9.813,-19.86,-45.018,18.692,8.009,-34.413,-0.433
19.738,31.34,91.081,-55.609,-37.736,12.134,-8.632,-7.181,-3.687,32.299,11.618,7.054,-10.505
19.95633,31.958,94.852,-64.291,-16.086,15.302,-0.521,-19.103,-16.523,20.438,-1.413,-37.803,1.073
20.14916,40.436,120.086,8.424,80.39,68.308,-36.104,-32.769,-39.954,51.59,36.271,-24.527,1.429
20.24249,48.606,207.396,54.585,13.545,68.055,-11.755,18.028,21.504,81.075,33.529,5.761,-0.321
20.66553,46.739,201.322,61.307,28.94,64.601,-35.225,36.284,-38.369,81.067,42.128,-40.506,4.378
20.88594,48.414,151.244,48.487,20.478,106.932,11.515,-6.194,23.169,96.582,21.302,23.993,-30.083
21.11873,46.209,212.072,34.777,12.409,58.578,-38.777,-40.311,-9.986,60.936,29.333,-25.527,3.2
21.46685,42.066,187.673,-4.172,29.602,46.316,-36.299,-40.544,-32.787,54.117,6.5,-39.514,26.219
21.58295,42.743,151.753,1.279,24.669,56.037,-7.661,-0.635,-28.438,62.184,18.28,-26.448,20.003
21.93701,42.162,35.007,33.326,67.61,94.485,-40.191,29.009,-18.315,55.807,43.562,-35.311,-8.78
22.07705,39.027,134.084,21.632,-8.991,62.671,-18.55,-15.881,-17.048,76.644,15.369,-8.801,-10.414
22.18141,40.709,103.232,5.026,6.689,74.257,-39.259,-25.975,-20.243,63.404,31.882,-20.256,-12.805
22.32023,41.867,26.716,64.744,4.793,105.873,-57.826,32.153,17.046,57.365,29.399,-10.666,-21.042
22.40757,42.355,150.824,-3.586,-11.696,48.134,-33.285,-22.978,-17.921,75.32,9.134,-24.592,19.833
22.58136,40.414,145.947,15.045,-1.542,49.533,-38.514,-7.594,-15.12,54.977,16.447,-24.423,30.907
22.67401,41.327,95.636,-10.159,67.52,66.966,-15.772,7.91,-5.697,75.067,14.251,-29.046,2.559
23.14449,38.585,37.235,25.825,-54.161,70.571,2.847,18.296,16.873,71.385,26.818,-10.606,-23.918
23.38281,36.061,90.693,-18.838,-29.353,72.523,-10.686,5.33,-20.893,51.052,9.664,-39.363,-4.862
23.57447,44.471,9.411,60.69,-7.026,84.821,7.993,7.927,26.288,31.136,7.261,13.629,-17.12
23.68989,45.919,63.881,41.83,-3.117,58.947,-34.484,-9.867,-9.694,31.021,21.145,-3.717,3.526
23.922,45.465,48.579,45.481,10.225,56.238,-19.059,-12.652,26.801,15.099,20.765,-27.688,-5.253
24.381,39.149,51.407,8.922,-2.579,35.447,19.1,2.357,-33.294,2.703,49.538,-20.607,9.039
24.64181,44.068,28.309,44.669,-17.252,57.232,-4.628,7.123,12.99,25.333,32.163,1.583,-20.692
24.87478,45.572,100.021,83.057,25.72,63.414,-24.986,13.873,-0.366,-19.876,-20.498,-15.384,22.713
25.02522,45.098,115.773,80.946,23.932,52.066,-36.977,-23.27,-15.975,-5.373,6.454,-28.848,-29.074
25.13528,46.711,120.821,22.209,59.025,48.469,-20.132,3.027,-23.574,23.389,5.205,-63.742,-29.333
25.61764,41.023,59.625,15.213,-20.271,54.63,-26.9,12.298,-6.728,34.131,8.359,-0.28,-18.477
25.84363,44.52,49.419,42.518,41.03,40.235,-7.18,20.527,-24.965,-18.77,-8.283,-13.835,11.998
26.10544,43.392,23.252,40.399,8.34,20.547,-18.627,13.944,1.083,14.352,13.139,-8.802,-6.671
26.30172,39.794,19.844,2.634,3.524,56.862,-38.272,-7.35,9.794,28.04,-15.741,-20.14,4.795
26.59782,42.872,23.594,15.529,-7.689,75.734,-24.069,-8.742,-10.334,39.57,22.168,0.592,-25.185
26.83066,41.497,33.276,-6.428,29.082,87.487,-24.137,-10.219,-22.286,42.12,3.032,-38.21,-21.513
