start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.257,166.27,-0.794,-34.274,48.969,-50.272,22.911,3.279,-25.763,5.226,-14.342,-8.56
0.3658,2.743,111.836,-64.757,-63.387,20.646,-49.541,17.324,-1.739,-27.761,7.389,-11.868,-4.816
0.48889,5.453,52.706,-104.253,-84.973,20.654,-44.702,8.715,-7.204,-20.743,16.809,-16.156,-7.825
1.17261,7.008,25.648,-71.157,-85.625,56.977,-47.724,9.959,-20.878,-11.008,14.901,-7.098,-19.15
1.42127,10.124,-9.228,-16.219,-42.131,82.961,-54.605,-0.401,1.818,-31.001,-4.742,-0.246,-23.098
1.62984,10.55,-32.428,-40.303,-39.837,100.627,-46.224,-39.567,13.247,-32.379,-5.434,-0.899,2.431
1.94952,8.338,5.741,-40.214,-30.641,93.508,-44.182,-45.99,19.571,-36.53,-7.318,-2.558,-1.133
2.39247,7.938,6.805,-89.177,-89.509,48.645,-43.632,3.775,-12.816,-20.834,16.968,-12.485,-5.632
3.31932,11.51,-27.881,-25.88,-55.335,72.515,-49.698,7.223,-0.375,-19.488,0.107,-0.662,-19.14
3.50698,13.061,-37.108,2.256,-26.012,78.012,-51.213,2.879,3.102,-26.39,-0.442,-7.497,-27.814
3.58685,13.482,-46.964,-13.072,-27.819,78.811,-39.943,-24.681,5.72,-28.928,-7.174,-11.216,-12.298
3.80789,10.177,-26.927,-54.952,-31.012,90.229,-48.998,-43.235,23.061,-31.539,-7.382,-10.459,-6.404
4.43655,8.742,-4.562,-96.149,-80.162,40.69,-47.894,9.667,-0.093,-23.299,6.967,-14.405,-2.167
4.99728,9.346,-2.244,-85.076,-66.51,27.678,-49.544,11.59,3.88,-36.271,-2.386,-2.923,6.877
5.07447,13.126,-87.926,-52.718,-109.562,103.291,-44.93,-7.854,-52.599,-30.129,9.765,-1.701,7.403
5.27714,18.987,-166.867,-30.979,-51.767,119.913,-47.458,-21.812,-0.898,-27.966,-5.87,4.98,2.583
5.39732,20.476,-167.806,-4.296,-56.685,102.155,-41.097,-10.483,-3.887,-35.567,-8.539,8.961,-1.324
5.59628,22.403,-174.787,4.193,-9.081,88.863,-37.824,-21.627,13.518,-38.364,-16.679,3.063,-4.425
