start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.22667,22.857,104.908,133.438,-363.027,73.069,94.442,41.59,-6.589,-42.87,55.623,-23.461,3.928
0.66776,37.827,110.401,-50.914,305.071,5.491,-35.684,-33.414,9.179,-48.692,-44.434,-89.761,12.054
2.30454,32.709,65.427,58.564,-175.044,56.948,221.611,36.588,51.252,-33.355,-17.506,-36.152,4.304
2.69347,42.767,138.917,-19.188,248.594,19.491,-4.675,-19.447,6.46,-43.841,-54.358,-87.314,22.493
3.79116,13.542,31.142,53.142,2.63,22.668,-31.992,25.775,21.1,-56.631,-16.959,-10.673,16.031
4.22027,27.634,101.081,60.235,-119.759,81.097,42.276,54.423,-120.723,-29.271,55.918,-52.515,28.017
4.46381,36.972,11.474,47.94,114.271,65.198,-21.038,-21.297,2.841,7.449,-7.063,-29.2,-5.122
4.6151,35.219,43.206,54.884,-12.837,42.463,39.154,-41.716,-34.284,-30.726,-1.08,-12.455,-19.45
4.76649,38.477,-14.494,112.89,28.54,80.605,20.947,-6.551,12.756,-21.974,-1.46,-7.963,-33.314
5.00993,25.79,-17.0,-7.646,143.592,50.333,-5.758,-31.036,39.937,-14.308,-21.652,-65.284,-10.007
5.6971,10.265,56.087,2.93,17.932,13.51,-44.812,15.893,17.35,-34.678,-0.124,-26.822,4.135
5.86608,7.601,63.803,-21.58,-16.741,8.824,-34.273,26.284,25.981,-71.95,-12.57,-15.373,13.171
6.04,6.329,36.629,-94.738,-72.654,36.547,-42.463,-2.719,4.961,-28.896,9.866,-15.713,14.309
6.47732,25.524,116.073,112.18,-365.266,44.863,120.838,23.765,20.88,-35.708,18.394,-39.796,12.941
6.89147,43.168,111.77,-24.476,211.105,20.985,-20.458,-29.257,16.869,-29.023,-44.499,-83.39,9.39
7.76803,44.104,123.998,10.752,32.321,38.363,155.314,36.047,22.562,-21.478,-2.635,77.75,-4.245
7.95837,41.698,130.818,36.884,7.409,63.362,-23.552,-52.374,-9.528,-32.513,-25.557,-4.407,19.421
8.10898,43.029,140.897,-31.419,175.101,46.763,-30.689,-40.708,-11.152,-25.679,-42.954,-85.106,32.651
9.05546,17.431,-39.48,16.908,-6.032,82.207,-60.754,-3.181,-16.769,-38.365,4.859,-7.515,-11.159
