start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,20.219,129.891,179.594,81.083,72.699,-29.999,-2.155,2.111,-30.87,-12.703,-7.904,-14.396
0.24975,25.621,-77.225,-66.182,-51.467,9.652,-25.397,-18.438,-18.765,-21.604,28.649,-3.768,14.463
0.42059,25.629,-89.18,-62.046,-51.713,-8.756,13.356,-21.329,5.833,-11.076,-27.041,-31.161,2.627
0.68526,26.7,-39.746,-59.615,1.36,-52.718,-25.351,-18.114,-12.603,-19.191,6.829,-9.974,10.611
0.90141,22.99,-73.716,-76.97,-11.512,-36.269,-22.182,-3.1,-2.057,-22.027,-19.498,-9.29,-1.746
1.10748,26.782,-34.26,-91.038,7.107,-28.058,-20.109,-14.014,-37.536,0.673,3.354,-11.852,24.666
1.52957,20.874,-63.679,-34.218,6.789,-46.308,-60.443,5.863,8.599,-44.37,-13.198,-10.134,1.736
1.69061,17.642,-75.729,-69.235,-26.708,-11.743,-20.955,9.548,20.771,-41.674,-13.82,-34.847,3.514
2.15646,23.192,-50.679,-28.866,-7.867,-1.609,46.364,27.063,-9.856,-5.559,6.091,10.154,-4.803
2.39234,21.777,-67.616,-57.588,-28.727,-43.887,-36.262,-0.67,-10.107,-40.264,11.266,-5.606,-4.756
2.58703,24.21,-62.217,-50.008,18.466,-27.555,-39.906,7.367,-7.949,-6.705,15.022,-15.391,1.798
2.81646,22.393,-82.574,-97.368,-11.887,-22.176,-44.916,-33.205,-25.749,-9.795,7.028,-20.149,-2.879
3.21601,23.7,-47.703,-59.302,-35.566,-58.349,-17.49,-19.79,-13.225,-9.811,12.615,0.797,-2.895
3.39061,38.53,70.19,-60.661,-45.532,3.134,37.518,-26.744,-84.755,-28.528,66.485,-36.318,2.418
3.64726,39.948,170.196,-61.368,-39.768,-8.921,13.451,-50.244,38.254,30.513,-50.526,19.783,-15.152
3.84825,37.716,-55.137,-63.595,-9.426,30.865,-37.729,-36.913,-0.157,5.51,22.035,-28.316,4.397
4.03986,33.242,-30.553,-87.027,19.886,3.159,-17.326,-45.385,-9.824,-15.164,3.939,-47.283,-10.306
4.22617,30.06,-4.158,-83.107,-28.522,0.201,40.197,-20.021,-19.943,-33.349,-7.724,-56.039,-10.181
4.4561,37.494,-8.682,-79.259,1.46,38.315,-7.792,-18.694,-37.571,-34.978,46.39,-33.746,2.093
4.70975,32.359,-44.731,-90.498,-15.127,20.493,-5.545,-14.273,17.915,-27.874,-23.057,-13.405,-20.65
4.85769,30.468,3.754,-112.901,-6.935,0.6,16.294,-29.186,-28.465,-27.233,-13.78,-47.499,-24.028
5.05683,33.648,0.545,-81.216,17.992,24.865,35.542,6.035,-47.543,-35.684,35.886,-62.52,1.666
5.41061,26.942,-54.57,-117.666,24.523,16.864,-41.494,-14.384,-35.364,-27.6,33.218,-39.334,2.388
5.70934,24.135,-58.231,-67.755,-34.499,-66.728,-34.437,-32.998,-16.017,-17.131,12.216,-5.732,-19.197
5.90304,25.269,-43.599,-83.824,-18.572,-46.039,10.626,-26.069,-18.143,15.193,-15.202,-10.669,-10.971
6.13234,26.21,-38.925,-70.606,-15.879,-49.21,-36.67,-36.56,-25.135,-12.27,3.814,-13.945,-5.439
6.32902,39.221,31.194,-44.071,4.934,20.826,-21.882,-4.928,0.681,-36.709,-17.429,-23.476,-33.79
6.45406,35.516,21.436,-93.323,13.998,-8.863,-1.32,-32.652,-26.068,-43.583,-25.933,-49.851,-32.365
6.70249,35.899,16.944,-74.277,-10.893,-20.967,2.594,-33.386,-22.311,-32.851,8.553,-22.436,-13.654
7.11007,29.629,-75.66,-68.221,9.883,26.278,-11.66,14.94,14.664,-36.753,0.958,-19.086,13.079
7.34499,30.876,47.515,-39.919,-103.529,30.426,20.308,-1.311,-22.448,6.777,8.343,-26.192,4.704
7.78032,28.235,-23.495,-64.517,-57.482,-27.113,-50.934,-45.676,0.303,-2.703,13.848,-0.864,0.136
7.86544,34.376,88.932,-162.941,24.651,89.279,-33.042,-39.15,-27.749,-16.697,-20.624,-24.418,-18.29
8.62639,32.633,50.156,-114.377,-150.885,96.61,-1.497,-9.543,73.015,8.448,-43.024,-2.509,-0.353
8.7829,34.851,89.92,-160.526,-34.187,64.379,-56.73,-48.009,-9.285,-25.683,6.602,-25.715,-10.45
9.23982,32.694,36.599,-103.851,-89.344,20.415,-34.593,-22.806,-1.141,-24.29,9.169,-19.391,-2.327
9.83664,41.724,110.509,-50.074,-63.177,31.535,58.435,-32.264,58.741,2.29,5.625,-11.515,-3.164
10.39678,41.949,116.111,-91.782,-17.483,71.048,-25.222,-34.328,4.116,27.763,34.211,-23.634,40.798
10.65206,38.937,120.055,-81.366,-76.519,36.974,-24.428,-56.161,18.706,3.876,36.516,0.821,15.614
10.80218,38.742,101.243,-96.932,-23.926,6.755,-41.616,-71.875,11.669,-6.22,4.291,-12.198,-5.8
10.95333,39.494,26.879,-64.519,-91.999,47.282,-13.149,-20.637,-26.007,-19.747,43.502,-11.039,22.397
11.2424,38.356,46.584,-79.406,-1.317,7.472,-70.866,-66.069,17.833,-19.667,-18.503,5.528,-20.123
11.37868,36.964,55.351,-96.458,-21.825,17.672,-29.897,-58.325,30.023,-16.148,5.271,0.093,-23.491
11.54032,38.102,96.821,-56.255,-83.082,7.066,8.736,-32.876,-49.502,10.366,24.997,-31.792,18.265
11.94331,34.969,54.778,-98.251,-48.825,3.158,-32.609,-41.664,-11.074,22.45,6.741,-11.511,29.317
12.36771,35.49,198.902,-88.282,-69.387,-33.406,-27.742,-80.525,-6.845,52.719,14.987,2.232,16.253
12.57351,37.17,125.218,-75.623,-41.516,-8.689,-19.972,-69.35,-8.212,36.139,21.388,-20.312,32.065
12.7941,39.577,189.216,-113.212,-71.539,13.287,-39.888,-67.444,-11.432,8.991,12.214,-9.5,2.623
12.95116,39.656,109.479,-77.728,-71.289,-3.945,-23.934,-47.472,-21.549,-3.511,30.385,-11.169,12.152
13.13728,41.03,62.809,-68.624,-47.485,-0.328,-1.206,-60.921,-0.622,-12.699,-4.38,-38.83,-14.101
13.32902,36.935,55.994,-43.19,-99.062,0.392,-11.775,-46.108,-45.943,13.058,21.82,-23.453,18.645
13.61991,37.786,45.478,-69.086,-38.144,-16.946,-19.784,-26.187,13.305,-12.119,3.015,-35.35,3.856
14.4371,33.224,24.262,-120.529,-54.408,1.931,-36.537,-32.963,-14.975,0.735,24.275,-15.681,-3.311
14.83823,33.134,13.203,-106.529,-5.533,-35.425,-72.874,-57.463,-34.838,3.827,67.226,-33.039,-2.623
15.01587,35.554,49.209,-92.613,-109.624,5.733,-6.262,-17.023,-24.675,-19.553,20.299,-22.527,-15.784
15.45356,31.823,18.587,-104.754,-54.021,-24.883,-32.345,-35.294,9.399,22.105,28.354,-27.965,19.299
15.68948,32.138,71.963,-132.321,-76.552,3.104,-20.668,-42.894,0.255,34.271,26.637,-2.484,17.714
15.8419,34.915,125.657,-123.816,-106.591,45.099,-13.943,-19.342,-6.187,13.554,48.094,-20.681,45.658
16.1044,37.607,61.09,-177.415,-73.828,51.228,-61.479,-39.454,8.043,25.818,19.698,-2.37,11.151
16.3005,38.578,47.685,-135.789,-40.734,28.841,-48.303,-31.871,18.991,-9.204,7.85,-6.227,8.917
16.49737,39.516,54.742,-80.53,-50.761,-6.711,23.911,-5.024,5.399,-23.903,29.322,-17.852,3.204
16.92036,43.88,8.948,-109.245,-50.947,54.678,-49.605,-21.252,-12.682,-21.222,23.182,-0.566,2.429
17.16966,39.879,22.449,-129.528,16.297,43.576,-81.033,-43.691,49.016,-5.541,-18.153,-12.268,-13.495
17.32399,39.844,2.969,-95.071,-87.336,79.778,-12.727,-18.493,-36.982,5.627,44.344,-20.651,14.78
17.46694,39.146,-24.76,-126.741,-12.179,84.118,-44.3,-34.154,54.962,3.434,1.573,-30.398,10.068
