start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
1.03102,10.026,-11.159,1.041,-45.301,103.853,-43.669,17.994,-6.02,-30.146,10.926,3.921,-2.764
2.42667,13.527,-51.077,12.961,-13.51,90.676,-53.245,23.731,11.413,-44.318,-7.414,2.007,-1.878
3.20408,13.905,-65.179,-3.882,-32.506,89.027,-52.904,24.746,5.539,-38.845,-4.4,0.223,0.235
3.73293,15.258,-72.083,11.301,-5.482,84.591,-68.245,30.031,13.415,-27.931,-12.641,-8.498,-5.353
3.85447,15.185,-94.173,-11.5,-31.617,103.551,-55.333,9.522,15.864,-32.253,-9.633,1.271,-0.635
3.98803,15.238,-91.586,-4.102,-22.09,107.596,-49.181,9.934,20.344,-30.806,-0.75,2.709,-10.312
4.42957,14.433,-82.409,-15.908,-37.4,96.647,-53.065,14.555,9.169,-34.219,-9.204,0.394,-0.337
4.6556,14.924,-89.097,-8.687,-15.443,107.789,-65.554,14.623,24.235,-21.501,-11.117,3.54,-10.159
6.3088,14.053,-76.71,-3.985,-41.414,104.994,-56.854,22.336,0.912,-33.16,-6.024,3.325,2.65
10.95941,15.371,-86.224,1.238,-22.63,93.651,-48.718,23.509,13.32,-39.274,-11.699,-7.614,1.258
11.27361,15.107,-82.38,-6.297,-20.564,87.37,-54.725,29.84,16.22,-34.429,-11.33,-8.968,-1.318
11.7424,16.401,-103.147,6.98,-22.488,108.353,-32.489,25.658,25.366,-29.27,4.472,-8.362,-11.756
11.89959,16.487,-106.35,-3.708,-3.779,103.598,-60.406,1.797,24.77,-33.028,-12.905,2.83,-6.459
12.1781,15.472,-83.598,-0.846,-10.34,90.527,-42.208,26.929,19.251,-35.045,-5.406,-4.474,-4.905
12.93896,15.384,-95.509,-12.427,-25.438,101.015,-50.817,7.482,18.128,-33.377,-13.476,0.752,-9.049
15.42422,14.633,-83.561,-18.458,-30.326,92.026,-58.195,24.711,15.023,-33.254,-9.928,7.143,7.709
16.06853,14.503,-84.547,-25.344,-39.307,88.623,-54.653,23.017,10.703,-34.599,-9.728,-1.911,3.98
16.79478,15.116,-84.69,-9.647,-38.668,86.111,-45.783,23.198,7.489,-36.7,-6.73,-6.723,-8.747
18.23288,14.909,-82.392,-9.356,-33.147,89.658,-47.239,26.955,9.266,-33.08,-4.82,-4.206,-5.006
19.2902,15.293,-100.08,-29.531,-33.464,94.817,-61.108,15.188,15.576,-27.791,-14.214,2.283,-0.854
22.94132,15.176,-99.65,-28.641,-36.42,99.046,-50.487,15.534,11.186,-31.695,-7.375,6.945,3.005
23.51519,15.651,-99.46,-27.29,-22.685,85.66,-68.831,21.579,16.935,-30.736,-14.468,-3.022,2.081
26.83061,15.121,-102.443,-28.088,-51.19,102.672,-52.318,17.288,-0.043,-29.884,-0.985,-2.8,2.166
31.39116,16.518,-131.233,-80.03,-50.708,73.513,-63.478,22.382,21.123,-22.8,-10.37,3.712,-0.086
32.01868,15.706,-114.665,-47.967,-53.343,91.252,-55.972,9.729,6.927,-33.517,-7.169,4.405,8.092
32.83773,16.783,-111.783,-37.096,-28.422,72.188,-61.598,8.143,12.555,-33.679,-11.019,1.023,0.481
34.57519,14.957,-90.843,-24.892,-32.186,90.259,-53.682,21.853,14.649,-37.81,-7.098,-0.035,8.276
37.31546,14.828,-93.056,-40.522,-44.609,81.778,-51.808,28.351,8.054,-35.685,-6.689,-0.898,11.05
37.71034,15.288,-106.945,-45.837,-48.469,91.849,-55.013,1.957,13.466,-34.504,-12.1,7.732,7.511
39.1942,15.028,-94.144,-36.653,-39.828,83.765,-52.472,22.526,10.271,-33.762,-6.959,-1.388,3.385
42.13868,15.485,-102.455,-37.209,-36.869,83.201,-68.135,17.86,11.633,-34.714,-18.28,1.178,13.035
43.75329,15.208,-103.709,-43.896,-36.668,91.828,-55.528,1.074,18.628,-37.115,-13.946,2.747,10.859
44.40336,15.088,-93.373,-25.489,-33.776,90.121,-54.142,30.453,16.155,-33.813,-9.062,2.384,9.459
44.64558,15.489,-98.315,-25.457,-38.522,86.694,-53.995,12.142,9.698,-39.096,-11.431,-2.722,3.372
44.79565,15.852,-93.953,-23.099,-30.597,72.593,-49.642,29.569,15.707,-36.24,-12.65,0.013,-5.133
45.69737,15.895,-101.965,-13.601,-34.755,91.548,-52.029,14.997,11.896,-45.667,-15.136,-1.946,16.635
45.89923,15.979,-105.1,-24.801,-30.516,87.051,-61.276,7.327,12.108,-41.709,-16.76,1.318,8.959
46.39197,16.327,-122.46,-62.078,-54.095,75.245,-60.881,32.184,11.528,-25.692,-5.874,-2.191,1.76
47.38671,16.463,-125.895,-42.889,-52.436,94.811,-53.243,-1.573,9.174,-41.12,-12.588,6.967,11.733
47.90354,16.554,-122.642,-38.277,-44.562,90.841,-55.099,8.133,4.324,-38.034,-8.778,-3.557,5.602
48.56989,16.834,-123.266,-43.684,-53.605,76.002,-53.319,31.727,8.178,-35.777,-9.095,-2.693,2.411
49.32844,17.067,-134.076,-52.035,-41.068,89.507,-65.592,20.828,17.363,-18.959,-9.342,-4.569,-17.465
49.46993,18.168,-144.225,-56.958,-49.405,68.019,-65.126,35.232,10.54,-25.985,-3.457,-7.446,-10.714
49.70363,19.215,-151.394,-58.553,-49.394,51.035,-43.485,29.744,11.868,-44.514,-7.981,-17.481,6.311
50.84766,16.686,-121.722,-35.536,-40.863,89.354,-52.361,16.821,10.689,-34.2,-6.622,-1.546,-2.149
51.53574,17.319,-119.333,-26.029,-16.298,83.76,-49.674,14.315,22.403,-31.666,-10.187,1.171,-13.377
51.78063,17.585,-132.546,-37.808,-46.788,77.612,-63.88,15.534,4.832,-41.314,-12.709,5.31,6.207
51.90821,18.484,-138.414,-31.652,-43.859,68.658,-64.3,24.418,13.098,-40.524,-20.094,4.69,7.049
52.19179,18.225,-137.239,-49.328,-33.611,63.172,-53.392,29.267,19.785,-39.534,-14.366,-0.518,11.462
52.58349,18.127,-152.328,-56.409,-54.505,83.984,-52.787,7.711,5.163,-40.434,-11.644,-0.679,14.546
52.83107,18.737,-153.827,-45.615,-52.014,78.83,-50.428,4.482,8.647,-47.73,-12.408,2.148,10.487
53.25556,18.505,-147.44,-46.707,-34.768,79.789,-49.954,1.985,19.767,-39.944,-14.818,5.055,0.063
55.44971,17.207,-144.748,-40.585,-62.136,111.446,-51.701,-11.04,-3.041,-34.206,-7.903,1.9,2.482
55.64245,18.286,-157.293,-57.918,-51.741,90.758,-54.663,-3.74,9.09,-38.602,-8.713,10.523,8.249
56.34925,18.957,-139.905,-26.37,-42.374,69.172,-42.622,-2.038,10.251,-50.207,-12.994,3.339,-8.596
56.76776,18.955,-155.532,-56.198,-45.804,75.078,-47.051,-9.877,0.801,-41.689,0.827,-4.971,-8.729
56.95193,19.3,-179.752,-86.2,-51.431,84.011,-56.902,9.526,18.302,-17.367,-1.398,-3.388,-17.27
57.58458,18.157,-158.584,-98.206,-50.868,63.594,-61.44,24.858,29.931,-18.939,-10.074,-0.855,-7.232
58.35138,17.567,-156.602,-72.098,-58.967,96.892,-62.079,-7.076,6.944,-28.201,-9.66,-0.596,6.121
59.25628,16.855,-129.551,-48.458,-55.308,86.109,-55.81,14.734,6.125,-30.818,-3.056,-5.322,-7.656
59.70395,16.622,-136.401,-47.63,-46.108,112.222,-49.08,-13.914,14.151,-31.062,-4.359,3.349,0.0
60.07016,15.999,-120.957,-37.357,-46.072,107.757,-54.927,5.614,9.985,-24.72,-1.163,-3.166,-7.485
60.20998,16.777,-128.976,-43.313,-54.149,89.787,-54.163,6.829,5.646,-40.899,-10.398,4.488,11.705
60.60454,19.056,-139.868,-32.664,-33.126,72.271,-30.541,7.779,20.626,-34.55,-7.422,-7.357,-8.861
60.96481,18.377,-141.428,-41.6,-40.54,74.307,-51.299,18.822,12.257,-34.341,-8.536,-6.463,-2.37
61.28834,17.803,-156.144,-64.788,-61.094,95.716,-49.27,-7.761,3.983,-36.89,-2.724,1.09,8.297
61.52667,17.657,-148.86,-72.598,-41.917,84.27,-59.527,-4.206,30.43,-28.626,-15.39,13.783,-4.479
62.31025,16.601,-115.114,-24.747,-35.05,90.453,-48.575,3.335,14.548,-42.174,-7.932,-2.152,-7.182
62.90204,16.532,-126.262,-34.573,-53.714,99.554,-54.678,10.638,-0.234,-35.398,-4.325,-2.171,4.018
63.19959,17.477,-152.542,-75.429,-65.93,87.4,-50.561,-8.549,5.042,-37.254,-8.948,-1.127,13.033
63.53982,17.113,-131.721,-58.576,-44.301,74.941,-57.839,5.975,16.108,-39.435,-14.291,4.734,5.458
63.85306,16.795,-129.781,-51.063,-49.226,87.995,-54.889,8.922,10.915,-30.041,-4.526,-2.493,-5.964
64.43587,16.297,-126.921,-62.663,-50.373,88.856,-56.669,-1.315,15.963,-27.587,-8.928,4.528,-5.162
65.32508,16.725,-137.561,-63.195,-62.205,91.054,-52.656,-3.174,6.085,-36.193,-9.465,0.917,10.927
65.90376,16.475,-120.515,-44.316,-48.941,84.604,-54.877,23.275,11.543,-28.754,-3.511,0.007,-6.745
66.23488,17.176,-136.202,-59.839,-60.664,77.645,-56.272,21.977,-1.139,-30.54,0.916,-6.276,-5.516
