start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.894,168.696,19.728,-52.862,55.125,-61.989,18.874,-6.616,-26.576,1.184,11.268,-10.191
0.1507,50.013,202.34,38.321,23.623,12.014,-66.225,-37.136,65.223,25.414,-37.832,33.51,-10.047
0.49918,51.595,197.74,110.665,87.765,67.139,-84.732,-73.802,48.786,29.56,-27.316,15.513,0.774
0.75469,46.646,281.112,150.395,46.96,36.019,-27.591,-60.496,-0.08,-2.455,0.214,5.864,-14.565
0.92304,46.722,277.671,120.427,34.098,33.497,-26.188,-56.678,-1.974,16.108,22.52,9.003,4.115
1.00435,50.431,204.836,120.433,105.05,80.565,-46.532,-62.623,72.409,21.951,29.384,37.658,-3.862
1.45134,44.527,255.913,106.677,23.237,27.222,-49.259,-52.266,-10.515,9.547,2.028,0.829,11.129
1.52082,47.928,150.702,-33.372,39.383,-12.626,-56.707,-45.734,61.198,23.635,29.151,18.612,5.184
1.66603,42.529,314.16,137.844,22.034,39.902,-26.187,-34.626,13.612,26.297,29.773,-7.14,0.282
1.86912,49.306,174.315,83.648,114.307,79.031,-68.858,-70.366,52.048,8.505,21.426,45.384,-12.436
2.11873,43.966,261.191,128.392,16.981,59.396,-26.109,-56.781,17.571,24.711,29.61,10.537,0.647
2.31025,44.886,257.782,101.72,10.861,31.809,-48.288,-56.504,-3.315,33.331,12.912,14.904,12.217
2.39152,49.049,139.594,92.061,114.177,85.917,-93.306,-69.454,47.866,29.576,8.732,13.262,-8.214
2.55982,42.897,242.92,132.85,42.566,80.598,-44.686,-65.391,-4.386,18.621,12.01,9.479,-19.019
2.90834,49.96,202.703,40.981,26.679,13.859,-65.275,-39.836,66.287,24.944,-34.344,33.593,-9.426
3.25646,51.484,198.848,113.934,88.789,66.22,-81.975,-72.53,48.793,28.365,-25.721,16.952,1.353
3.51197,46.75,279.685,144.822,44.332,32.638,-25.056,-58.266,0.95,-1.656,1.081,7.993,-15.234
3.6805,46.573,277.324,121.655,35.317,37.02,-23.481,-57.709,-2.622,16.873,24.318,7.731,4.855
3.76159,50.324,206.549,117.904,101.664,78.409,-41.444,-60.377,70.67,22.426,34.636,38.593,-3.561
4.20853,44.792,256.812,100.743,18.773,25.766,-52.872,-47.765,-5.702,11.363,6.412,5.413,11.181
4.28422,47.96,147.023,-35.891,36.024,-18.74,-74.893,-49.335,59.754,28.669,6.255,9.727,7.192
4.42349,42.494,315.162,137.565,21.51,39.136,-24.582,-33.418,12.624,26.047,30.982,-7.217,0.043
4.62653,49.278,174.68,85.408,117.292,81.32,-58.033,-65.751,54.469,6.555,31.541,51.649,-11.123
4.87605,43.948,262.18,129.841,17.39,61.21,-25.0,-57.403,17.631,25.342,29.96,9.631,-0.703
5.06771,44.515,261.342,95.6,18.071,30.867,-43.007,-64.961,0.945,31.893,14.504,8.054,11.457
5.14916,49.228,140.569,89.656,117.438,83.174,-86.588,-65.343,48.94,30.966,13.716,15.145,-7.842
5.3176,42.975,241.462,132.379,42.1,82.49,-39.409,-63.711,-7.61,19.322,12.484,12.314,-20.038
5.67147,50.101,204.317,40.337,24.185,9.871,-72.367,-38.411,64.623,24.762,-37.423,25.581,-8.729
6.01388,51.466,200.659,112.478,88.586,67.11,-80.523,-76.24,46.488,24.477,-21.416,20.2,1.143
6.26921,46.707,279.808,146.438,44.334,32.797,-23.147,-56.356,2.362,-1.427,2.104,9.963,-14.653
6.43773,46.612,275.189,114.925,34.983,32.664,-21.413,-53.07,-2.147,17.927,26.382,7.619,4.581
6.51909,50.304,207.649,116.724,100.338,78.666,-35.199,-61.477,68.842,20.466,37.849,39.894,-3.968
6.96603,44.945,258.992,100.953,18.601,25.58,-49.367,-47.602,-6.197,11.786,5.781,5.431,9.893
7.04132,47.741,150.952,-30.889,38.34,-16.617,-71.935,-49.769,61.745,27.478,9.893,13.658,6.022
7.18658,42.557,314.272,139.606,23.38,42.178,-25.436,-35.999,15.969,25.213,32.338,-5.591,0.782
7.38385,49.01,177.358,87.599,118.839,83.335,-48.461,-64.463,55.95,6.083,36.772,55.019,-11.804
7.6395,43.961,261.725,130.652,18.407,60.863,-28.793,-59.372,19.097,27.01,22.748,10.38,-0.85
7.82526,44.254,262.792,92.359,22.448,32.241,-38.762,-70.776,2.326,32.434,17.248,3.261,9.532
7.90626,49.126,145.937,93.113,120.462,85.858,-82.597,-63.785,48.175,28.079,16.96,17.721,-7.662
8.07456,42.946,243.635,132.844,41.87,83.703,-37.398,-62.945,-7.695,20.086,13.2,13.385,-21.932
8.42902,50.15,203.79,38.533,24.92,9.634,-71.634,-37.02,64.187,25.818,-36.959,26.391,-9.617
8.77129,51.661,196.805,107.135,89.108,67.272,-76.397,-73.075,48.703,25.882,-14.185,24.411,-1.305
9.02667,46.712,280.619,147.099,45.944,35.013,-20.356,-55.645,2.784,-1.585,2.43,12.972,-15.394
9.19506,46.679,278.818,118.49,32.691,33.758,-19.367,-54.023,0.098,17.56,28.729,10.52,3.29
9.28213,50.588,199.205,118.453,102.102,77.102,-56.578,-65.539,73.421,24.151,20.907,34.134,-2.672
9.72322,44.963,259.501,102.071,21.006,25.874,-46.592,-50.784,-6.661,11.464,6.405,5.091,8.276
9.79859,47.805,150.583,-28.456,40.093,-12.044,-65.266,-49.594,61.563,25.191,18.76,15.532,7.049
9.94395,42.477,314.33,141.555,24.93,44.394,-25.172,-36.848,14.01,25.511,29.85,-6.952,0.867
10.15302,49.29,165.457,90.172,103.048,75.611,-108.248,-79.747,50.921,15.839,-12.568,18.695,-8.765
10.39655,44.004,259.912,127.892,17.134,58.337,-27.478,-57.35,19.351,27.291,25.973,10.261,0.585
10.5883,44.104,261.074,94.134,22.886,33.741,-46.012,-71.656,0.719,34.31,12.006,2.857,12.36
10.6639,49.12,146.166,86.201,117.843,82.578,-75.833,-62.765,45.877,25.923,23.876,20.583,-5.055
10.83224,42.891,244.397,134.199,41.944,84.447,-35.641,-62.321,-8.191,19.951,12.052,12.788,-21.856
11.18608,50.078,203.821,37.485,25.083,10.094,-70.018,-37.435,63.62,24.854,-36.468,28.628,-9.534
11.5288,51.705,196.529,109.392,94.1,68.516,-72.38,-69.328,50.857,23.552,-9.456,28.419,0.378
11.78426,46.6,281.283,149.375,47.798,38.233,-17.452,-55.247,3.364,-0.098,0.898,14.155,-16.226
11.95814,46.641,278.308,118.801,33.478,31.817,-29.775,-55.858,-0.477,18.671,22.393,9.524,3.325
