start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.89918,9.01,-9.09,-95.135,-95.788,41.64,-31.582,27.045,-13.486,-23.18,32.959,-5.229,2.617
1.28481,11.518,-38.546,-87.984,-62.8,34.182,-60.851,15.757,9.358,-16.287,-4.366,-2.858,-18.688
1.83447,12.853,-64.295,-72.632,-60.398,66.579,-57.953,-5.266,5.926,-4.612,4.808,-7.389,-28.544
1.97637,13.921,-75.218,-57.031,-60.451,70.461,-49.526,5.142,5.996,-8.749,14.807,-9.663,-27.986
3.18381,14.246,-59.804,-75.158,-51.149,23.272,-44.7,14.158,15.231,-9.552,5.703,-13.165,-21.768
3.338,14.65,-73.339,-77.133,-49.611,28.682,-58.051,20.6,15.333,-10.166,3.656,-13.975,-22.725
3.50077,14.288,-77.993,-87.815,-54.846,36.158,-55.507,23.405,18.269,-10.736,2.472,-14.409,-15.023
3.6429,14.293,-76.064,-91.132,-66.804,27.007,-51.655,20.829,8.987,-18.015,5.135,-6.762,-13.478
3.7922,10.314,0.214,-96.986,32.979,19.809,-63.494,-15.295,96.249,-17.155,-23.98,-6.552,-9.879
5.74676,16.324,160.233,87.16,156.034,-32.94,-12.223,-0.416,2.243,-87.386,8.608,-12.826,0.243
6.67592,18.028,-91.687,-1.669,18.86,61.034,-50.188,-7.468,79.103,-25.232,-0.387,32.744,-33.764
7.02417,12.963,-23.196,-31.697,78.013,68.365,-24.231,-26.97,102.038,-27.213,23.39,-12.854,-20.965
9.10286,15.318,195.732,115.722,151.147,-48.721,-12.359,12.669,8.815,-95.01,6.851,-11.847,8.311
9.65927,18.185,-74.589,-8.293,56.608,37.274,-63.025,-19.079,76.325,-15.632,-24.358,5.057,-34.646
10.181,9.599,17.469,-8.437,-6.762,61.99,-40.458,-26.787,24.854,-50.531,-16.031,-10.157,-19.812
10.93551,5.801,61.721,-7.421,-12.959,88.777,-59.044,-25.982,20.892,-25.499,-15.94,-2.443,-10.071
11.60422,33.564,37.53,5.548,76.818,-23.777,82.864,-2.205,40.455,-39.237,53.707,-15.327,8.072
11.99356,30.454,-109.627,-46.213,49.864,-26.949,27.042,7.837,16.363,-30.256,43.874,9.078,-1.423
12.37633,34.752,-24.225,-26.017,71.216,-40.163,-0.976,-4.661,-16.502,-19.172,-15.769,-6.302,7.499
12.75374,36.766,-1.626,-16.194,87.654,-39.959,-25.328,-11.601,-10.71,-25.066,14.278,-27.784,11.893
13.1093,42.579,26.782,-78.685,55.56,-37.346,-45.821,-27.757,-13.837,-20.821,39.599,-18.099,17.055
13.3283,32.412,-19.067,-57.163,41.476,-12.589,-82.018,-51.062,-15.009,-0.715,13.503,-5.108,24.35
13.47338,31.647,15.103,6.39,-25.932,39.006,-17.444,-65.583,19.65,28.935,-15.058,-9.835,-12.868
13.66431,38.106,-6.372,-155.857,83.749,-20.922,40.568,-36.723,-66.509,13.617,-13.03,19.928,-27.227
13.83324,30.83,14.088,-105.618,86.322,27.824,-14.955,-45.233,-25.596,-2.138,-30.912,-2.085,-16.804
14.05778,28.548,76.351,-7.877,9.525,1.428,-7.975,-95.056,-31.208,4.766,12.637,-3.794,-13.788
14.21565,37.461,21.05,-169.971,121.699,-18.334,-7.679,-56.172,-41.329,18.516,18.266,13.422,-10.095
14.41841,39.401,-25.627,-44.879,21.81,-22.806,11.954,-45.879,20.649,-6.448,-23.007,21.81,-3.024
14.59465,35.223,-32.568,-73.795,30.978,11.208,-5.225,19.507,-46.504,-23.657,23.892,-6.96,11.875
14.77016,36.549,-9.811,22.146,-87.914,-18.775,54.833,14.288,-2.603,-5.157,-33.308,-12.208,4.943
14.97088,40.846,22.171,14.722,-53.921,-3.826,1.358,-6.824,-13.398,-16.424,14.138,-15.564,-8.433
15.17424,43.311,15.939,47.997,-39.341,0.004,21.464,5.995,8.673,-16.473,-11.684,-4.543,4.23
15.56331,42.775,30.294,23.337,21.322,4.509,21.066,-17.922,-26.278,-12.621,-19.747,-15.796,4.972
15.89401,40.571,13.82,52.601,-111.402,-6.592,5.729,10.53,-5.811,-15.12,-5.589,12.272,9.58
16.09161,45.171,-2.272,-24.021,23.709,-21.896,-69.814,-13.095,-32.976,-18.694,29.785,-19.827,11.269
16.3117,38.803,-58.747,4.707,51.742,17.781,-65.587,-17.214,9.718,-19.667,-0.012,-25.324,35.451
