start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.144,168.052,5.284,-32.344,54.371,-50.367,16.882,2.281,-27.284,2.016,-11.52,-6.686
0.69111,3.17,99.583,-17.508,-48.541,82.828,-43.431,-12.874,-5.776,-13.634,16.01,-12.127,-31.588
0.78549,4.992,61.199,-7.118,-48.238,116.278,-48.076,-21.881,-10.719,2.04,15.839,-14.964,-37.414
0.90508,6.992,20.217,-4.313,-44.876,141.487,-50.972,-35.704,-9.507,3.092,11.267,-5.257,-22.642
1.13687,10.088,-33.56,14.642,-46.114,167.9,-46.898,-29.338,-14.925,-8.577,10.856,-3.741,-6.072
1.43342,11.844,-59.562,23.762,-29.455,177.01,-47.913,-24.223,3.069,-9.252,6.264,-1.307,-11.366
1.68943,12.831,-73.233,30.482,-28.175,178.5,-44.52,-21.485,-0.557,-14.851,8.076,-6.92,-13.066
1.9624,14.614,-99.957,31.624,-19.602,177.933,-44.948,-26.914,7.995,-21.977,-0.837,-8.155,-10.416
2.21832,15.579,-111.817,45.536,-29.161,179.87,-51.537,-19.728,-7.608,-23.385,-1.884,-1.744,-16.782
2.86186,16.641,-120.719,43.367,-25.058,164.968,-40.89,-8.644,2.987,-26.926,1.396,-9.358,-17.542
3.00163,16.913,-131.064,34.982,-10.428,174.234,-55.357,-30.574,13.986,-24.263,-11.544,10.413,-17.593
3.30227,16.332,-117.333,35.945,9.029,170.393,-59.069,-29.96,28.609,-19.951,-15.985,5.64,-20.949
3.48884,15.586,-105.892,45.996,-14.409,172.13,-47.283,-15.929,4.771,-27.446,-0.111,0.396,-17.859
3.75542,16.295,-117.503,56.999,-17.102,181.837,-52.798,-24.658,-4.695,-26.122,-5.948,1.831,-19.192
3.91265,16.857,-120.63,50.242,4.014,170.706,-60.042,-24.994,14.786,-21.503,-14.161,0.833,-24.251
4.02934,16.835,-129.821,30.516,-15.209,168.904,-51.719,-31.983,12.848,-26.169,-11.558,1.336,-16.0
4.19669,17.182,-125.379,51.745,-24.634,165.596,-45.026,-12.349,-2.191,-25.62,-2.21,-1.045,-24.209
4.32454,18.776,-115.991,69.22,-16.319,126.206,-44.84,-23.708,-3.09,-34.172,-14.626,2.109,-33.985
4.55637,20.743,-120.014,103.799,1.002,127.299,-36.025,-15.93,4.954,-26.435,1.678,5.966,-41.418
4.63828,22.176,-120.525,90.661,5.657,98.317,-38.382,-18.259,20.491,-22.774,2.12,3.578,-39.586
