start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,51.035,127.884,-93.438,52.375,16.178,-100.392,-34.613,45.199,9.962,-20.875,-17.304,3.796
0.1741,48.238,164.227,-50.56,27.985,39.15,-95.458,-60.091,30.27,2.067,-10.45,-13.109,7.248
0.33669,54.401,113.535,-20.227,84.242,48.924,-16.546,-42.408,44.336,-6.223,3.709,3.064,4.272
0.51669,47.933,195.865,25.7,12.584,88.077,-73.903,-53.429,10.81,-12.365,-2.403,3.197,4.28
0.60385,51.018,142.02,34.035,9.696,78.934,-54.699,-47.417,26.533,3.473,-15.345,6.091,-6.48
0.7722,48.197,140.984,-4.522,29.963,68.92,-72.477,-57.532,3.635,10.746,-11.205,15.5,-0.465
0.85918,51.404,129.297,-88.423,57.046,15.397,-94.756,-35.842,38.368,0.749,-12.06,-11.926,1.832
1.03324,54.691,111.044,-16.513,89.172,49.175,-53.837,-46.121,41.027,3.158,-15.519,-23.397,0.958
1.20753,47.411,212.346,25.745,26.06,90.684,-90.619,-56.084,-8.077,-6.475,-5.677,1.535,-3.427
1.29488,48.96,144.593,1.457,21.608,66.664,-72.908,-60.518,15.524,-2.628,-19.673,15.138,4.839
1.37574,51.933,126.181,-83.651,54.346,14.957,-92.441,-27.083,38.511,3.281,-10.627,-12.357,7.399
1.53247,48.128,165.305,-53.394,29.118,48.968,-2.921,-36.544,34.811,-6.778,18.308,26.154,2.718
1.71256,54.077,118.803,-15.559,77.962,52.712,9.455,-32.777,46.112,-10.096,20.94,13.943,0.75
1.89837,47.648,197.682,37.229,12.484,96.476,-77.313,-60.947,-1.205,-11.092,-6.966,-1.773,1.214
1.98526,51.095,141.369,24.25,-0.366,74.703,-51.233,-37.987,17.796,4.616,-13.663,0.054,0.204
2.15374,48.454,144.424,8.303,16.417,63.764,-89.221,-59.101,-6.657,9.779,-14.257,30.39,-5.603
2.24059,51.574,129.058,-81.253,54.947,12.676,-102.417,-28.486,35.829,-1.786,-18.56,-13.584,11.04
2.41478,54.455,113.344,-20.535,92.32,49.399,-59.924,-48.261,46.809,3.965,-18.94,-22.385,1.154
2.58898,46.47,219.002,31.652,3.427,93.985,-80.567,-64.285,-27.035,-13.862,4.625,-8.585,-2.887
2.6761,49.354,145.168,0.783,-0.242,60.612,-77.921,-57.72,9.158,1.755,-15.047,32.904,2.051
2.75741,51.72,127.481,-85.269,51.271,9.107,-98.24,-26.825,37.411,-1.31,-17.112,-18.094,5.442
2.91401,48.216,164.381,-55.781,35.43,47.32,-11.649,-37.147,41.756,-7.418,22.541,30.743,11.418
3.08816,53.472,122.91,-22.638,70.667,58.003,37.664,-36.01,48.703,-9.961,38.507,21.049,-3.007
3.27397,47.596,199.968,26.122,19.331,93.187,-73.861,-44.837,17.662,-3.965,-1.176,0.557,1.583
3.361,50.826,140.15,19.617,5.853,76.269,-43.998,-45.417,25.573,5.681,-5.748,4.339,-3.53
3.53615,49.037,143.456,21.127,-1.668,68.369,-99.061,-52.79,-9.253,6.889,-12.452,39.669,-3.926
3.62236,51.656,128.763,-84.403,42.121,12.505,-104.707,-19.481,33.248,1.863,-21.71,-19.098,10.992
3.77914,53.875,114.567,-21.834,72.629,56.962,22.372,-29.052,47.397,-8.603,22.224,14.868,-1.776
3.96472,47.674,210.49,28.484,26.766,91.638,-82.81,-37.268,-5.451,-8.933,0.341,-1.219,9.085
4.05188,50.384,136.809,21.411,4.556,61.18,-77.964,-47.47,11.193,-5.629,-20.467,40.61,-0.5
4.13891,51.619,130.836,-79.141,49.706,8.663,-105.122,-19.583,34.243,0.14,-20.858,-20.594,9.982
4.30721,49.264,160.015,-29.623,34.357,44.146,-84.624,-32.001,24.856,-8.62,-0.484,3.568,22.213
4.46984,53.857,120.048,-16.692,77.444,53.555,14.987,-36.921,45.742,-11.179,23.404,15.7,0.796
4.65551,47.719,207.075,35.988,16.867,94.386,-76.273,-45.871,1.96,-11.928,-2.129,-1.032,-2.769
4.74304,51.065,145.291,37.043,10.348,73.887,-53.157,-37.317,20.975,-7.272,-17.841,5.056,6.396
4.91129,48.615,139.396,11.51,26.923,69.669,-74.056,-50.39,-1.219,4.679,-13.488,21.607,4.197
4.99805,51.776,126.471,-75.314,51.965,15.248,-98.096,-19.315,36.634,-5.068,-16.827,-11.402,4.604
5.17224,54.572,115.941,-15.776,89.862,48.457,-56.466,-46.406,47.271,0.199,-18.046,-21.291,1.684
5.34635,50.564,199.327,35.098,-19.885,42.868,-44.452,-59.178,-13.94,-22.465,21.078,-5.408,3.376
5.47986,52.253,132.989,-49.548,54.684,21.314,-18.827,-32.639,29.777,-20.355,28.292,-39.113,11.419
5.67143,48.567,162.793,-45.813,22.941,46.579,-8.979,-25.61,28.019,-9.866,19.731,28.87,5.957
5.84567,53.447,121.554,-16.235,69.842,57.29,35.096,-28.591,46.789,-11.249,29.091,23.669,-1.547
6.03714,48.131,190.713,38.664,4.704,89.805,-76.038,-38.625,-0.107,-9.47,-4.744,-4.011,0.039
6.12395,50.793,147.19,37.68,8.477,76.795,-55.19,-37.941,22.043,2.182,-19.364,-0.522,5.124
6.29197,48.889,143.331,18.28,7.171,72.608,-94.188,-51.616,-6.669,7.545,-11.796,35.497,-0.02
6.37977,51.115,111.453,-70.249,35.087,1.487,-112.383,-25.601,42.026,-7.778,-14.401,-12.742,10.595
6.54209,54.308,114.749,-21.24,79.29,52.661,-4.789,-34.702,46.542,-9.755,12.327,6.72,-0.323
6.72209,47.439,215.919,24.761,31.63,90.321,-74.884,-51.196,2.421,-12.65,6.011,-1.035,-3.641
6.80916,50.565,129.326,31.685,16.16,78.031,-65.34,-41.13,19.615,-0.058,-11.732,29.051,2.271
6.89633,51.035,111.116,-71.639,37.93,2.673,-108.759,-28.394,44.643,-3.05,-12.359,-15.947,8.586
7.05896,48.354,165.854,-50.461,26.216,43.815,-49.329,-43.278,24.425,-4.251,13.576,28.741,3.711
7.22735,53.977,118.8,-12.058,70.772,57.194,27.306,-29.608,43.957,-14.189,31.351,20.882,-2.057
7.41306,47.974,204.817,32.212,18.448,95.15,-75.164,-41.816,7.259,-11.275,2.011,1.907,-4.825
7.5,51.031,143.169,34.853,3.038,72.947,-52.555,-31.786,13.118,-2.604,-14.711,7.394,11.133
7.66821,48.339,134.53,-1.34,32.187,65.625,-66.481,-55.9,2.26,5.726,-10.37,12.879,1.893
7.75537,51.267,111.073,-67.938,52.685,8.544,-102.125,-23.243,49.265,-5.895,-3.164,-6.911,4.64
7.92943,54.614,111.72,-18.322,91.284,48.018,-52.515,-44.577,45.157,1.065,-13.935,-22.822,3.597
8.10376,46.856,224.542,29.165,20.725,90.209,-70.442,-47.085,-10.641,-17.545,11.598,-7.145,3.479
8.19088,50.053,142.48,13.977,-9.119,61.133,-73.613,-50.248,4.172,-0.291,-11.442,45.28,-2.617
8.27796,51.14,108.027,-79.1,38.233,0.704,-112.579,-27.735,45.745,1.017,-14.411,-22.631,5.772
8.42299,47.904,167.675,-44.376,4.773,47.095,6.599,-26.072,24.506,1.369,16.881,11.639,-0.537
8.6029,53.211,124.499,-15.747,67.716,57.641,47.542,-30.563,49.881,-12.488,38.122,18.83,-1.35
8.7946,47.956,194.179,40.333,10.25,96.453,-79.032,-52.093,0.779,-8.85,-8.262,-0.134,-5.809
8.88159,51.061,145.953,36.186,-0.586,75.01,-55.254,-36.098,11.748,-5.951,-21.412,3.886,9.884
9.04984,48.628,144.951,5.706,17.824,66.472,-87.719,-56.787,-0.57,9.566,-14.062,28.364,-2.565
9.13714,51.068,112.773,-69.915,47.353,3.061,-107.83,-30.814,46.399,-6.27,-9.304,-14.55,4.326
9.31125,54.581,114.132,-18.457,91.338,48.14,-59.867,-46.177,44.784,-0.022,-20.971,-21.224,0.524
9.48526,47.585,209.124,31.017,12.079,83.997,-86.91,-50.33,-13.867,-21.728,-0.931,2.733,5.128
9.57224,49.784,142.771,19.278,14.591,67.551,-81.886,-49.208,16.014,-1.161,-22.178,25.908,4.477
9.65379,51.426,106.277,-69.287,52.296,6.911,-107.006,-27.801,51.646,-4.616,-8.537,-12.857,8.048
9.82204,48.972,156.286,-46.513,34.658,47.345,-68.545,-52.762,27.108,-7.066,4.048,9.784,4.329
9.99029,54.397,114.119,-16.358,79.797,51.459,-4.69,-34.16,44.547,-8.936,12.131,8.04,2.732
10.17039,51.64,188.91,30.367,-11.766,62.662,-46.773,-54.429,-2.405,-14.66,1.199,4.613,2.758
10.25741,52.768,162.171,34.578,19.73,67.494,-28.683,-42.358,9.977,-9.732,-15.397,-24.517,11.732
10.43247,49.177,141.362,20.956,3.394,68.578,-97.399,-49.207,-5.785,0.828,-13.153,39.632,2.007
10.51878,51.073,108.239,-72.96,43.522,3.464,-113.992,-31.283,47.571,-5.826,-16.318,-16.546,7.77
10.68698,52.04,121.26,-25.17,142.525,50.473,-53.628,-59.334,54.756,-0.678,-33.073,-21.104,8.786
11.02921,51.962,128.14,-79.951,59.363,14.177,-85.194,-26.148,43.016,-2.965,-5.19,-5.936,8.049
11.19206,48.602,160.619,-42.841,27.086,50.011,-20.908,-35.007,25.955,-14.311,21.232,31.236,9.347
11.37796,54.844,110.044,-14.108,85.839,47.275,-53.985,-45.793,39.439,0.833,-21.583,-19.261,6.126
11.55188,48.106,197.481,30.939,9.028,84.778,-73.091,-37.725,6.943,-12.547,1.137,-1.211,12.131
11.63909,50.73,148.731,33.885,-3.711,74.862,-52.049,-39.375,15.405,-2.058,-17.205,2.654,2.811
11.80785,48.58,143.54,6.264,26.022,69.714,-75.505,-55.713,5.333,7.166,-13.298,18.338,-1.754
11.89447,51.75,127.173,-78.861,55.981,13.675,-98.41,-28.003,40.399,-3.715,-12.409,-14.262,1.464
12.06862,54.702,112.546,-18.622,87.419,48.893,-55.958,-43.39,43.993,2.35,-17.542,-22.862,1.082
12.24268,47.975,203.332,15.006,14.682,79.921,-79.738,-49.545,-7.792,-17.925,3.05,-2.176,3.215
12.32989,49.524,139.947,6.608,22.776,67.545,-73.98,-54.337,21.751,-3.324,-19.053,20.366,2.241
12.41102,51.999,125.849,-81.992,55.206,16.341,-95.141,-23.98,39.438,3.597,-9.982,-15.787,2.491
12.56771,48.22,167.332,-49.693,27.354,47.634,-4.836,-34.585,31.583,-5.041,21.396,26.992,0.888
12.75356,54.691,116.531,-13.154,87.232,51.518,-38.222,-39.69,41.262,-2.158,-11.657,-12.58,3.835
12.93356,47.618,199.257,35.559,6.857,91.309,-85.579,-42.779,-3.212,0.977,-3.066,1.078,-11.418
13.0205,50.606,149.631,34.286,-2.054,75.456,-58.185,-48.208,9.738,-2.4,-22.099,-3.771,-1.729
13.18853,48.868,145.976,20.275,13.28,69.828,-93.289,-51.411,-0.794,5.651,-14.061,33.022,-1.793
13.27596,51.637,128.585,-81.737,43.163,14.526,-106.033,-24.527,32.545,3.061,-20.081,-14.673,8.592
13.44444,54.578,114.023,-19.272,89.529,54.46,-43.129,-44.966,47.917,-1.054,-9.847,-14.502,2.458
13.62431,45.785,235.209,24.903,13.901,91.284,-78.634,-72.905,-12.982,-17.803,3.45,-11.536,-4.071
13.70544,49.405,142.6,6.169,1.031,59.865,-60.266,-53.672,13.234,-1.849,-10.579,34.437,1.706
13.79261,51.742,128.837,-79.446,56.071,10.956,-101.446,-26.719,40.831,-2.034,-20.716,-14.939,6.709
13.9668,49.036,153.37,-39.562,19.783,43.233,-95.974,-48.655,20.979,-4.868,-12.51,-6.387,23.242
14.12916,54.297,117.828,-19.642,87.549,51.43,-12.209,-41.275,50.364,-5.905,6.629,0.942,1.156
14.30925,47.379,213.728,37.384,17.021,101.396,-74.112,-50.097,2.603,-7.765,4.246,-0.685,-5.524
14.39633,50.765,148.164,34.37,6.323,73.543,-56.542,-45.521,14.648,-2.541,-17.334,5.719,-3.447
14.56472,48.683,133.307,3.054,30.238,72.168,-67.825,-49.733,3.418,2.66,-12.184,13.961,7.339
14.65193,51.768,128.143,-80.741,53.881,16.465,-92.587,-26.196,40.549,-0.225,-9.099,-9.727,4.507
14.82599,54.832,110.9,-13.738,87.797,49.448,-55.122,-40.82,40.994,1.681,-15.198,-17.416,3.218
14.99995,47.583,214.927,26.623,28.075,82.792,-81.665,-42.71,-6.02,-17.36,2.938,-1.886,-3.44
15.08744,50.419,139.601,26.909,1.069,66.521,-79.986,-43.894,11.063,-0.093,-17.619,43.496,-2.637
15.17424,51.647,127.589,-84.647,48.14,11.797,-107.331,-24.312,35.649,7.258,-21.617,-18.785,7.541
15.33683,48.452,163.555,-54.334,25.582,46.508,-53.929,-51.016,25.716,-0.144,18.203,19.375,5.207
15.49937,53.417,119.784,-16.77,61.816,55.318,47.845,-29.71,45.659,-15.228,35.118,21.628,-2.034
15.69093,47.654,203.586,32.299,1.496,84.888,-69.84,-43.818,0.155,-15.264,1.071,-0.839,6.1
15.77773,50.875,146.094,38.023,1.054,78.647,-57.887,-45.441,12.788,-1.933,-20.884,-0.235,-1.856
15.94626,48.785,143.374,10.36,23.368,70.32,-82.266,-50.908,3.339,8.435,-15.028,21.972,-0.734
16.03338,51.687,126.935,-80.81,48.256,16.357,-102.209,-25.877,35.251,3.603,-15.499,-12.933,0.213
16.20748,54.672,115.541,-15.313,88.653,52.137,-60.505,-42.245,45.287,1.466,-23.269,-18.222,1.471
16.38154,50.754,195.679,37.337,-21.845,45.824,-44.905,-53.728,-17.814,-16.002,19.041,-2.708,1.604
16.50957,51.698,132.531,-43.625,42.337,25.597,-27.186,-33.982,33.857,-27.454,34.715,-34.098,6.128
16.71832,49.362,163.41,-44.952,31.151,53.802,-69.547,-38.047,39.015,-9.896,9.119,15.176,14.903
16.88091,53.674,129.729,-21.805,66.014,59.993,33.587,-34.297,51.014,-9.174,45.82,20.918,-1.31
17.06685,48.579,206.345,31.754,2.288,78.982,-67.147,-38.195,6.277,-3.763,1.27,13.568,8.065
17.15982,51.102,152.461,30.452,-2.094,75.142,-61.9,-51.148,9.724,5.447,-14.718,-8.732,2.804
17.32921,49.388,151.763,27.171,6.738,63.374,-94.023,-54.062,-4.97,7.23,-9.329,37.532,-1.863
17.41483,51.563,125.537,-64.451,33.279,-2.425,-105.203,-34.304,43.101,-1.837,-13.272,-18.743,-4.777
17.58327,56.023,120.951,14.399,69.199,39.992,-46.912,-22.561,29.73,-21.503,-22.533,0.165,-0.088
17.75746,49.514,220.308,64.993,32.504,91.735,-69.41,-26.159,-3.414,-48.865,-3.724,-0.147,-0.348
17.84458,51.568,148.927,37.51,1.615,57.795,-61.698,-34.495,11.804,-27.994,-16.912,33.621,-1.54
17.93156,52.366,120.873,-52.293,32.525,9.575,-106.648,-14.152,41.322,-18.292,-15.245,-13.418,6.747
