start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.35297,17.645,-51.738,-76.569,-25.28,56.129,88.373,-5.925,-41.516,-23.327,86.747,40.239,-7.025
0.73392,20.443,-164.406,-81.206,-41.449,71.716,-52.388,-13.301,-13.99,1.41,2.947,1.67,2.419
0.93283,23.535,-133.46,-94.353,-22.451,63.774,35.083,-12.592,13.831,19.88,-46.245,-36.376,-4.918
1.26912,18.25,-161.43,-99.603,-60.67,79.566,-44.594,-3.038,13.15,-6.056,2.121,-10.273,3.652
1.43356,23.779,-97.616,-104.703,-1.433,46.776,70.402,-20.488,-9.279,17.63,-23.248,-24.593,-4.436
1.63202,19.366,-174.062,-68.327,-72.369,89.183,-48.385,8.529,-3.85,-12.888,3.908,-0.657,-4.905
1.84027,20.655,-182.649,-69.456,-43.096,74.957,-66.717,18.793,12.008,-7.435,-5.683,-3.494,-9.118
2.03746,24.49,-87.402,-98.562,73.594,22.859,-86.173,-43.82,-23.957,-1.297,15.543,-22.22,1.661
2.34712,20.294,-139.259,-68.492,-111.376,59.685,-26.327,1.372,13.924,15.004,-1.13,-17.993,-8.275
2.50816,26.38,-92.772,-96.466,20.38,34.854,32.29,-16.903,-35.454,22.536,-10.391,-11.886,-7.88
2.66435,22.524,-167.225,-63.467,-98.499,58.449,-27.848,8.198,26.607,7.03,-9.004,-18.593,-6.584
2.8454,24.392,-111.502,-112.44,50.37,47.361,-18.045,-27.774,-28.404,6.204,4.0,4.171,-4.931
3.158,21.597,-122.695,-83.953,-79.654,65.079,34.622,-20.645,9.345,17.544,-21.803,-54.708,5.993
3.35302,19.061,-185.729,-88.899,-75.323,96.561,-50.728,3.11,1.246,-17.215,3.122,-0.664,-3.212
3.51224,20.167,-191.343,-72.963,-60.706,98.38,-52.415,1.94,9.476,-11.897,-8.103,-8.178,-8.484
3.75424,26.381,-89.577,-79.126,39.895,44.27,-11.946,-20.454,-53.464,8.478,3.333,5.013,-9.921
3.89451,20.731,-179.217,-81.557,-24.168,78.67,-43.497,-0.347,27.842,0.381,-6.247,-13.023,-6.69
4.22104,20.927,-126.904,-74.843,-88.574,63.82,27.001,-3.518,-13.517,12.905,-20.913,-45.336,1.559
4.6371,20.256,-160.441,-90.561,-37.043,65.381,-48.924,-25.646,-3.83,2.158,3.496,-3.524,1.076
4.80594,23.781,-120.75,-85.886,-54.175,58.117,52.182,-20.778,-0.55,18.588,-40.101,-47.271,-3.438
4.97451,21.35,-188.833,-62.246,-54.126,81.715,-43.4,11.393,-3.626,-10.339,5.535,2.915,-6.411
5.19569,25.335,-126.302,-69.696,-14.847,54.063,-0.313,-20.324,-16.931,28.076,-18.095,10.356,-10.237
5.31107,25.479,-130.713,-71.435,9.488,48.746,-0.12,-1.27,-21.806,25.31,-18.721,-18.959,-9.457
5.5561,24.054,-136.577,-63.105,-13.162,39.064,-54.742,-16.418,-19.408,22.863,7.679,-4.796,-0.386
5.66154,31.361,-29.25,-77.545,52.199,57.061,58.734,-33.801,-35.608,38.662,-20.133,-22.836,-3.219
6.41401,20.053,-137.233,-56.786,-43.49,94.903,-60.559,-14.465,-31.486,5.335,9.999,-10.273,3.966
6.58907,24.541,-106.61,-77.313,34.611,61.226,28.114,-10.855,-18.837,21.255,-12.053,-17.117,-8.682
7.05973,24.083,-98.685,-63.131,-70.913,51.72,66.332,-16.05,16.936,21.469,-33.252,-63.97,-1.11
7.2327,19.783,-172.018,-53.934,-60.89,87.475,-49.945,28.355,4.099,-9.404,4.779,-1.323,-14.484
7.45429,20.945,-154.98,-63.602,-33.288,64.389,-53.066,7.131,-8.236,10.571,5.807,-4.35,-10.225
7.65637,25.321,-102.646,-100.738,71.569,27.567,-70.805,-38.276,-31.51,-4.068,20.658,-6.954,-7.492
8.00304,23.597,-119.414,-74.907,-36.626,58.406,25.222,-17.792,-10.695,25.138,-8.775,0.99,-9.083
8.13778,25.937,-88.71,-83.302,67.516,49.957,-37.635,-33.657,-54.111,-3.959,9.437,16.254,-7.917
8.36231,25.931,-135.117,-90.747,4.388,34.492,-50.885,-22.21,-27.901,11.286,12.452,-7.455,5.854
8.47914,25.157,-115.5,-106.223,44.996,42.123,-0.865,-24.866,-21.897,13.17,-9.457,-17.889,-3.887
8.82245,25.369,-90.233,-94.755,2.198,29.457,34.056,-22.014,-33.533,13.919,7.504,-40.262,1.386
9.00308,19.842,-179.891,-63.015,-45.347,92.178,-52.716,19.478,17.551,-12.095,-4.112,-7.79,-15.886
9.20059,18.935,-171.876,-76.615,-43.407,90.08,-55.507,22.232,25.866,-11.541,1.597,-11.478,-14.223
9.33805,19.88,-158.89,-75.599,-76.843,73.79,-27.947,18.617,3.629,-2.899,-5.874,-27.319,-8.075
9.89102,25.94,-75.703,-112.727,59.644,49.312,10.831,-18.947,-43.176,21.487,-17.504,-8.732,-5.416
10.24027,18.982,-176.286,-101.861,-61.389,85.634,-57.838,-2.618,6.43,-3.771,0.305,-7.268,-2.448
10.45642,19.837,-190.807,-82.011,-72.023,87.493,-53.692,24.045,6.056,-17.321,1.251,-2.043,-11.133
10.58313,31.955,-13.091,-58.018,0.204,41.478,72.637,-27.198,-23.428,41.519,-35.97,3.468,-8.845
11.22172,26.155,-31.478,-51.131,-46.267,26.0,-42.576,-50.68,-34.5,24.035,14.291,-10.496,4.891
11.32898,27.525,-87.262,-47.736,-16.707,10.003,-49.828,-53.308,-24.405,17.201,15.13,-13.016,1.117
11.56413,28.397,-59.199,-79.356,63.502,39.669,-36.551,-54.404,-47.954,11.383,3.514,-48.623,7.759
12.01569,19.324,-164.331,-69.744,-58.745,92.843,-52.221,-3.92,-8.988,-1.076,-7.982,-0.882,-2.62
12.26476,31.232,-43.806,-52.805,13.206,4.331,-48.655,-48.983,-34.041,13.384,20.756,-15.071,-6.135
12.37048,38.621,14.431,-12.001,3.422,79.637,50.253,-1.412,38.981,-12.025,5.03,-57.529,27.793
12.68381,38.267,117.498,-30.344,-91.39,53.424,58.895,-48.333,-21.871,-17.664,-1.568,-54.64,-10.491
13.24753,31.956,23.298,-35.163,-2.744,-4.538,-28.528,-56.436,-36.496,12.625,12.466,-30.612,-20.667
13.60798,28.873,-28.987,-36.522,-43.414,-1.98,-32.956,-52.646,-18.942,13.805,16.965,-20.083,-20.411
13.79134,28.144,-60.826,-64.127,-2.463,-9.342,-87.621,-64.422,-32.405,10.978,12.591,-6.415,-6.815
13.89778,31.128,-5.431,-8.425,-167.672,7.177,-39.749,-46.87,58.419,33.229,2.168,48.863,-19.551
14.12998,42.074,54.431,-12.198,80.443,29.373,23.743,-67.173,30.1,-17.449,-0.774,-53.055,-24.177
14.47678,40.014,118.186,-29.955,-16.522,16.099,37.611,-74.045,10.633,-9.355,-17.435,-11.623,-15.164
14.80902,31.566,82.96,-73.963,-55.214,67.765,-24.875,-42.256,-32.966,-20.257,-24.959,-10.828,-19.796
14.98249,37.758,57.165,-9.407,-43.571,39.181,92.558,-42.52,13.675,5.753,-31.338,-50.503,-15.154
15.36644,30.094,15.64,-38.729,-40.407,4.699,-22.081,-44.798,0.009,13.644,-2.981,-3.239,-26.871
15.5341,40.705,20.459,27.776,-18.547,72.28,89.613,14.031,19.069,12.715,18.879,-17.817,9.409
15.91134,31.465,-41.554,-30.884,-34.113,18.419,-49.832,-11.807,-3.324,0.302,23.095,-8.49,29.206
16.12712,32.426,-21.61,-57.082,57.916,10.912,-61.782,-35.945,-66.941,8.396,19.891,-10.618,3.411
16.48122,26.435,-125.099,-56.421,-23.012,10.724,-65.731,-20.952,-2.747,12.593,5.726,-1.4,11.186
16.56726,28.466,-79.701,-75.071,6.47,35.626,16.912,-4.685,-36.893,30.533,-34.163,-19.355,-2.263
16.84195,28.364,-80.447,-48.039,33.014,15.358,-70.008,-20.787,-34.508,14.332,28.482,-18.555,-5.538
16.94526,31.413,-28.905,-59.59,27.245,59.934,63.031,-23.823,-37.332,20.556,-34.647,-41.456,1.895
17.61905,22.091,-111.27,-41.023,-34.478,103.87,-20.424,-16.992,-13.086,13.661,-15.413,-32.225,15.673
17.83311,27.355,-81.978,-2.896,-127.32,51.167,37.723,-22.952,30.408,24.47,-30.76,-27.735,-12.543
18.019,39.022,3.788,43.606,-22.017,45.947,-33.961,-21.796,-10.144,20.594,11.351,-0.355,-38.441
18.08286,43.257,-10.838,96.894,-21.071,53.734,-13.166,-7.108,14.162,-7.746,22.643,-0.41,-47.332
18.199,44.03,93.477,50.771,52.164,26.874,9.974,-25.676,4.166,-19.074,-23.592,-50.819,-18.162
18.72036,44.343,58.328,42.065,35.998,88.699,-9.996,-9.675,10.437,6.46,2.236,-45.518,5.362
19.07501,41.443,105.749,44.451,-125.382,42.232,23.003,-7.819,9.357,-15.382,-7.489,11.591,-14.587
19.38268,46.302,84.837,42.569,45.325,35.445,2.323,-25.658,-8.067,-15.608,15.472,-68.975,-16.749
19.77048,38.053,14.335,-1.776,-27.709,39.007,20.181,-9.752,9.366,-0.088,-12.035,-56.196,10.017
20.09687,41.977,55.034,54.051,-132.517,47.946,35.675,8.779,-47.093,-30.71,16.586,4.422,-30.05
20.22467,49.572,58.188,122.256,-2.193,81.8,-32.987,-8.387,12.698,7.729,0.542,-3.556,-46.315
20.40998,47.494,83.535,85.318,76.4,70.38,-4.631,-6.562,-26.313,-4.437,-1.725,-76.423,-32.867
20.60707,40.072,54.672,51.561,-81.795,49.289,24.205,-5.35,19.441,-9.754,-18.178,-13.823,-9.085
20.8634,41.81,74.96,27.76,44.46,36.175,-18.491,1.227,2.214,-40.236,-15.844,-43.552,19.107
21.00839,37.353,10.294,-14.206,43.884,61.905,26.271,-4.577,8.179,23.675,-12.462,-58.659,17.33
21.85624,31.571,-29.039,-49.333,-23.277,43.731,66.866,-21.198,-27.651,33.155,-45.796,-55.469,-0.23
22.50059,31.227,-74.302,-90.594,42.763,43.359,-15.092,-39.343,-55.215,24.658,5.328,-29.181,9.654
22.85098,26.906,-103.43,-81.289,3.945,3.197,-45.25,-31.518,-34.853,-9.174,15.699,-10.296,-2.902
22.96499,28.384,-94.321,-88.93,33.473,44.347,-0.232,-19.973,-48.513,10.763,6.229,-42.376,-1.816
23.1912,21.784,-165.247,-48.476,-42.242,83.275,-53.29,-3.156,9.124,3.182,-1.928,-4.422,1.244
23.49048,30.368,56.696,-70.01,-138.256,89.118,42.901,-19.606,30.36,7.52,-12.653,-4.267,-3.933
23.66113,42.149,32.917,35.256,17.456,80.189,16.71,14.678,24.559,-9.802,27.203,-2.878,29.633
23.98467,43.758,71.179,88.442,-50.806,52.741,48.619,20.586,13.12,-37.732,3.676,31.345,-3.316
24.36966,47.882,70.521,80.717,11.806,84.233,12.982,-14.34,-9.062,2.356,11.071,-26.47,-6.748
24.69347,47.028,72.408,77.848,9.681,47.064,22.981,0.556,6.343,-6.154,17.907,12.136,-18.627
24.97347,41.835,11.24,5.021,86.791,47.295,-36.594,-12.328,0.596,-1.534,-7.389,-49.221,-8.973
25.3156,33.35,-29.861,0.462,-30.299,18.203,-36.331,-11.051,-1.964,-2.131,5.755,-1.287,-6.002
25.44308,33.552,-13.367,-43.592,9.189,10.034,-25.23,-15.194,-44.26,-4.461,1.011,2.259,-3.834
25.55941,41.795,64.762,38.387,-54.608,33.971,43.705,-14.655,51.151,-11.597,-20.626,13.024,-12.975
25.73923,44.101,76.234,35.586,45.039,29.82,5.696,-30.524,2.882,-22.534,0.835,-74.043,3.139
26.15147,33.477,-9.967,-1.627,-27.69,4.404,-28.974,-27.418,-4.757,-14.149,2.503,-1.413,-0.656
26.29782,37.391,55.672,-37.867,19.715,20.338,2.194,-29.363,17.218,-28.793,-13.65,-16.055,6.509
26.67959,38.02,48.383,47.565,-157.356,86.514,-9.282,30.562,-60.414,-27.817,11.057,-14.256,-18.118
27.01651,39.555,5.18,33.871,70.131,66.775,-10.904,-5.355,9.531,13.055,-8.462,-52.962,27.354
27.36095,28.635,-69.784,-27.016,-36.374,24.77,-1.797,-5.969,6.264,13.295,-21.103,-23.453,16.063
27.73483,28.482,-86.533,-28.135,-41.572,13.415,-6.999,-24.943,-4.767,3.172,-16.719,-0.278,-2.411
27.87429,31.001,-44.021,-75.713,54.023,33.347,2.572,-29.476,-67.517,18.936,-12.785,-9.192,-1.258
28.12834,24.86,-157.827,-40.333,-27.087,43.021,-63.56,-9.752,-0.767,14.803,6.926,-5.833,8.105
28.22,32.926,-4.878,-80.195,71.302,41.978,69.401,-15.48,-41.241,26.204,-38.835,-27.92,-0.247
28.95206,23.269,-102.692,-96.547,3.41,57.017,-65.124,-31.156,-53.702,9.449,22.606,-22.01,5.617
29.101,29.777,-13.049,1.869,-189.654,35.578,-16.322,-40.725,78.521,33.424,13.459,22.913,-10.18
29.30961,40.15,113.514,1.606,-61.916,6.895,-10.571,-57.222,-15.707,-19.386,29.176,-7.885,-14.764
29.37338,41.908,123.992,35.312,-17.514,0.272,-2.114,-71.512,29.234,-6.938,-21.363,-31.874,-23.758
29.65057,42.858,124.705,22.328,-57.582,-18.49,20.62,-50.285,-1.364,-23.357,-5.622,22.047,-35.464
29.82626,46.323,67.061,111.67,25.571,56.213,-25.521,-12.134,2.126,-16.237,17.361,5.675,-22.09
30.07583,44.115,95.001,32.49,53.653,60.114,-53.994,-68.447,41.379,-6.876,0.32,-13.251,-22.564
30.36562,43.576,13.324,27.757,64.138,76.879,38.932,-12.324,-2.191,-5.914,23.285,-59.519,-8.236
30.57356,34.793,-0.633,-28.188,-67.708,40.012,-10.851,-12.49,-1.327,6.985,-8.251,-5.912,4.555
30.66073,39.639,14.591,-10.219,-31.868,94.416,28.759,10.048,-4.534,30.466,-24.112,-61.399,23.345
31.039,35.659,17.357,-67.491,-21.276,63.667,8.672,-22.714,-18.871,22.389,-18.202,-49.54,12.225
31.35859,41.631,47.686,58.152,-156.364,94.892,48.932,17.574,-17.321,-7.514,8.63,-3.7,-26.491
31.85769,36.407,-23.482,21.942,-47.994,47.222,-20.472,3.916,23.793,11.519,3.294,-36.37,-6.263
32.25878,35.424,36.886,-19.869,-42.225,70.925,-28.176,10.311,-10.771,7.142,-48.043,8.457,-11.015
32.34975,42.117,59.099,54.498,-64.882,73.161,2.233,14.516,21.553,29.079,-6.905,5.487,13.589
32.71687,41.33,88.103,34.87,71.877,48.479,-9.073,-3.342,1.423,-2.116,-1.359,-64.635,51.898
33.05918,33.098,-24.397,-54.191,10.13,-0.284,-59.74,-32.011,-20.291,-8.514,2.329,-19.944,23.923
33.45968,29.461,-59.686,-30.805,-33.499,20.025,-62.941,-27.415,7.805,22.996,9.546,2.919,6.051
