start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,39.471,27.205,4.162,-96.717,37.082,169.025,38.405,-27.386,-18.587,62.273,13.611,17.13
0.30603,42.067,4.551,-35.385,0.334,1.546,-51.261,19.084,-2.677,-1.187,-18.852,-18.476,-0.933
0.58703,40.878,-49.883,-44.593,-3.062,-27.006,-74.703,0.628,-26.937,6.746,10.383,-3.104,-1.151
0.74825,47.7,-19.3,-74.776,122.378,13.464,-60.97,-12.778,-19.103,6.694,-24.878,-4.216,-7.88
1.07837,38.35,-25.496,-45.263,1.715,30.218,-56.808,-5.756,-58.379,-7.747,20.81,-27.071,-16.637
1.32245,41.454,-74.566,1.079,-53.232,13.491,13.993,24.42,11.077,12.01,4.74,-48.747,13.281
1.67823,41.913,-10.202,8.689,-93.056,19.504,-20.787,-1.196,59.732,22.4,-16.844,-6.093,-3.379
2.06707,47.323,-17.481,-55.039,125.94,23.067,-2.392,-16.387,-22.773,1.678,-10.304,-8.262,-1.489
2.38998,41.384,33.961,-27.164,-21.638,48.195,-20.093,20.277,-42.027,-0.493,-11.272,2.812,-4.616
2.57751,44.601,-5.304,-35.427,6.175,25.199,-68.378,-5.831,7.91,12.668,-11.722,2.252,-10.627
2.67923,46.185,-4.429,-42.176,52.405,5.798,13.36,2.196,-44.703,-13.521,22.889,-54.578,11.449
3.05896,43.468,39.51,-31.962,-4.839,50.007,-36.577,20.154,-39.726,-8.504,2.454,-27.737,-17.116
3.22639,42.114,-59.109,-48.844,4.912,-9.773,-75.031,-8.916,-11.487,7.544,-11.792,-4.859,-3.812
3.37102,49.146,-13.327,-54.388,69.099,23.046,49.707,-3.661,5.514,8.962,-34.224,8.216,-8.039
3.54113,42.638,-84.174,-40.176,8.774,-8.555,-63.579,5.928,-10.003,7.909,1.817,-13.69,-3.06
3.7098,41.02,1.309,-29.401,4.775,48.325,-57.989,7.327,-54.496,-7.614,19.516,-8.045,-19.25
3.99533,46.633,-48.971,-57.641,15.294,10.496,54.964,0.926,-5.514,12.664,11.06,-12.51,0.737
4.2063,47.443,-3.333,-78.593,41.889,18.181,-51.196,-15.905,-30.076,10.373,-23.859,2.677,2.696
4.32571,44.151,33.876,-10.666,-48.899,60.258,-11.88,-13.233,18.598,14.442,-41.36,-3.379,-4.417
4.679,48.573,-4.191,-46.687,84.533,19.961,45.661,-4.697,21.074,-9.764,-1.367,-8.043,16.301
4.92952,40.213,3.82,-46.748,-33.443,40.125,-56.781,7.813,-11.994,16.803,28.239,-10.295,-3.354
5.03279,40.507,47.28,-60.259,-1.309,26.578,-58.939,-10.017,-33.384,-1.933,12.305,-16.009,7.348
5.15474,43.676,46.397,-48.469,-38.916,28.967,31.756,-8.014,51.136,17.714,7.886,-9.804,7.504
5.32989,48.103,-1.534,-56.884,60.033,5.582,3.858,13.65,19.404,-21.533,26.929,11.455,25.761
5.69501,41.695,9.605,-76.784,-38.057,3.382,-60.14,8.749,-14.045,-4.051,15.166,-19.631,7.789
5.85469,41.509,-55.076,-75.881,-5.875,-28.073,-55.179,-0.729,-24.25,8.676,-2.818,-17.722,14.116
6.00086,46.744,-23.179,-86.141,49.421,12.777,62.267,11.742,31.487,-3.796,-32.806,9.246,-10.028
6.34181,39.713,-46.53,-51.461,14.968,15.355,-17.605,13.702,-36.081,-21.191,-21.472,6.6,-2.51
6.5654,37.108,-79.616,-14.781,-14.779,-3.145,-41.725,-13.929,-9.209,-26.807,-7.302,-0.498,4.245
6.65773,46.894,-37.209,-58.956,47.436,-3.395,1.437,-8.689,9.604,-10.053,25.629,-1.781,10.312
6.98744,43.447,57.596,-51.689,-61.684,44.29,0.996,-15.776,-9.078,5.569,-30.349,-2.023,-4.206
7.32059,46.355,-11.388,-90.122,57.186,22.587,24.6,-10.181,-8.602,-12.406,21.498,-31.863,13.079
7.6742,41.44,19.256,-81.451,-6.117,30.212,-33.197,6.048,-31.102,-23.584,-9.582,-20.639,6.452
7.83279,42.558,-35.125,-56.374,11.879,20.329,27.208,8.004,15.795,7.537,-28.762,5.699,-15.672
7.97156,47.041,-25.039,-72.809,60.887,25.827,25.506,0.657,5.273,10.125,-1.611,3.822,-3.553
8.33683,42.4,32.757,-70.427,-9.252,58.962,-48.764,-20.464,-41.752,-10.147,-0.016,-19.322,-0.988
8.5054,41.316,-71.53,-74.391,16.831,-18.189,-70.354,-16.276,-23.947,-3.253,-12.599,-13.434,11.139
8.64045,46.082,-27.56,-87.384,59.191,17.067,62.998,0.977,17.331,15.894,-33.91,20.531,-8.956
8.92181,38.799,-61.024,-57.325,-81.959,10.264,-21.954,0.297,15.345,5.107,-18.645,-15.179,1.052
9.15574,46.04,4.93,-93.295,66.921,17.289,-58.46,-20.692,-18.615,11.622,-26.032,-6.943,4.259
9.27773,47.083,-25.464,-65.818,6.837,17.633,45.806,4.8,-9.336,14.838,6.877,-2.292,-0.067
9.47946,45.869,-18.217,-97.11,68.63,12.368,-29.572,-17.082,-38.006,9.368,-33.827,1.58,4.686
9.642,40.205,-41.369,-107.304,39.825,5.365,-75.579,-22.489,-63.677,-13.995,-12.082,-22.816,6.275
9.94966,51.508,27.446,-3.09,4.679,13.034,54.348,15.234,13.192,-16.547,2.876,68.311,7.818
10.21075,51.877,31.333,45.587,-5.293,14.436,-26.315,6.396,-1.672,-14.896,-5.278,6.69,1.535
10.29728,52.652,43.294,55.801,-17.864,19.741,-31.112,21.401,8.133,0.131,-0.026,-4.069,10.386
10.45982,54.0,7.063,61.463,4.114,16.469,-45.819,21.737,5.834,-4.368,2.331,2.054,22.571
10.59388,49.627,-14.181,-28.499,83.384,-16.602,-31.587,4.766,11.225,-9.434,-16.039,-30.994,26.724
10.95501,44.26,81.713,-57.926,-36.211,52.057,-10.685,52.04,-30.903,-6.826,-61.93,-19.89,-7.054
11.27306,49.311,33.355,-59.625,-28.576,48.087,51.51,-7.925,87.71,-14.822,1.433,26.784,-20.759
11.5581,45.201,-5.027,-56.987,46.498,39.6,-40.271,-20.603,15.028,-1.302,0.412,-31.392,-9.746
11.7263,47.596,-14.834,-11.353,-67.996,30.212,7.915,-0.896,9.432,-11.2,-1.627,9.527,-9.591
11.91778,50.53,27.183,-66.229,16.622,37.209,-24.812,-48.302,61.661,-0.885,0.622,-25.76,-8.5
12.29029,46.576,30.44,-66.082,-53.57,58.765,-26.765,-36.867,-23.659,0.035,13.527,-17.173,-4.711
12.61986,49.138,-27.948,-68.802,104.692,37.857,-23.117,-31.561,-19.8,4.669,-8.233,-5.558,-9.543
12.95098,41.37,10.31,-66.983,6.625,51.439,-41.928,-2.737,-40.305,-13.575,-5.288,-18.821,-6.744
13.12712,43.758,-12.156,-51.3,21.943,20.832,-67.228,-11.162,-0.84,-9.349,-22.565,-4.712,-4.981
13.22921,45.669,-9.772,-46.863,47.515,8.348,7.796,5.157,-51.539,-11.97,16.984,-53.626,13.523
13.60023,41.611,39.756,-65.915,-0.42,54.468,-24.772,16.105,-35.221,4.41,-15.143,-12.451,-14.236
13.78172,40.864,-86.085,-58.242,19.735,-22.182,-75.197,-14.565,-28.113,-0.348,4.435,-17.834,-3.965
13.89175,44.733,-49.199,-8.662,-72.372,23.693,91.92,8.571,46.847,2.579,-35.784,-65.041,2.144
14.08889,41.045,-77.574,-60.874,21.036,-23.203,-75.673,-10.196,-17.194,2.64,-7.172,-4.074,-5.426
14.25147,39.395,-16.827,-39.837,26.769,50.019,-25.36,21.373,-70.104,-1.814,-7.044,-4.935,-18.545
14.48916,41.263,-97.602,25.909,-104.241,5.149,18.211,11.335,22.993,7.601,-8.311,-49.604,-4.43
14.75633,46.09,-17.665,-100.257,72.505,23.149,-42.229,-23.943,-34.706,12.471,-35.765,-5.496,5.229
14.90313,43.661,75.26,-42.9,-34.372,75.218,-28.402,-34.489,-14.368,10.482,-2.671,-5.17,-3.002
15.22095,46.199,-15.485,-45.978,83.95,27.766,57.585,1.526,4.82,-1.072,3.734,-33.4,13.567
15.58145,38.687,6.466,-87.256,32.956,43.767,-66.172,-1.665,-45.576,-5.243,12.571,-31.958,1.985
15.73596,41.572,-31.568,-68.744,69.512,3.951,-59.77,-2.256,-16.475,-4.267,-30.425,-19.323,-5.453
15.87619,46.478,-35.706,-63.643,84.116,0.588,39.706,14.778,-13.785,-15.44,2.031,9.223,29.044
16.24163,39.047,-40.133,-91.882,-15.754,9.724,-69.258,18.03,-40.552,-12.058,21.477,-17.82,9.18
16.37991,43.407,-63.781,-71.875,-50.802,-8.455,12.882,-19.794,-2.55,16.94,-1.753,9.221,-9.095
16.55029,48.873,-37.243,-77.908,1.427,10.019,61.951,-14.521,14.353,4.669,-34.079,2.179,-1.671
16.85052,44.566,-52.45,-46.067,-23.55,29.015,-1.465,-20.246,-18.301,16.331,-12.2,-46.274,-3.122
17.15882,46.787,-38.707,-21.473,-70.469,27.249,42.191,10.43,-3.812,1.257,-4.353,-1.14,-5.171
17.40794,48.543,-23.078,-22.887,-55.954,49.471,-19.532,-62.165,19.763,22.343,17.057,-13.23,-7.082
17.61211,47.276,119.163,-78.045,-38.627,74.616,-39.337,-29.006,-14.173,-24.875,-23.144,-20.553,-16.458
17.75714,46.89,8.236,-41.669,-69.289,36.101,-18.405,-56.527,-0.021,3.289,5.489,-1.741,-16.22
17.87361,49.713,-16.462,-59.81,19.92,24.977,-2.813,-12.228,-3.329,-12.082,11.15,-13.353,-0.876
18.22866,44.258,-20.65,-57.121,-1.543,40.417,-43.251,15.533,-33.965,-10.142,-1.429,-22.625,-6.357
18.40218,44.332,-32.222,-47.07,20.345,13.438,-62.459,-3.633,-20.086,0.999,-19.299,-11.858,-9.372
18.52086,47.795,-30.074,-72.584,62.534,20.249,7.931,-5.163,-0.754,5.418,-0.842,-4.474,0.23
18.83184,39.754,-27.665,-44.152,-79.04,50.948,-11.362,-17.769,35.194,12.409,-46.582,-22.859,0.8
19.05188,40.542,-81.744,-80.59,17.572,-20.717,-78.471,-18.382,-31.986,1.816,-7.422,-8.378,11.476
19.18145,45.91,-32.253,-60.306,-7.563,27.722,89.847,10.217,34.261,10.678,-40.349,-14.367,-3.501
19.36109,40.206,-58.32,-88.153,4.793,-27.529,-59.549,-5.449,-22.115,10.549,12.353,-9.455,5.15
19.47152,38.168,-69.905,-66.486,-73.881,14.678,-18.851,1.152,13.84,5.819,-20.577,-26.609,6.27
19.70236,43.878,-5.421,-87.667,49.083,19.373,-47.001,-13.215,-22.826,9.654,-24.58,-0.299,1.036
19.82404,45.079,-42.233,-90.564,38.088,6.112,45.703,8.05,-12.021,8.805,-1.024,-1.552,-4.385
20.19311,39.04,-40.827,-111.646,20.415,21.945,-67.45,-15.903,-65.555,-14.226,-4.777,-21.307,5.315
20.47941,47.475,1.432,18.696,-97.277,18.052,121.464,27.143,33.102,1.632,-43.887,26.491,6.734
20.76444,51.727,26.455,48.843,-2.039,8.548,-30.7,3.565,-1.338,-13.064,-2.565,6.97,-2.028
20.85107,52.715,43.715,60.525,-16.933,17.023,-30.629,21.568,7.657,-1.271,-0.08,-5.075,6.88
21.00812,53.963,7.822,63.427,5.573,17.354,-40.279,21.783,6.143,-2.846,0.213,5.105,19.731
21.14141,49.414,-26.148,-24.274,87.32,-15.79,-29.577,4.466,16.206,-14.055,-13.214,-38.033,27.26
21.50472,40.999,5.421,-24.072,-9.298,9.582,-47.346,34.37,-20.55,-16.669,-1.378,1.496,3.388
21.61873,44.576,-40.213,-22.502,-57.327,25.133,-18.973,-25.356,0.838,10.882,10.695,-1.862,-12.212
21.79755,48.042,41.857,-48.028,-35.62,43.556,13.596,-19.405,-40.539,8.256,13.772,-51.283,0.504
22.12916,44.284,-36.254,-27.805,3.553,39.612,-15.175,-36.477,-0.912,-17.625,-9.291,-41.714,-3.655
22.48272,49.164,-48.465,-55.177,41.512,14.334,81.209,10.26,1.815,2.364,2.847,5.359,-14.206
22.70327,45.711,-67.845,-41.207,-63.314,79.186,-52.445,-4.164,39.125,-9.574,-17.361,14.548,4.159
22.84875,48.917,53.434,-47.813,-67.99,47.194,-33.365,-65.49,-12.773,10.052,6.901,-1.423,-4.36
22.93465,50.871,-9.352,-8.353,-46.771,78.707,-34.426,-20.11,-19.643,-12.283,23.741,-12.399,-2.466
23.1737,53.373,-23.212,-1.776,48.25,69.334,-43.406,-3.394,-22.915,-6.906,-9.828,-1.82,5.434
23.50522,49.283,-49.762,6.433,-5.113,100.572,-56.126,15.096,-9.279,-22.994,-4.902,-1.615,17.697
23.67873,48.759,-67.481,-15.473,6.234,80.778,-64.09,5.341,-4.534,-9.974,-3.343,-7.326,6.98
23.78308,49.417,-33.37,-37.628,36.004,55.031,-16.276,-12.233,-20.255,-3.303,9.649,-38.564,16.284
24.15959,43.845,11.852,-58.345,4.558,69.524,-55.487,2.105,-31.209,-0.775,-4.894,-24.293,8.829
24.32712,41.358,-76.818,-55.552,13.933,-15.884,-77.548,1.078,-27.168,3.126,-1.252,-13.124,1.68
24.44068,44.602,-50.171,-8.546,-73.989,26.324,68.433,13.058,50.659,7.457,-32.365,-73.702,-4.14
24.64408,41.313,-82.69,-49.068,18.431,-14.492,-74.015,3.386,-24.277,10.912,-0.974,-16.993,-13.158
24.78703,39.155,-33.58,-25.768,18.029,55.422,0.317,11.815,-45.582,8.886,-51.886,-3.149,-23.988
25.04254,40.812,-87.456,15.781,-101.078,4.596,14.673,11.493,18.661,9.153,2.146,-52.328,2.949
25.31156,45.99,-21.039,-94.888,73.203,22.124,-55.55,-19.206,-42.25,3.759,-24.005,-16.96,11.607
25.45528,43.999,77.469,-40.576,-31.247,73.618,-33.652,-38.163,-12.772,4.58,4.423,-18.423,0.152
25.76349,45.212,-18.053,-35.032,56.259,30.858,59.342,-4.151,-0.165,-7.111,1.858,-54.642,24.198
26.12889,38.531,16.919,-84.426,27.311,38.607,-57.689,8.919,-51.114,-4.062,12.622,-34.592,3.793
26.27796,41.661,-29.385,-69.506,63.522,14.028,-16.914,-1.456,-0.719,1.333,-18.11,5.038,-14.075
26.42975,47.405,-34.381,-63.213,94.107,3.476,13.066,3.285,-4.853,-14.908,5.862,5.066,28.317
26.79052,39.205,-39.528,-97.928,-16.417,9.577,-58.803,17.161,-48.277,-13.577,13.843,-14.043,13.444
26.94422,52.987,-4.849,-0.41,-88.461,9.806,33.66,-34.158,5.183,17.017,-12.363,26.842,-43.795
27.13859,55.38,-9.51,-13.368,11.663,41.224,-62.083,-35.88,-6.73,-16.25,-3.36,-3.481,-10.422
