start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,17.838,41.997,-78.526,-58.507,3.994,6.185,10.253,27.331,12.038,30.847,40.277,-7.884
0.15633,24.458,-12.149,-68.212,-52.723,-0.512,-27.143,-9.336,-3.503,3.296,25.688,1.908,-3.708
0.47887,24.882,-24.375,-69.548,-69.977,6.741,-33.798,-12.179,1.084,8.036,8.533,-9.887,1.761
0.90794,24.988,-15.921,-72.941,-54.884,-4.034,-34.344,-8.139,-15.508,-11.906,13.408,5.017,5.523
1.32422,28.438,-19.797,-33.516,-10.376,-35.106,-39.564,-25.38,3.025,-17.876,-15.589,-8.846,-3.49
1.6761,28.108,-17.831,13.729,-16.845,-33.926,-15.993,35.484,21.071,-37.779,5.575,-5.739,-16.06
2.07705,30.958,-37.553,-11.103,-5.869,4.577,21.425,9.686,5.037,-22.091,20.841,-26.515,-16.508
2.9088,34.387,-48.154,6.613,19.648,2.414,-33.312,-5.785,-16.26,-9.005,4.731,-24.04,-16.05
3.15528,29.808,-53.851,-9.64,2.948,-11.333,-43.513,-17.803,29.821,-25.909,-16.904,-6.905,-31.016
3.64644,29.467,-62.486,-19.427,-19.87,11.234,-11.24,16.872,9.429,-5.035,13.472,-4.121,-12.889
4.07206,28.746,-57.816,-15.211,-20.831,-6.538,-49.044,9.616,16.935,-7.661,-7.621,-4.592,-17.85
4.42209,32.521,-48.102,-3.782,29.534,-3.157,3.952,24.783,6.935,-19.093,24.945,2.381,-5.095
5.21678,27.654,-36.198,-28.962,-20.847,-4.127,-34.155,26.293,29.691,-15.043,2.817,-7.377,7.277
5.65741,26.023,0.163,-30.57,-19.749,-42.168,-44.276,24.497,17.296,-37.512,-2.68,-17.918,5.995
5.98363,30.671,-14.905,-21.054,10.06,-21.218,-1.888,8.508,-16.26,-6.935,21.546,3.206,-18.578
6.28195,30.645,-56.36,26.277,-10.079,-9.375,-44.835,70.716,35.564,-6.284,-5.975,-4.711,26.592
6.46844,30.485,-45.443,18.589,-13.141,-2.925,-40.372,67.897,-0.965,-7.457,4.901,3.694,34.141
6.57451,30.947,-53.746,6.104,7.785,-0.506,-46.723,56.444,25.746,-3.265,0.488,-9.789,42.209
6.779,32.062,-60.293,-92.422,-13.22,7.185,-31.162,48.273,0.447,-11.273,11.755,19.218,20.192
7.13946,29.255,-42.561,-67.523,-40.147,6.272,-30.148,47.598,17.213,-2.389,-7.488,-14.524,34.568
7.52018,28.983,-52.217,-45.639,-39.402,2.032,-17.276,14.783,22.347,-1.546,-5.925,-24.527,20.41
7.94694,29.733,5.956,-19.281,0.851,-19.126,-19.531,51.338,-6.697,-49.447,-16.016,1.255,-22.903
8.34952,34.434,-55.651,-69.262,7.76,-6.946,-0.109,16.616,0.481,-27.612,25.405,9.542,-27.242
9.01841,28.343,-27.509,-73.509,-45.474,-7.346,-67.344,-1.204,-9.706,-27.07,15.756,-10.281,-8.412
9.14209,36.234,-57.337,-35.971,19.114,5.858,-44.773,-18.896,-17.148,-7.348,5.05,-24.27,-2.896
9.42209,30.082,-57.191,-17.206,0.841,-19.385,-45.602,-13.935,29.461,-24.372,-18.45,-11.13,-32.986
9.90757,32.346,-70.513,-92.988,-6.608,5.05,-19.307,28.952,-5.341,-15.266,19.425,20.478,-17.524
10.3244,30.244,-51.305,-54.193,-22.492,-12.37,-67.026,24.104,0.987,-25.475,21.217,-14.496,-22.162
10.55615,28.974,-26.627,-78.431,-30.893,14.055,-45.636,31.47,-10.163,-4.349,-11.431,-4.679,-14.984
10.69891,36.414,-52.95,-11.769,29.62,-1.67,-54.537,20.228,-2.284,-24.723,11.296,12.07,5.232
11.24454,32.216,-49.668,10.047,9.376,-13.675,-41.344,73.433,30.366,-13.451,-12.828,-6.901,35.003
11.43782,31.62,-50.388,-42.411,-59.432,-3.894,-13.535,62.435,-3.964,-25.84,3.83,-22.168,39.032
