start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.578,137.759,-42.473,-47.278,25.774,-52.024,20.425,7.488,-28.373,0.263,-8.185,1.989
3.07333,3.286,96.297,-50.572,-67.108,47.63,-42.984,-14.26,-12.119,-35.685,3.646,-4.996,4.726
5.67683,5.265,55.521,-47.7,-58.266,77.12,-46.155,-21.331,-5.152,-20.494,3.762,0.872,6.169
7.01265,5.876,45.789,-21.721,-46.909,105.146,-48.448,-11.442,-3.384,-5.214,12.839,-6.264,-5.839
7.10422,7.366,19.198,-24.867,-48.139,106.201,-47.27,-10.428,-1.361,-20.331,0.804,0.73,30.537
7.25678,6.95,25.393,-45.592,-23.255,98.738,-60.266,-18.562,32.987,3.559,-1.201,-3.858,-8.651
8.64816,7.539,18.605,-59.071,-66.785,66.298,-48.114,-0.393,-3.071,-24.521,5.503,-4.478,5.883
8.87819,8.856,-6.717,-79.709,-61.287,61.14,-65.913,1.378,1.938,-6.741,-2.471,-0.569,-9.441
12.94363,10.413,-18.96,-85.183,-11.641,45.728,-46.885,-10.289,56.345,-30.359,-6.115,-20.712,-2.948
16.23601,6.968,32.891,6.438,-46.842,119.003,-60.326,0.428,-11.446,-2.922,4.602,4.6,-11.318
17.2229,12.385,17.847,44.669,-26.538,44.85,-13.626,-1.337,3.356,-43.083,-11.175,-12.288,-15.621
17.38649,13.857,-4.563,39.579,-26.057,42.606,-30.332,-1.164,-6.881,-38.79,-5.003,2.643,-8.77
17.68957,16.168,-14.822,39.805,-6.216,41.749,-34.218,-2.041,-3.855,-17.627,-4.985,-0.086,-3.033
18.64594,12.45,-2.99,0.248,43.065,61.043,-44.013,4.445,53.674,-16.942,-5.498,-27.415,-1.879
20.66603,5.207,57.242,-40.296,-33.787,91.928,-50.222,-27.853,21.485,-5.42,8.887,-6.171,-22.212
20.85723,6.544,30.874,-22.37,-58.155,114.586,-38.422,-24.376,-9.285,-10.012,20.176,-4.93,-20.006
21.18245,7.608,15.987,2.253,-27.507,136.798,-54.714,-26.289,8.977,-10.104,-1.25,0.821,-3.114
22.00068,6.727,36.505,30.101,-17.736,148.045,-45.001,-18.476,7.938,-17.096,2.497,-3.73,9.959
22.50091,7.409,21.588,22.876,-47.513,142.786,-46.811,-14.986,-15.535,-16.643,7.458,-1.374,5.874
24.36249,11.602,-32.34,-24.444,-49.324,84.022,-53.087,16.3,1.735,-14.367,6.538,-3.984,-1.26
24.72912,14.286,-48.781,-28.159,-57.606,55.393,-46.198,-7.405,0.539,-5.745,10.167,-1.189,-18.712
25.02458,16.495,-25.096,-27.026,-60.798,7.539,-36.349,-26.351,-5.317,2.688,8.776,0.547,-15.86
25.439,18.064,-30.934,3.428,-21.61,10.157,-48.567,-2.963,4.12,2.302,1.084,0.149,8.483
25.60658,17.324,-38.037,-15.807,-24.582,15.457,-45.709,0.416,15.685,1.106,6.322,-2.213,2.687
26.30921,16.855,-10.884,-10.049,-38.5,2.244,-38.891,-12.257,-0.343,6.257,5.167,-3.247,-12.352
26.66807,13.272,13.537,-54.285,30.574,18.604,-43.329,-23.953,34.044,9.887,0.447,-28.963,-8.507
28.15673,7.195,20.13,-49.677,-58.96,92.09,-48.298,-8.885,-1.592,-1.736,20.058,-2.185,-26.21
28.3219,8.758,-1.156,2.962,-40.984,131.294,-54.481,-4.245,-1.974,-12.756,1.838,1.845,-0.411
28.94263,8.905,4.989,26.433,-9.094,138.648,-49.337,-18.001,19.667,-30.257,-8.216,-3.593,2.447
29.47107,8.696,4.284,34.688,-22.922,151.986,-58.116,-1.816,1.091,-12.043,-1.312,5.706,3.308
30.20367,9.163,11.887,56.759,-24.388,137.489,-38.603,14.385,3.363,-31.012,6.145,-8.691,2.772
30.40077,9.777,-10.09,21.762,-23.31,132.324,-54.996,-5.068,3.524,-27.094,-7.131,3.952,6.579
30.92204,8.538,0.652,-1.763,-45.722,127.348,-45.515,-38.378,-7.13,-27.623,-0.74,1.896,-0.6
31.04531,10.474,-20.143,29.982,-33.367,143.995,-46.107,-23.881,-9.525,-22.965,-2.558,4.987,7.146
31.49773,12.35,-15.835,53.768,-18.732,124.535,-33.255,-38.825,0.612,-15.333,-2.758,-4.184,-8.206
31.70649,12.297,-16.922,58.078,-20.808,117.412,-44.625,-16.508,3.357,-22.095,-3.046,1.959,-11.021
31.95732,14.453,-14.521,76.258,-20.377,91.883,-36.255,0.469,-10.543,-18.358,4.024,4.608,-2.423
32.82141,16.615,-27.757,82.157,-2.208,65.879,-37.992,-17.574,1.335,-38.211,-12.938,-3.788,-8.128
33.01265,14.079,0.538,30.946,70.781,75.01,-28.886,-19.573,50.118,-17.509,-0.528,-40.804,3.515
37.53515,4.46,66.689,-24.92,-55.784,101.342,-38.181,-57.047,-11.664,-28.872,5.531,-3.283,-5.375
38.13161,5.184,54.663,-13.46,-64.498,110.568,-38.802,-43.327,-23.292,-25.414,6.959,-1.629,-1.222
40.67424,6.739,30.735,-48.455,-57.626,84.263,-49.022,-9.615,1.58,-4.339,10.011,-7.498,4.32
40.86145,7.803,20.994,-46.977,-62.368,74.302,-44.36,-27.316,-7.427,-23.667,4.685,-1.617,14.209
40.97211,9.902,0.184,-36.649,-74.19,68.201,-47.438,-27.996,-14.365,-13.072,1.385,8.737,3.316
41.53039,12.555,-20.605,-25.394,-67.079,49.73,-42.506,-14.316,-7.65,-10.509,4.721,0.439,-14.827
42.17179,15.251,-43.194,-11.494,-42.117,37.376,-44.62,-3.171,0.329,-22.108,-0.491,-1.599,-12.505
42.88132,16.273,-30.189,-3.222,-16.852,29.044,-42.074,-13.712,3.344,-1.624,-4.842,-8.115,-12.173
43.32703,13.326,-44.022,-21.107,-22.163,66.199,-51.53,9.004,17.163,-17.202,-0.629,-11.702,-14.227
43.95955,9.732,-15.125,-57.414,-8.917,83.957,-62.597,5.119,47.904,-4.155,-6.228,-7.536,-5.836
45.53356,8.076,12.337,3.013,-25.665,127.789,-52.42,-15.452,10.299,-14.134,-0.638,-3.089,-7.628
46.16594,7.867,11.82,7.168,-32.419,137.758,-47.943,-22.496,0.857,-18.96,-0.912,3.502,16.056
46.70608,8.892,-9.565,20.159,-47.846,160.388,-45.358,-42.618,-16.073,-15.629,3.954,3.809,1.312
48.11211,11.277,-1.615,28.139,-23.668,114.492,-42.469,-52.793,-12.835,-5.983,1.437,2.016,-15.727
48.64703,11.342,-1.835,29.767,-12.021,99.908,-44.535,-40.131,0.039,-24.081,-4.818,-16.583,-15.171
50.88721,8.408,6.101,-0.636,-35.24,134.934,-45.125,-46.351,-9.016,-5.803,0.38,-5.265,-13.93
51.29846,8.781,-2.425,25.44,-32.538,155.733,-46.458,-20.869,3.644,-14.116,1.127,-3.157,3.43
51.57705,8.208,12.61,28.2,-5.471,149.217,-62.917,-10.023,13.132,-6.637,-5.11,-0.971,-2.05
51.96571,8.136,9.633,10.447,-13.975,141.216,-55.876,-13.024,15.712,-7.856,-1.823,-0.775,8.151
52.39088,8.208,3.392,1.757,-40.936,139.815,-49.891,-15.029,-3.03,-4.902,6.193,0.623,3.447
