start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.41,163.262,-6.761,-34.248,45.451,-50.512,23.384,6.237,-25.417,4.587,-11.894,-8.465
0.09406,19.72,-157.833,-25.382,-69.917,99.844,70.183,33.359,3.431,-58.41,109.159,26.992,-7.085
0.70127,21.083,-193.301,-57.28,-31.775,87.584,-64.515,-8.882,21.53,-26.549,-16.48,-3.899,-3.223
1.05732,19.965,-153.851,-62.943,-20.491,49.618,-46.09,-11.723,22.979,-36.893,-10.664,-2.303,-18.639
1.619,17.009,-133.23,-58.712,-37.113,87.312,-62.325,6.092,14.886,-16.444,-8.32,-8.056,-17.223
1.99687,18.906,-167.424,-64.516,-34.182,98.939,-43.099,-14.408,19.252,-26.518,6.274,-5.188,-2.43
2.60086,19.807,-170.878,-78.904,-44.495,63.16,-38.671,-19.892,29.366,-36.347,-5.906,-8.785,-12.487
3.54608,19.895,-180.931,-75.376,-55.62,78.619,-47.803,-4.313,21.146,-30.008,3.892,10.59,-14.094
4.07556,19.85,-195.884,-102.627,-64.048,81.143,-61.94,-13.906,18.45,-26.163,-8.825,7.406,-0.717
4.45388,21.072,-190.018,-75.525,-38.617,65.62,-59.151,-13.592,22.194,-31.724,-15.445,3.076,-6.535
5.61256,16.791,-138.791,-85.144,-40.559,80.984,-57.06,-15.722,16.414,-29.74,-10.706,-2.641,7.291
5.99478,23.478,-195.453,-27.361,-40.235,66.437,-27.437,-14.451,16.57,-33.918,2.234,10.44,-12.725
6.42023,25.586,-179.714,10.98,-25.898,46.109,-34.768,-22.285,16.15,-21.846,-8.143,2.645,-20.725
6.82109,25.266,-179.654,-9.135,1.961,46.319,-32.678,-28.409,16.727,-25.702,-12.663,-10.881,-11.784
7.42408,20.172,-160.403,-67.44,-29.835,47.015,-54.729,-26.812,34.401,-39.22,-22.767,-4.788,-10.673
8.34336,19.381,-174.301,-69.865,-65.92,80.232,-43.003,6.088,8.278,-37.667,5.696,7.029,-3.09
8.6858,19.338,-155.049,-57.868,-42.552,60.615,-56.257,-14.846,17.747,-39.151,-22.615,3.301,-8.553
9.28045,23.498,-169.951,-29.88,-34.262,30.432,-28.584,-19.651,6.488,-36.411,-5.606,0.31,-18.815
9.86449,23.47,-153.519,-38.685,-5.458,66.137,-31.066,-15.154,9.034,8.957,-13.004,-20.225,3.521
10.43642,24.905,-158.892,-23.376,9.613,37.104,-17.132,-35.988,48.146,-22.724,6.094,-6.929,-12.115
11.14649,23.708,-213.587,-43.571,-48.566,74.821,-32.165,23.602,3.975,-23.595,22.664,-0.904,-15.186
11.57873,25.552,-208.894,-123.068,-53.421,11.882,-55.159,9.961,-6.111,8.709,6.869,-27.922,-4.896
11.7283,32.146,-188.416,-8.576,17.772,19.35,4.415,17.094,18.523,1.511,2.131,13.458,-15.257
12.2946,26.546,-157.691,-4.329,15.28,26.181,-31.318,-27.58,13.494,-18.842,-2.32,-21.609,-11.202
12.88825,26.884,-161.605,-2.955,-6.232,7.97,-35.568,-22.149,10.447,-23.195,-8.938,-3.432,-18.323
13.28218,24.786,-201.19,-110.585,-18.223,1.337,-53.429,7.157,24.209,-20.288,4.547,-3.687,-11.965
