start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.054,170.019,7.732,-29.996,56.037,-50.358,15.946,4.213,-27.106,1.317,-11.013,-7.087
0.26172,40.513,74.505,-32.115,-79.138,58.324,210.11,61.87,32.807,-10.539,86.825,99.536,-29.409
0.69125,50.871,22.281,-20.732,4.09,40.572,-5.125,20.073,0.752,10.733,39.575,-9.887,-20.53
1.06281,48.071,73.965,-11.721,71.845,44.158,-38.069,4.881,39.819,-0.813,-9.928,-16.524,-11.307
1.31202,46.095,54.227,-55.444,-42.026,44.403,8.574,5.97,7.399,1.195,48.227,-3.524,-1.457
1.72404,50.479,15.846,-31.221,-60.002,32.958,-0.072,35.899,-13.181,10.807,34.148,-6.006,3.878
2.10023,50.006,52.138,-14.212,61.332,42.311,-49.657,12.654,38.354,12.964,-9.492,-5.174,-13.363
2.3742,47.25,57.489,-54.871,-25.043,21.822,-38.537,-0.281,25.344,-0.226,35.173,-20.376,-5.823
2.77474,51.018,19.239,-25.896,-1.87,37.873,-0.699,24.389,-0.309,10.14,34.974,-10.111,-20.655
3.1473,48.462,67.694,-20.872,59.957,33.427,-41.1,5.293,42.763,0.222,0.362,-19.746,-8.687
3.38349,46.513,52.077,-26.637,-83.091,37.971,19.045,14.483,-11.395,-9.562,35.404,-13.996,4.656
3.7907,50.388,25.779,-0.053,-65.253,29.274,-1.828,17.823,-23.503,-2.469,30.308,-10.984,-10.014
4.19107,51.904,38.639,48.19,31.386,50.862,-57.761,39.02,1.947,-4.901,-1.547,1.396,-8.863
4.45293,51.239,15.421,9.944,-11.851,24.22,-30.772,32.884,-3.992,-11.46,21.299,-11.018,-7.519
4.68349,50.549,49.431,54.486,5.884,46.359,-27.563,45.017,21.207,2.135,-13.441,-3.187,-19.568
4.85791,52.601,15.803,4.3,-3.865,18.658,-32.775,28.128,-1.096,7.136,9.316,-9.374,-23.711
5.21488,50.246,62.836,48.353,21.45,18.648,-23.307,22.079,22.549,-6.053,-21.725,-2.848,-33.713
5.49125,50.026,55.962,10.272,-7.355,9.801,-28.721,7.084,21.134,-6.16,32.648,-2.16,-13.82
5.90363,51.921,22.299,-1.106,-42.296,16.582,-15.002,29.558,-14.019,-3.726,23.332,-4.489,-10.722
6.25179,51.451,58.429,36.497,28.603,17.752,-30.79,13.333,25.761,3.935,-13.768,-11.385,-20.159
6.5478,49.727,58.714,-4.742,0.219,-1.756,-49.346,-0.847,26.908,-9.122,18.491,-6.888,-14.43
6.93673,51.752,40.289,26.893,-0.497,26.099,6.569,10.72,1.528,-9.337,28.747,-6.041,-22.794
7.3142,49.296,83.949,29.326,43.814,12.018,-33.459,9.821,32.87,-13.262,-6.824,-5.296,-24.749
7.57542,49.464,69.675,14.689,-16.614,-5.242,-1.836,13.449,15.927,-31.751,46.613,0.379,-23.758
7.99302,52.182,18.377,-8.663,-33.553,12.794,-16.803,24.531,-3.931,-1.48,30.981,-6.524,-15.078
8.33596,51.089,49.751,29.138,24.03,18.52,-31.361,11.737,35.284,0.591,-29.763,0.263,-24.044
8.62032,49.111,35.008,-59.065,-6.113,35.62,-22.021,-35.478,43.851,-16.072,46.52,2.577,-6.449
8.9376,51.329,6.223,-8.838,-6.724,74.054,-22.279,15.173,9.941,-11.796,31.879,-2.134,5.474
9.12939,49.384,16.516,-51.867,19.138,64.364,-59.174,-9.882,71.555,-13.701,-11.819,-11.521,-7.07
9.35193,49.704,28.819,8.463,-88.408,102.125,-39.622,22.826,-30.965,-24.596,10.887,-11.521,3.042
10.06689,50.982,1.446,-21.052,-26.173,68.35,-32.774,-11.704,-12.187,10.553,6.589,-1.681,-1.352
10.44417,49.432,-5.636,-63.412,-19.182,67.03,-41.353,-12.368,1.99,18.126,0.372,-9.779,-6.64
10.72272,48.517,-12.925,-70.671,-10.632,56.291,-39.187,-40.549,3.923,-5.318,28.935,-1.145,-5.931
10.94612,45.447,64.265,-60.808,-51.092,51.888,-41.523,-21.082,-4.964,15.435,-14.439,-1.334,-10.47
11.12236,48.831,24.137,-75.767,-11.218,30.063,-24.392,-2.714,23.375,-2.139,35.087,7.695,4.87
11.4054,46.022,27.316,-13.863,0.566,39.571,-74.434,-34.497,17.08,-10.862,-8.968,0.297,-0.492
11.49374,48.06,26.916,-78.582,6.898,58.479,-23.587,-20.191,28.899,-9.313,26.529,13.351,6.662
11.64204,46.508,83.956,-65.317,-70.465,31.219,-36.276,-17.222,13.061,-3.831,13.394,2.679,-19.859
11.72544,52.517,78.571,-13.28,-67.089,41.926,18.992,-29.071,-40.911,-34.68,22.052,-24.546,-3.577
12.16023,54.216,-16.857,-7.493,-9.321,85.615,-47.865,16.65,10.466,-35.562,-4.99,4.979,21.172
12.28834,52.73,-4.942,25.68,-16.541,78.408,-47.093,32.039,6.135,-18.107,-5.114,-8.485,2.002
12.70141,51.448,-20.035,1.498,3.727,55.613,-40.518,38.304,21.643,-24.793,10.415,-23.527,7.983
13.04875,50.074,19.777,-23.222,-38.753,86.924,-49.749,25.7,-8.891,-14.407,-7.605,9.887,34.222
13.1254,51.952,42.353,10.352,-12.941,73.957,-14.247,1.381,28.475,-27.921,-9.718,-35.818,-4.982
13.57755,48.441,18.267,-79.757,-7.596,41.276,-35.336,-6.169,22.502,-7.783,21.081,2.765,6.111
13.72263,50.225,19.42,31.479,-38.605,48.132,-24.477,57.001,15.754,-29.268,2.426,1.92,-14.47
13.8517,52.438,-2.031,11.295,10.441,42.804,-56.708,-8.093,38.522,-32.111,-8.677,10.681,0.29
14.258,51.1,5.761,-26.677,2.854,49.642,-48.842,-16.696,12.873,-10.501,24.149,13.677,-16.492
14.51773,48.356,-26.205,-50.26,-36.419,26.611,-43.56,14.703,-0.51,-18.116,17.28,1.24,-11.299
14.5951,48.73,19.409,-45.982,-27.146,32.39,-33.997,17.231,16.738,-6.105,-15.207,-16.712,-16.453
14.90113,48.42,-7.301,-77.092,2.334,35.97,-60.076,-21.91,29.923,-14.026,18.961,-1.191,17.302
15.11583,44.246,88.11,-58.921,-40.744,44.675,-32.885,10.768,15.217,18.105,-16.233,-6.022,10.509
15.29057,48.862,10.124,-72.88,0.924,34.286,-30.087,-5.367,31.543,-7.797,16.946,6.386,3.72
15.58113,44.988,37.074,1.228,4.073,50.535,-72.776,-53.222,19.916,-17.575,-14.266,1.36,3.987
15.6732,47.985,16.387,-81.162,10.74,48.509,-44.981,-21.101,33.807,-6.336,19.0,3.892,1.092
15.82163,43.87,44.475,-86.631,-29.802,27.541,-47.38,-8.446,20.931,-6.373,9.728,-4.526,-8.848
15.94045,49.011,-7.819,-55.422,3.879,57.51,-65.641,-31.784,19.977,1.364,2.423,-1.943,12.039
16.16698,44.144,100.287,-63.781,-42.625,43.637,-37.001,-0.237,1.569,19.351,-14.652,-6.228,8.221
16.32952,48.651,19.419,-60.299,-14.337,61.247,1.076,-3.913,17.879,1.757,40.296,8.311,-0.098
16.60762,46.272,-7.697,-84.212,-34.717,31.716,-40.191,1.558,11.966,-3.228,29.765,1.357,2.429
16.7049,47.401,47.073,-73.839,-6.419,48.798,-42.758,-4.14,15.767,2.225,13.963,6.087,1.159
16.86884,48.577,-11.47,-46.456,-60.883,42.638,-45.932,0.492,-8.441,-29.701,6.741,0.726,-15.846
16.97392,51.751,-8.395,-16.475,0.142,57.6,-33.306,1.739,38.709,-27.255,20.531,-10.22,-1.308
17.32785,48.586,24.036,-30.462,-86.127,61.445,-8.38,-8.063,-25.48,-20.935,25.409,-27.739,24.48
17.47302,51.394,36.617,-56.849,9.973,34.939,-13.972,2.041,34.005,-35.146,-1.93,-37.894,-10.58
17.67025,46.152,42.604,-41.722,-14.312,44.829,-84.59,-21.971,16.427,-29.782,-27.695,-6.097,-23.118
17.76907,53.356,18.497,23.272,-67.801,54.776,-52.18,21.045,1.438,-25.42,-3.469,16.727,-9.255
18.02426,55.354,14.698,56.105,4.313,34.246,-62.087,18.304,34.328,-55.917,-13.803,16.165,11.875
18.25102,54.972,68.063,89.862,18.432,39.746,-34.839,53.563,14.509,-35.649,-12.349,-10.047,-7.247
18.42522,54.329,22.016,29.242,-1.363,45.469,-44.329,18.066,22.849,-3.85,9.92,4.157,9.754
18.6859,52.727,29.915,-32.046,-25.857,30.864,-55.196,14.087,9.31,-4.131,2.896,-1.909,-2.332
19.07624,52.34,14.258,-45.969,-28.169,40.775,-50.722,-27.847,21.562,-25.931,15.133,3.731,-2.739
19.19946,51.411,54.41,-19.411,-27.94,36.684,-23.76,-14.449,8.151,-21.191,-9.598,-21.525,-26.8
19.44154,49.077,30.083,-42.68,-13.701,50.471,-33.261,-6.323,4.482,-9.642,3.039,-15.524,-2.38
19.84077,47.779,19.602,-87.109,-0.438,40.511,-42.105,-11.125,31.917,-1.701,17.543,8.738,0.517
20.00562,50.093,44.28,17.26,-122.49,52.402,-9.758,4.373,-14.669,-13.827,9.973,-9.641,-14.406
20.63687,55.61,70.703,57.512,-23.591,46.493,-29.812,5.426,27.411,-18.429,-5.071,7.455,-19.351
20.77592,57.04,66.974,31.07,-22.704,14.361,-43.112,16.298,4.38,-8.181,17.499,1.501,-5.739
21.01923,57.2,61.849,14.831,12.845,15.657,-30.697,9.135,10.887,-25.602,-6.336,-34.28,-10.966
21.40839,49.017,62.469,-12.535,-59.053,57.145,-3.425,23.516,-9.366,-28.555,18.275,-23.169,15.383
21.5654,50.865,-12.107,-45.375,-16.691,29.426,-58.576,3.423,22.204,-23.951,13.587,2.577,18.943
21.72753,54.516,48.31,47.131,-18.705,65.501,4.77,49.549,17.364,-45.706,-26.022,17.122,-7.962
21.92549,55.65,42.272,50.128,-0.765,32.779,-43.84,36.233,10.127,-48.746,10.734,14.248,-4.323
22.20381,54.836,28.165,25.764,17.92,30.99,-45.109,-19.242,21.59,-29.786,-25.52,-4.133,-7.213
22.60508,52.495,23.658,-29.393,-7.977,70.289,-60.74,-13.462,14.275,-8.147,7.93,10.43,-8.613
22.87179,51.389,15.963,-46.685,-31.612,41.336,-53.655,3.247,9.454,-7.621,0.019,-10.62,-10.495
23.24907,49.976,-24.557,-44.552,-8.625,44.616,-55.451,-16.724,16.493,-13.683,17.298,-2.159,6.867
23.46934,46.251,51.405,-64.684,-40.559,68.388,-40.781,-22.732,0.514,26.962,-10.458,-4.476,-7.852
23.6458,49.247,3.769,-79.23,-5.412,39.453,-30.017,-11.82,23.938,-3.598,24.937,4.528,0.016
23.92789,46.206,14.809,-43.489,-14.719,17.644,-80.043,-25.937,26.324,-10.3,-11.491,-3.931,-3.974
24.01297,48.047,19.323,-78.311,11.888,50.878,-25.949,-17.175,36.482,-6.415,24.939,1.963,3.822
24.17057,43.647,53.905,-70.611,-27.282,30.964,-50.466,-12.201,23.469,-2.465,10.535,-2.751,-14.273
24.2898,48.685,-7.073,-62.428,2.215,58.395,-69.193,-38.157,23.589,-1.925,1.44,-5.069,13.907
24.53796,44.076,117.813,-67.855,-23.179,35.333,-53.296,-15.117,-4.601,-1.956,12.764,2.084,15.215
24.69578,49.931,13.497,-47.414,12.114,66.476,-54.384,-24.835,21.184,-1.392,30.386,11.647,-2.066
24.96068,46.176,-9.307,-95.019,-41.772,24.773,-59.845,-0.185,22.018,2.613,14.902,7.462,-1.409
25.05751,47.11,38.159,-80.087,3.093,44.292,-49.085,-7.359,26.715,5.867,8.259,-5.271,-4.157
25.21687,44.48,42.325,-100.981,-46.606,18.445,-48.557,-14.767,10.338,8.516,26.735,0.272,-8.763
25.33388,49.845,-30.728,-25.969,-15.604,42.047,-10.553,6.81,18.072,-19.379,38.225,-9.818,8.66
25.58399,47.839,52.941,-12.941,-100.017,42.349,-13.068,10.159,-26.557,-20.923,33.333,-27.235,13.568
26.08621,48.439,-1.282,-70.531,-41.71,54.774,-18.427,11.779,15.23,-19.352,16.389,-5.299,-1.886
26.19796,53.374,1.004,57.125,-14.03,51.517,-28.384,33.349,2.963,3.811,18.733,-12.948,-15.661
26.37764,53.188,-12.404,16.863,6.394,68.32,-64.054,-0.366,22.129,-10.542,-18.045,6.654,4.361
26.74961,52.097,9.549,25.892,-14.427,44.473,-18.258,-5.079,-1.931,-18.94,-1.268,4.499,-17.603
27.01628,52.372,8.262,14.088,-30.873,24.281,-43.051,-0.302,6.397,-39.365,4.685,5.519,-31.945
27.28948,52.64,11.614,-0.964,-16.002,6.597,-51.624,-1.436,12.013,-36.306,-9.982,-8.667,-34.985
27.41184,51.028,-0.3,-16.335,13.537,34.837,-35.158,-27.019,22.025,-34.937,11.498,-14.242,-16.429
27.82336,49.344,-3.814,-69.762,10.401,23.333,-43.45,-17.978,17.33,-1.512,27.083,-5.559,6.021
28.10327,45.366,17.081,-2.926,1.177,27.966,-72.809,-40.088,18.534,-13.939,-17.358,1.249,-5.092
28.1946,47.242,-6.105,-69.195,19.566,36.132,-47.467,-23.082,29.784,-12.701,19.909,5.724,-3.175
28.34281,43.852,31.897,-66.441,-42.228,27.791,-39.541,-12.993,18.565,-9.895,18.695,-2.149,-10.866
28.4502,53.203,31.755,-7.163,-72.081,54.71,-8.011,-23.357,16.218,-35.216,26.527,16.797,5.04
28.97256,53.667,1.691,35.822,-2.258,78.482,-51.036,48.429,3.632,-28.853,-1.644,-2.966,11.608
29.41406,51.78,-36.303,3.082,16.333,39.995,-45.963,41.627,27.135,-7.155,7.273,-29.936,18.684
29.73311,50.423,33.58,-11.828,-47.675,56.914,22.333,8.459,39.17,9.019,-5.198,-24.435,11.404
30.17519,51.103,3.109,84.259,-33.533,55.89,-10.887,20.503,1.792,-28.095,12.109,-0.656,-6.078
30.54594,52.538,-13.963,26.597,13.378,25.18,-48.773,-1.72,25.185,-28.672,-4.68,2.103,7.564
30.6737,51.282,27.59,75.242,-23.112,35.923,-34.869,37.264,21.949,-27.712,-14.774,0.129,3.268
30.95211,51.513,12.796,-21.999,23.601,18.432,-41.33,-24.524,14.68,-20.408,11.76,-14.055,-22.993
31.3254,46.616,25.311,-72.88,-2.232,28.039,-50.831,-9.546,22.554,-11.5,4.529,6.752,-8.318
31.49111,43.99,23.26,-101.215,-36.021,9.164,-71.224,-8.41,18.402,0.641,-0.418,-8.898,-7.897
31.59116,46.137,-10.896,-81.882,7.837,20.957,-28.084,-24.3,30.624,-11.396,43.096,-1.884,12.445
31.83832,42.444,93.11,-73.763,-27.785,19.138,-53.278,-19.577,-1.435,-13.14,15.755,8.61,7.976
31.94476,45.232,9.881,-74.083,-59.852,32.075,-12.145,-3.706,-0.202,2.44,18.934,-24.134,11.178
32.27528,43.831,11.749,14.817,2.65,42.336,-72.846,-52.255,17.118,-17.658,-16.886,3.121,-2.984
32.34458,46.484,-13.743,-70.338,-24.525,31.899,4.087,-1.528,33.175,-3.998,16.527,-16.999,-0.505
32.52018,43.473,25.877,-69.446,-27.307,25.994,-55.108,-4.451,16.691,-9.992,22.145,-7.337,-5.367
32.62862,47.756,-24.186,-57.455,4.831,41.721,-45.713,-29.715,15.925,-8.423,17.595,6.852,7.514
32.87995,44.695,57.785,-55.523,-21.904,40.054,-52.6,-22.653,-9.623,-5.365,9.688,8.585,17.417
33.04054,49.632,-0.694,-41.051,18.188,48.536,-42.46,-16.564,19.782,-14.451,25.976,-0.066,-3.463
33.31515,45.697,-27.848,-74.028,-43.675,9.883,-58.201,-1.141,32.048,-8.833,20.304,13.84,5.129
33.40862,47.458,6.635,-62.123,-22.513,39.391,-47.371,5.998,6.233,-3.915,20.295,-4.914,-2.617
33.67506,49.524,0.327,-32.607,-33.957,47.717,2.724,-4.532,18.962,-19.933,67.63,-20.101,-5.464
33.99927,47.946,-12.095,-6.026,-21.588,118.234,-45.618,-17.349,23.247,-0.84,6.7,2.3,-0.318
34.08639,51.166,-19.343,-49.761,-6.66,27.852,-52.998,6.172,2.887,-15.596,32.914,3.639,8.295
34.18195,49.576,24.176,-46.581,11.17,42.126,-43.729,-4.788,17.621,-28.745,-20.267,-10.011,-21.862
34.46422,52.218,22.428,41.299,-41.128,99.175,-33.385,-11.474,-6.828,-2.159,1.913,-13.636,26.338
35.08522,53.098,21.087,35.436,2.584,76.629,-44.304,12.858,16.107,-7.518,2.526,-0.563,17.235
35.50948,53.444,20.823,30.632,-16.096,73.713,-52.755,-3.709,0.242,-10.394,1.321,-2.057,-6.403
35.76494,53.37,1.843,12.161,-3.096,49.312,-44.922,-14.192,21.198,-28.582,7.935,4.261,-8.929
36.17147,51.222,2.616,-26.042,18.805,52.454,-39.399,-16.829,28.739,-13.776,29.014,-4.804,-0.576
