start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,43.541,105.383,53.179,-28.723,-23.923,-4.862,-39.328,5.315,-27.632,-15.989,10.447,0.584
0.21977,43.942,107.352,64.933,-4.192,-8.425,-6.253,-28.254,2.611,-7.868,-21.298,1.583,-4.105
0.60376,44.316,112.172,63.904,-3.131,-18.113,-26.948,-34.476,-23.699,-31.452,-10.824,-5.382,2.997
1.09719,43.828,79.515,66.205,-9.438,-1.607,-30.97,-30.871,5.588,-9.101,-3.942,15.824,-0.742
1.57909,43.86,93.41,46.299,23.646,-1.672,-30.181,-34.971,-28.912,-10.938,3.448,-4.876,4.766
1.79302,42.319,100.992,59.024,-30.991,-23.951,-16.121,-46.271,8.496,-31.14,-17.435,10.007,2.227
2.0263,42.406,105.265,71.64,-7.542,-7.622,-8.783,-32.033,5.651,-8.737,-18.897,-0.542,-3.299
2.41488,42.652,106.872,71.162,-0.807,-13.727,-24.487,-39.068,-25.414,-34.945,-10.91,-4.738,4.42
2.90245,41.705,72.757,72.176,-12.275,-1.374,-28.195,-32.045,11.148,-10.797,-4.421,15.297,-2.003
3.39016,42.385,102.369,48.964,13.354,-6.372,-32.654,-42.043,-17.859,-15.191,4.194,-3.394,5.294
3.69202,40.993,122.734,62.026,2.239,-6.789,-15.052,-33.97,-23.528,-20.67,-13.857,-9.614,5.092
3.87782,41.141,121.897,65.146,18.8,-3.892,-24.548,-44.42,-10.98,-16.385,-13.732,7.574,0.834
4.2259,39.06,100.062,70.387,22.248,-14.12,-26.754,-38.723,-20.48,-34.068,-8.367,-8.035,2.504
5.20127,37.187,108.636,52.076,16.061,-6.626,-25.367,-43.339,-12.24,-13.108,1.937,-14.352,4.911
5.50308,34.592,122.393,59.514,0.178,-9.443,-14.822,-34.399,-16.031,-21.924,-16.42,-9.206,5.914
5.67116,33.895,113.959,77.859,15.795,2.328,-10.411,-41.757,-4.553,-18.114,-17.163,3.231,-0.386
5.90345,33.456,88.887,25.481,-13.368,-37.742,-23.595,-23.324,-12.377,-0.675,8.12,-7.353,-5.851
6.03755,33.295,91.048,58.841,13.831,-22.108,-25.773,-29.856,-21.752,-30.582,-6.429,-10.178,-0.147
6.90249,32.633,86.942,61.749,-2.002,-24.832,-33.584,6.698,-1.398,12.331,10.415,-7.22,-16.707
7.01206,33.127,93.427,33.775,8.945,-19.896,-28.796,-29.717,-9.249,-3.356,0.377,-20.071,-3.379
7.29678,30.2,94.75,44.948,-15.206,-16.269,-15.641,-27.661,-9.557,-16.211,-15.94,-6.168,-2.7
7.48871,29.806,90.861,53.7,10.139,-16.111,-20.682,-26.748,-4.344,-13.701,-13.065,2.671,-6.623
7.84812,28.925,68.002,49.111,7.008,-27.845,-23.026,-25.432,-25.08,-33.089,-1.883,-13.007,-0.839
8.57401,27.857,70.694,29.697,-6.838,-19.585,-31.977,1.302,-18.412,12.236,1.44,-15.444,-6.424
8.71365,27.781,78.96,70.282,2.018,-8.464,-33.133,-10.502,-2.552,11.909,1.947,-2.828,-12.521
8.81732,27.969,85.055,42.065,8.449,-12.051,-24.005,-24.332,-12.67,-4.534,-0.617,-16.177,0.203
9.11002,25.056,55.34,34.253,-15.256,-23.403,-23.891,-3.461,-3.381,-6.648,-8.368,-5.763,-7.022
9.46789,23.721,31.029,15.559,-15.455,-38.201,-26.317,-17.063,-8.98,-7.145,9.647,-6.533,-6.172
9.65932,23.802,37.16,29.786,-3.77,-43.847,-32.753,-9.255,-15.563,-27.57,-1.924,-11.603,-2.836
9.97256,23.563,-0.503,9.26,-7.35,-20.164,-24.046,8.166,13.743,13.659,3.636,-1.381,-3.179
10.48821,22.205,26.131,44.403,-29.013,-7.721,-21.981,-10.912,7.944,9.534,-11.22,-3.51,-3.36
10.68671,22.183,38.017,30.745,6.379,-12.284,-17.504,-12.102,-39.165,-0.857,1.894,-16.219,-0.141
11.24989,19.492,-10.366,12.08,-9.617,-20.16,-37.555,5.279,-0.417,-0.82,-1.205,-3.201,-4.431
11.46345,19.704,-18.085,26.256,-12.754,-5.057,-22.234,6.651,-5.023,-16.906,13.947,-6.605,1.315
12.00372,19.338,-60.669,-2.384,-25.979,2.56,-35.857,18.198,5.809,-18.743,4.286,1.165,8.853
12.28376,18.691,-7.458,40.432,-5.007,13.408,-38.595,12.407,14.908,4.447,-1.268,-3.122,11.502
12.52907,18.926,-16.735,-6.129,17.753,3.279,-27.382,3.17,12.311,2.27,4.789,-12.976,18.053
13.03887,15.55,-12.968,7.143,-17.202,17.47,-38.005,-3.944,13.798,-22.992,-7.926,3.968,23.987
13.29429,17.542,-50.415,-6.918,-13.284,-2.704,-35.983,53.188,16.318,-36.86,7.619,-1.04,11.501
13.53683,18.533,-41.772,-0.636,2.708,12.784,-31.05,-10.214,11.675,-24.781,3.193,0.747,22.409
13.79855,17.039,-7.087,22.359,-4.329,10.734,-32.801,-5.154,5.006,-18.998,1.844,2.764,21.802
14.00748,18.852,-36.679,16.894,-62.577,3.868,-7.852,6.627,-7.629,-21.035,17.296,-9.803,13.015
14.29755,23.271,-17.306,13.224,2.151,-16.617,-28.804,25.712,5.216,2.792,10.878,-6.732,19.113
14.55283,20.955,-38.394,23.935,-7.483,-2.666,-35.883,-4.175,-7.487,-31.795,1.898,-3.411,25.296
14.80227,22.283,-33.484,14.963,-1.029,-16.155,-34.258,18.795,20.486,-1.994,5.382,-4.627,24.353
15.04662,23.769,-21.804,16.473,-18.463,-1.895,-8.439,-8.347,-4.742,-9.066,7.721,1.14,40.689
15.30748,23.749,-24.511,12.945,-2.633,-14.014,-27.368,-2.268,4.89,-6.782,-2.614,-3.172,35.248
15.56426,23.654,-9.749,8.558,-15.16,-0.991,-21.108,-19.77,7.082,-1.814,5.891,0.071,31.127
15.80902,22.775,-23.747,11.051,-16.392,-11.568,-21.845,-11.596,4.61,-10.07,-7.23,1.876,26.939
16.05655,22.739,-31.303,6.796,12.337,-1.888,-45.854,4.998,4.829,-0.505,12.719,-1.864,22.479
16.31406,22.308,-35.735,-8.903,-3.376,5.524,-24.67,-14.074,-24.211,-9.974,13.806,-7.521,29.829
