start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.40735,29.166,-31.568,-78.02,-6.966,18.417,21.435,15.27,-44.249,-11.998,16.795,9.45,10.414
0.71283,28.023,-12.429,-88.572,-8.529,58.128,-76.654,-24.164,-38.858,-11.297,11.748,-8.707,32.299
0.8707,38.262,-26.112,0.313,-27.095,35.322,70.014,-3.142,-1.74,5.461,-4.263,0.852,0.541
1.15556,35.091,-66.267,8.146,-0.286,63.023,-44.388,-14.195,-28.158,-13.069,8.079,-18.888,-2.228
1.44549,34.018,-82.531,-15.618,22.089,48.531,-45.972,-0.693,-5.854,-33.424,13.777,-10.733,27.59
1.71782,29.945,-46.648,-42.26,-5.953,56.88,-47.811,-21.066,-21.73,-22.153,6.283,3.947,20.948
1.86426,29.077,-36.01,-27.904,-11.682,50.069,-66.896,-24.108,-7.866,-35.556,-0.458,-0.626,23.261
2.0127,27.981,-72.33,-65.898,-35.14,-0.248,-67.056,-14.755,-1.008,-24.071,2.773,-10.391,0.645
2.13678,29.545,14.653,-86.69,-10.415,25.334,-52.651,-14.165,-22.935,-24.135,15.767,-8.237,13.418
2.29918,31.14,-63.197,6.064,-39.121,25.913,-7.023,-17.178,-11.28,-25.916,23.477,0.094,5.798
2.41574,36.129,-46.839,-28.306,22.838,22.731,-33.677,-8.49,2.677,-14.781,-8.895,17.414,18.236
2.53066,38.954,-24.342,61.707,24.471,28.732,-20.752,4.67,-4.025,-30.344,-4.672,19.192,37.513
2.69937,39.075,-55.229,-3.435,38.94,24.439,-7.361,-5.886,-13.24,-12.742,-21.552,-17.167,19.326
3.19741,37.007,-71.739,13.437,12.643,40.362,-44.471,-16.961,-9.881,1.567,13.221,-18.816,8.738
3.41397,35.16,-54.209,8.341,-15.093,44.064,-38.293,-15.26,-15.595,-3.629,8.342,-16.561,3.563
3.68685,34.37,-71.397,-9.92,42.987,47.719,2.266,3.47,-5.207,-15.793,-8.697,-4.367,11.413
3.97714,30.919,-28.766,-52.345,-29.338,77.461,-70.549,-28.352,-22.891,-23.151,8.705,1.586,26.57
4.12154,29.461,-28.205,-21.136,-9.663,52.094,-73.87,-40.324,-23.947,-23.927,5.794,-7.313,29.219
4.25052,29.874,-69.56,-50.495,5.588,-0.157,-26.402,9.996,2.18,-27.675,-3.367,3.224,2.945
4.35043,28.045,3.294,-74.308,-61.463,19.162,-23.544,-12.637,13.912,5.948,-36.878,-16.176,10.765
4.54562,30.417,-61.98,9.83,-46.054,31.383,-45.588,11.906,-19.232,-20.655,18.12,-17.04,13.412
4.75868,39.488,-19.29,49.102,21.241,72.215,-8.838,-44.465,-6.277,31.314,18.469,-0.108,-29.433
4.95252,37.97,-50.74,18.885,16.628,40.591,-5.804,-19.481,-17.42,-4.941,8.468,-22.702,1.76
5.23016,33.473,-74.023,17.567,-12.779,65.243,-52.732,-15.35,7.894,-9.075,-5.818,20.687,-1.235
5.43964,36.113,-56.497,18.797,31.317,57.448,-22.999,-25.734,-26.445,1.117,8.247,-15.693,6.75
5.78063,30.405,-115.721,5.576,11.265,78.713,-71.802,-11.062,-10.654,-10.429,-2.307,5.493,9.656
5.93329,34.584,-56.995,15.137,2.455,29.31,-19.927,-10.635,-25.094,-17.868,-2.325,19.747,9.371
6.21283,32.988,-53.324,28.163,21.228,55.591,-49.228,32.806,-25.364,-43.615,-8.948,9.322,22.371
6.34984,31.352,-55.583,-3.44,32.505,36.712,-70.752,18.747,-3.132,-32.379,0.856,-12.361,17.472
6.62336,29.544,-5.527,-64.949,-22.782,33.546,-66.2,-17.517,-25.062,1.779,27.278,-6.42,20.097
6.77982,31.77,-68.997,47.224,-21.823,29.885,-30.012,31.479,-5.354,-42.847,5.899,-7.991,22.123
6.89633,32.939,-56.15,19.311,26.831,29.69,-42.199,18.455,-0.086,-33.564,-27.373,9.564,29.43
7.03066,32.128,-53.465,19.705,14.293,108.853,-55.282,-10.278,0.905,-9.775,-2.981,-8.208,-7.959
7.18005,32.374,-85.46,-25.941,-13.32,42.33,-34.885,-3.17,-28.611,-3.134,-5.797,-11.038,-14.506
7.31338,33.077,-79.845,-11.874,53.089,67.038,-7.922,11.932,-9.83,-15.19,-3.92,-20.587,4.357
7.46576,28.681,-71.504,-31.947,1.147,65.843,-57.646,-11.611,-16.956,0.219,-0.714,-1.768,11.14
7.58757,32.218,-21.243,-10.286,-29.866,93.338,-16.109,-1.453,-22.747,-2.148,-0.56,-17.994,6.156
7.84327,30.454,-96.156,6.859,-36.729,50.583,-18.663,1.184,-10.912,-0.48,-9.076,-3.13,-5.243
7.98821,30.747,-69.299,-8.935,2.992,68.353,-60.671,-8.929,-19.2,-19.401,-2.941,5.41,10.767
8.14408,34.207,-55.4,-21.868,65.659,46.864,-24.021,17.797,13.368,-22.614,18.945,1.062,10.788
8.40558,28.484,-44.879,-44.868,-15.826,66.406,-51.012,-14.667,-23.682,-20.248,-3.083,12.09,31.362
8.55043,27.977,-16.59,-22.513,2.347,52.012,-81.641,-32.509,5.952,-40.379,0.309,1.546,18.821
8.67964,26.569,-35.763,-72.329,-8.0,23.237,-71.436,2.395,9.183,-18.234,-0.444,-6.919,7.527
8.77891,26.299,12.114,-76.148,-52.76,33.121,-10.656,6.816,13.323,20.233,-25.075,-19.058,19.301
