start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
2.36327,45.449,33.508,-40.818,-125.09,23.124,40.568,-28.589,-7.273,23.208,32.14,63.121,-6.515
2.62399,52.957,67.539,-19.144,-56.731,9.551,-27.683,-60.298,-18.739,27.61,9.502,-2.584,3.956
2.73342,44.343,97.11,-96.742,253.775,55.184,50.163,-40.41,54.165,6.46,-49.157,-174.662,21.001
3.41506,43.271,-36.669,-34.708,-18.712,8.139,84.954,39.056,25.334,7.309,16.611,61.512,-11.839
3.73882,43.173,8.092,36.098,1.419,32.539,-31.251,-0.047,15.092,-7.468,0.993,3.149,-3.979
3.89478,44.348,-48.306,-8.329,-11.742,-25.714,-44.233,11.021,14.43,-17.997,4.414,-15.419,8.438
4.04599,43.938,-13.431,-14.496,10.663,-20.153,-41.838,17.891,19.282,-2.853,-5.439,-19.57,16.722
4.20395,39.753,-5.92,19.548,18.504,14.927,-13.302,-18.657,-20.635,-23.049,-0.232,-25.473,13.068
4.35587,43.314,-45.499,-46.608,41.722,-17.445,-16.226,-0.138,11.992,-3.787,6.364,-46.985,11.231
4.66181,43.129,-55.027,-25.046,21.747,-23.536,-29.603,11.82,-10.609,-13.856,16.546,-2.028,7.388
4.97451,38.751,-15.574,24.022,-3.233,19.238,-38.696,-11.374,-4.859,10.656,8.674,-6.992,-27.479
5.1258,42.396,-75.661,-19.565,-5.536,-10.458,-37.227,6.746,10.417,-0.953,17.464,-8.997,-16.05
5.43279,39.846,-14.532,-3.48,13.555,10.411,-27.878,-22.414,4.654,-6.277,-6.359,-25.984,0.129
5.5868,42.242,-37.07,-30.021,-5.115,1.254,-7.296,22.298,35.08,-5.378,11.01,11.961,-0.193
5.90331,45.277,-39.032,-7.643,-6.42,-0.264,-32.769,17.384,21.499,-8.911,-3.152,-8.234,9.046
6.2117,43.075,30.766,42.626,1.249,24.486,-36.738,14.769,4.913,-3.246,2.346,-13.613,1.682
6.35741,43.484,-51.707,-7.782,-17.695,-17.036,-39.552,18.502,3.678,-10.335,27.114,2.466,-2.426
6.52018,42.602,-21.075,-19.534,1.241,-20.048,-42.531,16.737,14.509,-13.164,5.935,-5.016,21.015
6.68209,40.054,-26.248,22.455,14.276,23.117,-34.795,-37.032,-3.639,-20.627,4.979,-28.461,6.148
6.83306,44.134,-40.927,-31.369,32.257,-17.16,-36.34,13.804,2.163,-0.129,8.337,-15.461,1.845
7.14086,42.771,-56.869,-22.397,12.106,-27.328,-33.582,8.982,10.183,-18.624,-5.617,-13.845,5.189
7.44032,41.673,30.746,29.336,-15.355,4.685,-20.375,-6.897,-10.163,0.967,9.605,-4.487,-4.081
7.61048,44.275,-48.215,-24.737,-18.884,-17.333,-42.66,-0.364,20.189,8.504,0.611,-16.532,-2.073
7.90816,41.467,16.763,12.872,15.388,-4.04,-21.503,2.426,-8.495,-23.617,2.189,-19.504,11.59
8.06385,44.328,-44.394,-29.6,-27.948,-3.223,-44.184,15.187,4.734,2.51,0.122,-3.892,-3.558
8.20209,47.072,55.56,-48.009,-20.909,-13.826,-20.162,5.1,17.732,3.905,-6.921,25.29,-8.117
8.37678,48.973,45.108,-68.824,92.405,-15.226,-70.052,-12.566,-32.152,-4.436,6.833,-34.711,6.24
8.68961,41.46,-0.004,27.862,-9.712,37.412,-26.637,-14.375,9.396,-2.771,-7.664,-17.019,-5.295
8.83596,47.727,34.996,-61.404,70.523,-22.977,-60.497,-10.295,-27.407,-14.998,15.66,-11.923,14.147
