start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,22.881,-147.87,39.593,-17.698,75.525,-41.205,-2.411,7.405,-21.42,4.627,2.941,-32.541
0.33057,23.612,-136.802,45.916,-11.668,56.124,-53.898,-14.002,1.542,-20.65,-6.296,-4.488,-34.848
0.69719,23.849,-131.799,58.604,-21.353,59.455,-35.492,-12.528,2.232,-21.05,-16.447,10.008,-29.157
0.99946,24.198,-114.802,59.626,1.281,43.739,-37.827,-14.808,-2.523,-22.95,-7.667,0.443,-31.505
1.26408,24.164,-128.584,52.682,6.534,58.918,-35.444,-24.099,1.516,-22.773,-8.668,-0.579,-26.959
1.80503,23.25,-123.525,58.048,7.829,68.103,-41.836,-22.845,-6.54,-22.579,0.362,-13.335,-30.836
1.90889,23.131,-140.118,54.098,-3.824,83.506,-35.283,-25.249,-2.203,-21.368,0.525,-0.159,-35.226
2.03832,23.433,-115.136,49.457,0.587,45.126,-35.281,-15.735,-9.873,-28.882,-14.505,1.803,-25.981
2.17129,23.955,-129.529,52.537,-7.301,57.921,-42.153,-29.711,3.703,-22.598,-7.94,-13.707,-30.767
2.31601,25.385,-137.878,22.828,-42.482,39.418,-12.642,-16.921,-7.84,-34.194,-20.234,-18.57,-17.141
2.4795,27.103,-151.376,-13.424,-31.369,43.122,-38.165,-26.19,-3.994,-44.705,-11.318,-1.628,-21.07
2.62245,27.774,-163.123,-39.361,-21.699,35.546,-43.861,-24.641,0.147,-43.716,-22.742,3.659,-19.624
3.40635,26.966,-181.217,-24.85,-33.526,43.127,-49.607,-29.543,10.208,-38.414,-15.557,-1.277,-15.397
3.51256,27.278,-180.928,-29.429,-33.09,32.135,-33.988,-28.651,1.616,-40.783,-6.601,12.033,-17.907
3.79129,27.74,-173.438,-12.076,-31.863,52.21,-11.015,-32.851,3.662,-36.07,-14.414,2.144,-14.62
3.94014,27.664,-192.466,-26.817,-29.354,30.794,-44.887,-26.659,4.544,-32.9,-20.865,2.172,-8.355
4.42807,26.026,-183.04,-5.509,-44.883,37.547,-33.677,-22.372,-6.306,-40.636,-14.272,-6.649,-6.551
4.66807,27.71,-202.675,-44.57,-21.007,33.05,-39.888,-23.916,9.662,-35.777,-2.274,4.983,-2.495
4.77029,27.766,-184.852,-4.707,-36.396,19.688,-34.878,-33.493,-2.968,-25.924,-28.855,9.429,-11.496
5.30585,28.201,-181.183,-11.431,-27.474,16.829,-57.446,-30.818,-4.587,-32.467,-14.031,10.296,-4.919
5.92735,28.658,-172.63,6.013,-15.117,20.759,-17.967,-26.985,-2.755,-21.854,-33.771,8.241,-7.63
6.23959,29.175,-157.502,8.484,-16.514,8.174,-12.799,-29.978,-4.581,-25.144,-20.986,12.475,-11.227
6.57592,28.773,-151.268,27.871,-7.87,15.635,-37.429,-30.697,-13.93,-30.461,-6.463,4.267,-7.0
6.73424,28.817,-152.11,32.257,-10.52,21.781,-52.559,-33.697,-13.662,-32.876,-2.405,0.964,-2.715
6.97796,28.757,-169.557,8.047,-18.914,8.418,-40.753,-29.59,-3.946,-29.797,-6.733,4.677,-5.12
7.23324,28.041,-181.008,19.556,-26.789,30.875,-31.958,-20.333,6.823,-22.38,-8.05,13.728,-8.414
7.518,28.45,-168.812,21.419,-25.401,22.61,-30.795,-21.644,2.387,-22.974,-2.718,13.216,-3.373
7.81973,28.062,-165.103,29.381,-22.43,23.59,-35.527,-19.744,-0.742,-26.873,-8.037,-5.035,0.056
8.01732,28.546,-173.841,21.817,-22.815,22.315,-43.059,-16.469,-5.992,-29.826,-4.968,3.399,4.042
8.35986,28.396,-180.105,17.46,-29.59,30.654,-19.528,-16.214,0.394,-17.919,-16.563,-4.294,-8.284
8.50376,30.409,-172.778,27.43,-6.313,25.388,-37.653,-16.974,4.846,-11.692,2.36,1.231,-19.276
