start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.489,141.394,-45.083,-48.397,19.776,-51.712,35.131,7.641,-23.857,7.57,-13.314,-6.255
0.09075,2.942,114.704,-40.641,-50.962,32.537,-47.204,40.995,6.969,-25.892,8.578,-8.581,8.412
0.21905,8.131,114.286,12.52,4.846,10.027,-22.887,41.833,-8.08,-27.797,-1.317,0.256,18.666
0.52821,13.188,103.254,71.17,39.064,8.707,-24.879,53.446,-5.489,-41.077,1.619,-4.364,30.952
0.73188,12.093,36.09,-13.21,-13.717,5.814,-55.029,57.073,11.38,-10.527,0.647,-2.809,12.916
0.83546,18.906,113.831,48.454,37.587,-3.302,-34.032,60.211,1.553,-27.095,12.232,-1.221,28.827
1.12018,21.283,113.584,93.731,58.25,18.792,12.776,44.606,-15.45,-26.047,-9.238,-10.354,27.112
1.44558,24.752,111.509,60.277,81.004,2.364,-5.224,58.295,-34.453,-22.125,-11.013,-0.393,22.065
1.68916,22.716,117.229,81.873,23.857,17.189,-22.578,24.468,-30.875,4.423,7.386,14.405,19.58
1.81129,26.033,100.31,135.792,20.183,-21.06,-5.436,14.218,-0.284,-35.203,-9.741,4.107,-21.093
2.15347,30.95,122.797,129.446,-12.934,34.811,-17.654,33.467,31.742,-54.422,-18.585,6.198,10.652
2.27551,35.042,107.54,96.138,29.271,28.372,-28.251,28.729,15.128,-55.395,-15.932,3.047,36.205
2.62925,31.691,88.145,62.521,52.587,50.103,-36.169,12.778,-18.237,-52.613,-22.579,-26.226,22.069
2.85587,41.137,50.841,20.763,-61.633,53.023,14.933,-9.84,-71.012,-16.763,57.568,-4.551,24.521
3.1181,44.115,-13.082,-58.159,4.139,18.34,-27.75,-55.448,-15.1,-5.976,2.052,-8.953,29.922
3.36871,39.285,-16.862,-39.471,-50.621,21.821,-55.463,-51.394,-10.864,-19.222,10.644,11.742,19.643
3.44132,41.634,25.736,-26.711,2.849,12.202,-35.065,-46.008,-19.792,-25.599,-9.182,11.627,35.101
3.6117,40.379,52.785,-33.665,-25.56,9.077,-39.252,-51.857,-12.114,7.024,6.836,3.326,15.737
