start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,32.905,-51.068,58.487,-21.903,53.849,-27.791,-40.22,-1.578,-17.493,-9.701,15.257,-2.72
0.19628,36.471,-113.926,83.579,-39.588,72.369,-12.098,-27.451,-18.009,-16.365,14.442,-13.26,3.061
0.32599,38.784,-92.177,82.787,-6.936,55.971,-30.324,-36.882,11.938,-11.005,-5.55,5.424,-15.604
0.77741,36.997,-65.037,80.594,14.882,44.951,-30.455,-24.911,7.217,-13.954,-6.411,5.759,-9.268
1.49773,36.317,-49.419,76.16,-5.662,42.22,-30.312,-9.216,-2.48,-12.77,4.736,-1.858,-3.378
1.64807,37.597,-49.878,88.836,-20.835,26.41,-21.132,-5.914,-1.647,-11.937,-6.219,4.95,1.412
1.74712,40.405,-77.381,103.452,0.017,35.704,-14.999,2.204,-0.823,-17.682,-1.197,-2.505,-7.123
1.89868,46.979,-79.549,116.799,99.119,58.944,1.058,39.066,-2.858,-8.325,-4.634,16.965,-0.866
3.11066,40.525,-94.567,87.148,34.018,40.893,-33.558,12.645,5.621,-9.941,1.314,-6.037,2.291
3.61061,43.717,-138.615,126.518,43.445,74.377,-44.107,21.739,10.212,-5.36,5.796,11.547,-3.872
3.90644,43.513,-83.89,122.657,39.256,53.842,-32.571,6.986,-8.816,-15.775,-7.086,-3.775,8.445
4.27764,40.441,-122.555,100.084,-1.476,66.781,-26.779,6.645,2.085,-17.21,-1.459,3.345,25.065
4.70259,39.38,-125.989,94.24,-12.821,57.444,-22.937,-10.066,0.324,-19.296,-17.632,9.67,15.279
4.91678,46.019,-72.623,130.781,45.105,65.194,29.828,-3.85,16.232,-23.453,-18.102,19.603,-10.638
5.43914,42.646,-80.147,129.671,18.485,60.107,-13.23,-5.162,7.17,-16.145,-20.274,-7.542,3.722
6.33905,38.713,-99.402,91.136,44.451,35.859,-31.752,-19.433,-11.276,-33.47,-17.193,-3.692,2.338
6.49088,38.261,-90.699,106.775,-13.276,32.743,-17.587,-13.811,3.932,-32.591,-24.303,8.715,-3.071
6.70431,39.654,-87.939,107.152,17.542,39.697,-30.61,-23.998,-6.539,-30.038,-15.045,1.72,-18.528
6.93197,43.217,-77.361,120.182,56.045,62.071,-16.355,-32.427,9.411,-25.283,-18.55,-1.714,-13.253
7.27279,40.603,-143.484,87.19,20.147,57.949,-50.75,-29.277,-4.542,-12.638,-1.4,-0.523,-2.629
7.51751,39.929,-115.033,85.4,19.326,47.832,-20.948,-27.712,19.576,-14.563,-27.037,0.019,4.05
8.40526,38.816,-81.954,80.453,-23.639,54.101,7.439,-24.578,14.768,5.276,-28.325,-23.458,-11.477
8.63723,38.089,-82.37,64.838,-4.949,40.517,-10.85,-23.733,-28.459,-13.537,-10.13,-11.134,-6.723
10.02544,41.858,-80.2,98.388,-131.049,24.103,-3.58,5.806,20.657,-0.776,10.259,12.967,-1.348
10.39592,48.005,-38.048,21.497,-21.602,-30.381,-14.546,-4.834,-21.213,-7.106,-0.412,4.148,-17.292
10.81492,47.619,-54.353,71.748,-17.373,-9.785,-27.445,39.368,11.345,-8.573,-5.204,2.735,18.492
11.34254,49.08,-52.031,70.313,-6.741,-1.216,-25.989,24.08,-0.751,-5.8,-6.317,0.415,8.724
11.55705,48.787,-76.798,72.75,11.096,17.858,-28.216,31.82,1.908,6.932,-6.694,-7.935,-5.891
12.03347,47.884,-49.419,74.075,-6.714,-6.944,-19.044,44.435,17.875,-0.214,-14.636,-7.357,13.676
12.39247,48.754,-4.063,35.758,13.244,-41.58,-34.784,7.471,-22.391,-15.777,4.507,-12.868,-0.357
12.78662,46.666,-59.147,60.875,-20.089,-11.446,-17.774,40.036,-12.654,-8.199,-0.45,0.888,13.994
13.08444,48.403,-86.119,61.44,9.77,7.955,-40.701,21.358,15.826,4.064,-7.386,1.429,2.415
13.29927,49.242,-38.299,65.305,-0.503,-4.268,-10.723,24.1,4.741,2.688,-12.782,-15.692,-0.606
13.85601,45.685,-107.658,70.847,-0.952,1.308,-44.892,52.281,17.264,-8.365,-3.232,9.953,22.802
13.96268,47.003,-80.287,80.783,-8.587,5.584,-36.969,49.154,9.602,0.547,1.539,-0.758,7.999
14.06485,48.317,-53.95,77.953,-7.329,0.118,-29.971,39.83,21.185,6.952,-8.254,-10.915,1.208
14.75093,46.539,-98.927,56.803,-8.838,3.673,-18.078,29.07,8.003,-0.475,-10.051,-22.294,5.078
15.4068,44.868,-121.478,22.364,-31.445,4.317,-32.829,13.021,13.872,1.704,-7.451,2.145,-4.245
15.57841,45.613,-107.39,20.835,-22.962,-18.719,-31.981,5.981,-3.171,-14.186,-3.708,-6.342,-4.505
15.75533,45.439,-100.263,0.764,-38.262,-14.376,-23.083,-11.924,2.219,-7.272,-17.871,-2.938,-5.607
16.01247,46.876,-94.846,10.976,-39.773,-10.452,-13.067,12.254,-6.784,-6.527,-9.454,1.348,1.268
16.26073,47.774,-113.494,16.1,-13.913,4.55,-22.007,6.583,2.998,2.604,-15.697,-12.85,-1.179
16.52209,46.31,-78.331,2.439,-20.399,-11.972,-37.241,1.714,34.481,10.858,-5.169,12.835,-8.764
17.05524,46.364,14.343,10.276,-32.11,-54.821,-29.186,-7.292,-0.85,-1.328,3.608,-8.716,-30.222
17.50594,46.508,10.332,2.701,-33.655,-65.916,-27.73,-31.809,4.463,-10.822,-3.141,-0.803,-38.692
17.69596,47.765,-13.904,25.804,-38.223,-44.052,-26.202,-3.67,-15.806,-6.311,8.076,-9.294,-23.131
18.20902,50.993,-63.808,81.747,28.631,3.726,-37.762,44.265,25.901,-0.883,-1.069,-8.085,0.443
19.28041,44.261,-114.682,27.81,-0.313,-8.413,-35.011,32.696,-6.505,1.33,-1.045,-8.908,0.191
19.85864,44.6,-136.787,42.459,-44.174,7.691,-25.439,30.057,1.682,-0.287,7.165,-6.944,-7.894
20.34063,45.231,-102.485,31.948,3.109,-3.84,-36.98,27.008,5.079,-1.92,-2.62,-8.337,-2.6
21.23941,48.882,-100.502,55.587,40.412,-0.825,-42.905,16.315,13.445,-19.011,-4.961,-14.024,-11.932
21.71043,45.364,-97.415,34.192,-23.559,-5.138,-20.107,28.911,15.708,-4.85,-8.027,-5.104,15.721
22.73574,44.336,-82.983,-8.612,-21.602,-21.462,-29.537,-6.982,-8.539,-1.805,-4.876,-7.314,-0.159
22.9566,43.644,-117.386,6.179,-34.331,-8.426,-32.435,-3.66,1.031,-3.607,-5.622,-4.019,-0.063
