start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
1.07211,32.62,46.682,75.261,-342.57,45.716,210.404,73.001,-48.848,-25.732,45.287,-35.144,10.09
1.28871,50.715,2.478,35.127,-23.721,33.234,-9.813,-8.239,-12.072,-5.504,-13.97,4.032,10.51
1.65433,50.078,28.973,16.544,55.451,73.962,26.435,-14.956,29.457,-13.551,27.983,-33.254,13.773
2.19365,40.676,-9.823,-27.612,66.19,81.126,0.432,-37.838,34.21,-12.729,9.046,-48.019,7.83
2.68748,40.34,71.986,-43.901,-57.357,79.584,102.216,-3.73,48.388,17.284,-27.627,34.356,3.361
2.89107,44.128,26.03,-76.019,-49.919,71.292,-4.382,-5.777,-20.822,-1.254,27.828,-19.2,4.857
3.20934,47.027,49.302,49.617,-132.312,81.123,-7.505,16.164,-47.701,5.698,12.959,8.531,2.886
3.45388,53.732,92.455,112.186,52.978,50.708,-28.051,-29.47,-10.346,-3.221,-17.2,-2.792,17.715
3.7668,52.219,72.212,41.858,79.426,52.114,48.0,-6.556,31.199,-2.011,-18.707,-50.794,7.979
4.28354,43.986,5.69,-30.953,112.722,56.934,-13.721,-31.309,17.594,3.556,-22.083,-34.768,0.811
4.79442,35.816,132.504,-38.077,-55.074,71.218,2.16,-9.735,13.628,26.08,-36.394,39.74,-1.313
4.93415,49.235,128.8,75.18,-106.738,31.826,76.251,21.49,33.314,3.728,15.984,-14.941,-3.913
5.09107,55.14,166.734,121.809,14.24,41.665,-24.739,-5.825,16.623,-2.666,6.815,3.199,2.091
5.27669,55.311,162.409,144.231,12.893,52.213,-16.75,-4.884,-28.6,-20.8,18.208,-5.626,2.535
5.4454,56.331,124.177,120.37,41.193,38.004,-29.064,11.82,4.963,-13.083,7.044,-9.047,14.421
6.01365,50.215,87.844,107.87,-81.316,32.962,4.338,25.716,29.578,-0.236,-5.552,4.149,-22.882
6.24063,53.318,99.394,94.892,29.462,42.121,-27.446,-34.914,-1.144,3.268,11.039,6.121,9.682
6.43211,52.903,49.121,99.496,27.262,57.952,-30.688,-41.526,-10.214,-9.963,14.091,4.718,13.81
6.62281,52.656,73.752,120.805,18.838,66.638,-34.047,-24.825,21.119,1.478,-1.804,3.786,0.258
6.80372,52.214,85.953,123.013,-3.435,74.425,-24.664,-27.298,-19.893,4.371,20.386,-6.766,-9.163
7.09918,52.908,42.692,41.331,36.001,43.995,-29.35,-23.969,19.853,12.226,-0.329,-29.702,3.004
7.48875,45.717,20.028,73.61,34.585,37.764,-27.689,10.604,6.261,-17.634,8.06,8.011,3.751
7.63927,48.502,-0.947,36.575,21.374,53.111,-15.497,-10.344,-31.765,-22.471,13.562,-1.883,27.695
7.97596,50.887,45.129,74.174,31.482,46.657,41.856,24.256,10.623,-0.722,-9.826,2.392,-14.986
8.2839,44.031,10.321,-16.012,-16.785,77.46,-46.483,-16.943,-1.484,-20.251,14.059,-16.148,5.787
8.53302,44.787,18.878,-44.656,34.075,40.947,-38.381,-34.756,0.386,-4.44,-18.069,2.239,-3.11
8.67161,39.645,-31.996,-71.957,61.281,50.788,-14.115,-2.782,-34.996,-2.567,-7.414,-43.289,0.103
9.00975,41.106,-30.321,-6.647,-72.19,63.302,-1.286,-12.246,89.99,22.078,-29.94,-7.985,-12.183
9.21329,44.52,57.891,-84.326,-38.07,73.837,-41.255,-24.678,4.302,9.151,20.921,-11.171,11.693
9.39755,42.937,17.802,-24.103,-31.855,84.79,-46.11,-13.34,-3.819,-3.697,7.667,-6.16,-5.319
9.57755,52.51,13.143,75.401,-28.356,53.341,2.806,4.72,14.701,-3.556,27.11,31.321,-2.105
9.75274,54.786,67.578,87.993,33.477,43.088,-11.998,-15.217,15.621,12.475,-24.777,-10.351,9.138
10.08331,53.683,92.757,74.554,23.331,48.959,42.476,-17.702,-0.742,-5.363,4.375,4.061,-1.323
10.42,44.749,24.988,21.876,11.13,56.669,-30.159,-43.139,10.097,-46.272,-11.931,-4.61,-5.621
10.77383,42.583,-5.534,-20.976,70.204,76.165,-2.937,-49.931,-47.046,-31.218,-0.469,-18.663,-10.267
11.13379,45.011,67.706,-34.804,-35.312,75.047,-0.538,-39.898,11.699,8.543,-28.332,29.078,-2.841
11.34404,45.294,45.376,-56.615,0.648,68.477,-28.536,-44.805,17.665,-20.088,20.221,-17.59,-2.286
11.662,47.88,38.561,36.334,-116.358,32.05,50.793,12.504,-19.311,-31.213,28.359,2.972,3.243
11.88871,52.602,47.414,96.242,57.614,65.785,3.854,-31.997,-0.829,8.366,-7.738,-30.611,5.88
12.18463,47.661,77.907,12.909,-45.877,53.608,-3.194,-11.028,-17.686,-8.448,0.152,-50.667,8.225
12.68975,52.905,68.907,95.594,-9.148,50.755,59.184,9.631,1.87,-7.695,0.317,36.978,6.982
12.87551,53.165,52.098,68.884,47.993,28.167,-21.958,-10.906,5.459,-7.211,-1.762,-19.955,18.327
13.51406,50.673,20.635,88.605,38.752,64.289,-13.995,2.485,-17.626,-23.226,-3.757,0.075,13.205
13.95057,50.707,21.625,40.512,36.706,26.329,-22.446,21.908,-0.828,-19.406,4.834,-10.501,3.416
