start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,3.372,97.392,-51.288,-59.165,44.543,-49.689,0.648,-2.01,-25.87,1.74,-8.066,0.754
0.11764,6.776,30.07,-103.868,-69.822,29.295,-49.063,11.3,11.13,-20.158,9.832,-7.475,5.272
0.60444,5.496,51.145,-116.891,-72.728,14.762,-49.971,-4.177,12.406,-21.248,6.465,-11.004,-8.005
1.10721,6.243,34.719,-126.407,-75.266,17.98,-48.235,-9.781,14.334,-18.363,9.819,-4.3,-12.045
1.57605,5.313,54.915,-119.175,-71.263,11.188,-48.16,-6.335,16.312,-24.776,5.641,-9.283,-6.158
2.05823,5.612,48.441,-120.378,-70.428,15.003,-49.072,-8.288,17.136,-21.114,5.639,-5.643,-9.592
3.00644,5.223,56.811,-112.106,-71.848,16.016,-48.451,-4.78,11.409,-23.192,7.88,-6.931,-8.203
3.48404,5.592,48.555,-123.709,-69.93,12.98,-45.912,-10.87,21.057,-24.051,7.392,-8.305,-7.741
3.979,6.089,37.537,-122.851,-77.952,18.893,-46.767,-10.553,9.922,-20.612,9.875,-7.907,-10.348
4.43519,5.287,54.907,-115.173,-71.441,15.222,-48.674,-10.024,13.208,-25.032,4.892,-5.32,-7.196
4.89537,5.6,48.771,-109.994,-74.965,22.45,-46.705,-5.111,7.164,-21.518,9.937,-8.354,-7.008
5.38934,5.536,49.398,-117.489,-70.109,16.741,-53.833,-14.544,14.957,-22.183,-1.867,-4.193,-8.64
5.82399,5.181,57.215,-101.571,-71.067,25.456,-48.57,-7.277,6.801,-22.189,6.751,-11.577,-6.072
6.34086,5.485,50.701,-119.25,-71.859,13.646,-52.513,-11.551,14.64,-22.985,-0.292,-8.564,-8.075
6.81188,5.446,51.666,-115.552,-68.335,18.424,-47.043,-10.646,17.793,-23.014,8.133,-5.958,-8.761
7.29447,5.274,55.599,-117.672,-65.62,14.397,-47.982,-10.992,22.479,-24.574,5.078,-2.774,-7.41
7.77229,5.455,51.444,-110.834,-75.493,18.802,-51.531,-6.022,5.232,-21.6,3.341,-11.156,-4.744
8.23066,5.148,58.39,-116.577,-68.619,11.731,-49.669,-7.894,17.755,-25.095,3.113,-6.582,-5.793
8.55451,4.225,79.04,-99.073,-76.245,9.424,-48.666,7.448,-0.247,-30.135,5.684,-9.214,0.681
8.70698,5.088,59.815,-107.14,-71.262,18.306,-48.516,-3.628,9.815,-23.499,7.13,-11.372,-6.407
9.18844,5.256,56.223,-111.281,-71.611,17.252,-46.33,-5.649,12.574,-25.114,8.648,-4.494,-4.356
9.60925,6.068,41.576,-81.829,-77.834,45.304,-45.348,4.726,-8.309,-18.92,13.742,-14.087,3.096
11.1234,6.607,29.959,-101.308,-72.92,38.097,-56.729,3.161,4.981,-5.721,5.05,-7.456,-12.251
11.62159,7.001,21.504,-102.847,-70.118,42.858,-54.089,2.441,6.895,-4.594,11.159,-8.712,-9.486
13.08848,8.029,3.085,-114.877,-70.059,36.748,-56.876,9.661,13.607,-6.71,5.258,-11.234,3.689
13.47374,7.053,18.39,-95.688,-72.973,53.183,-49.42,-12.658,1.855,-11.744,9.098,-9.605,-2.192
15.5395,6.195,36.955,-114.103,-67.987,27.085,-48.453,-5.854,16.19,-16.568,10.177,-8.956,-6.597
16.02925,5.647,47.504,-124.821,-68.178,12.216,-51.414,-12.124,22.097,-21.855,1.944,-5.914,-9.449
16.40236,5.083,59.227,-115.788,-81.497,7.394,-50.812,-4.442,0.286,-29.22,1.824,-7.262,-1.599
16.49188,6.077,38.432,-125.548,-66.156,17.376,-56.373,-14.589,23.121,-16.025,-2.175,-4.198,-12.286
16.99569,5.499,50.069,-119.602,-73.421,14.119,-48.581,-12.166,13.781,-24.929,3.43,-9.96,-6.333
17.36898,4.797,66.322,-106.927,-76.337,11.616,-51.298,0.701,2.98,-25.66,2.688,-8.143,-5.608
17.4619,6.483,29.739,-106.281,-83.152,36.11,-45.065,-5.315,-3.92,-15.324,15.338,-11.862,-9.582
18.96009,6.529,28.095,-126.079,-70.852,23.354,-56.042,-18.762,17.155,-14.443,-0.662,-2.177,-13.793
19.37265,6.492,29.028,-105.782,-77.415,38.832,-51.131,-11.347,0.004,-11.877,9.658,-9.522,-14.771
19.45787,7.956,-0.87,-120.592,-84.428,40.257,-51.428,-15.377,1.284,-10.794,7.483,-10.483,-10.717
21.39156,7.332,11.494,-127.122,-71.12,31.913,-56.859,-19.793,16.97,-9.531,0.006,-4.172,-12.45
21.8346,5.89,41.15,-115.882,-78.181,23.092,-47.419,-14.3,5.472,-22.367,7.919,-11.697,-10.237
