start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.17497,21.871,-183.432,-63.028,-24.453,70.673,42.307,47.255,34.12,-36.722,91.646,23.208,-11.394
0.62082,20.698,-208.228,-105.845,-80.696,72.295,-52.787,20.919,1.861,-22.749,-4.553,-3.842,-2.196
0.7785,22.125,-208.896,-85.666,-38.226,60.48,-59.527,22.419,27.071,-25.196,-13.659,-9.116,1.772
1.22857,20.232,-203.954,-94.91,-66.238,93.439,-47.181,3.214,11.884,-24.874,1.666,-1.159,-0.924
1.76349,23.385,-218.948,-42.195,7.115,105.209,-45.081,-18.541,43.085,-19.62,-7.614,-11.78,-15.0
2.22263,19.54,-187.624,-54.386,-65.91,117.634,-40.889,-4.219,4.426,-26.029,2.224,-1.47,-5.744
2.87342,16.349,-141.951,-50.024,-50.437,131.105,-57.885,-14.127,6.514,-14.524,-3.74,-2.848,-3.679
3.17478,16.396,-148.257,-61.95,-59.399,131.261,-49.174,-27.032,5.556,-21.241,0.789,-1.409,8.135
3.98798,13.758,-105.839,-48.745,-72.545,137.471,-48.834,-27.489,-12.019,-12.686,3.822,5.596,7.798
4.12785,17.636,-158.777,-56.829,-85.222,112.375,-32.372,5.516,-12.669,-23.954,18.215,-30.007,6.199
4.68059,19.354,-193.181,-109.906,-71.83,84.72,-43.874,3.392,17.962,-25.571,6.567,-1.759,7.64
5.21197,22.204,-228.229,-74.354,-42.8,104.169,-61.537,-26.075,17.045,-29.666,-19.29,0.778,2.548
5.50884,20.406,-208.782,-70.526,-76.292,113.797,-52.006,-17.817,-6.544,-31.482,-7.382,9.102,5.904
5.67043,26.734,-239.14,2.989,19.429,112.41,-33.232,-30.482,30.005,-18.588,-9.792,-1.592,-12.396
6.12912,23.816,-215.15,9.468,-40.231,122.531,-34.017,-20.668,6.654,-26.196,-6.176,-1.589,-13.079
6.69896,23.008,-216.602,-44.126,-42.388,91.335,-54.213,-26.338,8.328,-29.298,-20.425,0.433,-1.811
7.19937,30.161,-163.476,40.799,65.467,58.161,-20.564,0.683,-1.186,-12.675,-18.028,-5.977,12.284
7.70308,23.725,-208.377,-3.409,-18.66,112.054,-56.842,-37.252,1.233,-25.255,-13.642,8.689,-2.33
7.86658,23.764,-184.652,54.769,-6.42,112.357,-46.132,-10.388,11.184,-35.382,-18.336,4.272,3.282
8.19079,27.287,-229.67,-53.546,10.548,40.262,-25.376,32.35,29.199,-17.564,8.385,-9.154,4.914
8.42345,24.172,-233.781,-78.663,-42.9,57.816,-65.518,16.453,8.941,-25.518,-14.246,-1.925,-0.36
8.59692,26.568,-239.508,-36.332,-51.209,57.951,-31.984,2.481,17.431,-24.945,-7.58,3.419,-9.891
8.95773,25.1,-217.499,-20.126,-27.151,68.403,-41.336,21.149,17.323,-21.692,-5.921,-13.681,-8.414
9.22372,25.324,-222.047,-25.252,-19.058,74.574,-44.914,-19.55,20.099,-25.979,-15.794,0.769,-2.147
9.63492,24.903,-209.547,13.695,0.005,103.595,-26.745,-3.809,23.834,-19.53,-5.616,1.139,-18.195
10.2873,22.501,-206.611,-58.721,-28.827,79.309,-56.757,-5.104,17.528,-20.214,-7.258,-3.839,-18.933
10.46041,20.4,-190.553,-56.253,-32.268,102.24,-55.238,1.608,25.172,-21.937,-14.183,-5.487,-10.591
11.56839,16.507,-146.348,-50.96,-45.016,135.083,-61.644,-29.051,10.134,-17.304,-11.127,5.683,2.382
11.66721,16.846,-146.537,-45.676,-42.947,128.584,-59.35,-13.624,10.797,-19.841,-8.892,8.69,2.368
12.18422,26.88,-207.534,-33.936,13.937,43.596,2.998,51.425,38.189,-11.455,23.692,-7.919,-2.606
12.59696,23.13,-200.391,-35.535,-73.759,59.934,-35.292,44.727,3.454,-27.577,3.235,-1.433,-3.757
13.1683,30.344,-206.289,6.861,12.509,51.144,-11.534,0.759,24.303,-0.709,5.82,28.233,4.879
13.62984,31.806,-204.101,43.357,27.671,59.506,-33.402,11.574,12.821,8.198,-9.855,-6.448,-20.651
13.9088,28.647,-187.973,61.498,0.144,66.165,-32.903,-0.402,13.431,-7.105,-4.022,-5.587,-17.177
14.12435,28.711,-178.702,44.195,24.039,65.409,-20.449,-20.886,-1.358,-9.857,-17.914,-5.006,-21.039
14.66925,25.202,-209.807,18.729,-18.089,104.681,-49.782,-38.906,6.665,-19.389,-12.83,8.364,-8.197
14.83746,24.982,-205.852,45.112,-25.795,117.318,-44.976,-20.584,-2.228,-21.845,-6.468,8.238,-13.387
15.1624,29.465,-126.652,103.548,79.788,84.419,-33.3,-8.279,1.196,-5.413,-13.595,-11.238,-9.077
