start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,29.32,-113.528,-92.405,-6.698,-36.786,-18.382,0.476,-22.214,-17.68,21.784,-19.833,-0.172
0.56721,23.064,-144.618,-83.272,-48.945,-3.363,-54.622,14.845,13.828,-1.266,-4.035,-5.33,7.504
0.76177,23.315,-137.222,-88.917,-51.308,10.078,-37.663,-0.224,-5.586,17.544,6.302,-8.226,-3.602
1.00472,22.372,-140.83,-81.642,-68.887,0.524,-46.545,10.649,-1.376,8.984,3.758,-6.435,-10.554
1.19855,24.005,-171.277,-87.488,-78.391,20.948,-47.688,-11.112,-6.824,17.156,2.904,-3.173,-8.946
1.31964,26.118,-155.8,-85.664,-20.432,25.705,-16.054,-3.269,18.429,-9.129,-13.848,0.965,-12.676
2.67302,32.947,-56.451,-113.903,36.254,16.039,-26.363,-0.9,-50.869,1.709,10.242,-38.661,8.316
3.30866,27.049,-161.224,-62.535,-64.752,9.097,-3.628,-1.928,13.789,-12.844,-8.654,-12.533,2.869
4.01197,27.193,-130.31,-87.783,-26.933,8.094,-59.212,-29.358,22.19,8.733,12.194,9.385,6.641
4.66395,27.373,-84.502,-89.189,-23.84,20.145,-20.027,-32.436,-24.778,-15.584,4.572,11.069,-6.71
5.3244,26.897,-127.457,-102.88,-33.915,5.778,-19.634,-8.962,-4.501,4.727,18.764,12.665,-1.585
6.63365,26.495,-126.029,-75.793,-60.718,-1.16,-26.99,-18.274,15.359,7.775,9.693,-5.65,-1.749
7.18689,25.918,-91.606,-67.643,-51.68,10.313,-41.986,-29.588,-9.602,10.284,-2.167,1.467,5.508
7.29805,27.957,-93.109,-64.505,-30.977,1.139,6.751,-19.495,3.945,16.635,-22.648,-25.733,6.04
8.00349,30.281,-122.596,-108.366,31.904,-27.417,-67.624,-29.705,-10.517,-5.115,33.018,-22.383,10.222
9.30435,25.476,-123.322,-68.93,-46.29,9.515,-16.149,-2.916,1.639,-10.276,-17.152,-12.243,-10.649
10.60449,25.146,-112.139,-58.163,-66.868,-3.825,-29.701,-0.015,-7.969,0.416,7.586,-19.711,1.927
12.00576,28.162,-140.667,-87.781,-35.911,1.751,-32.572,-24.511,15.762,4.993,19.201,10.786,-1.305
12.37565,26.09,-85.458,-41.794,-43.907,-3.051,-43.021,1.613,-2.939,6.548,2.581,-6.159,4.408
