start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,36.779,-6.945,-112.574,-46.056,3.067,-50.303,-27.991,5.158,-11.36,9.731,1.675,-19.248
0.362,35.773,0.424,-83.919,-63.663,4.981,-43.733,-14.067,10.163,-2.291,10.256,-5.861,-1.407
0.72005,35.815,7.961,-75.577,-48.157,-6.975,-55.809,-28.938,11.078,-12.692,-9.311,-3.342,-7.54
1.0459,35.801,0.86,-58.008,-52.511,-0.512,-46.912,-12.2,4.509,5.003,-0.169,-6.265,-3.18
1.38054,36.88,5.777,-71.11,-38.577,-10.588,-41.14,-31.483,-6.107,-19.147,18.99,-8.504,-2.08
1.70544,34.787,-9.258,-39.702,-36.482,-17.777,-28.907,-25.629,0.647,-2.973,7.86,-2.223,5.442
2.05506,35.45,-67.353,-47.671,-37.524,-20.008,-24.586,-37.309,6.71,-6.765,24.358,-2.062,-0.439
2.37932,34.161,-46.546,-7.545,-36.598,-7.2,-30.627,-40.554,-6.775,-10.419,8.256,-9.666,10.185
2.73333,33.912,-11.034,-45.859,-12.887,14.21,-19.695,-8.655,-16.087,-15.696,-29.87,16.465,3.827
3.09488,33.727,-53.344,-39.541,-39.484,5.239,-29.284,-18.044,-2.852,-12.859,5.601,-0.442,6.183
3.40803,31.87,-61.794,-28.159,-53.186,20.694,-26.926,-21.082,-5.269,-6.098,-9.844,-7.572,-2.061
3.78485,32.641,-78.816,-54.167,-26.504,22.111,-29.5,-28.486,-1.205,7.481,0.493,3.358,4.246
4.12726,33.295,-25.68,-55.619,15.275,29.325,-26.712,-43.014,-33.072,-7.802,5.998,18.096,-17.098
4.48776,32.816,-62.698,-59.483,-48.287,-3.541,-47.315,-42.548,-10.952,25.537,0.591,4.785,12.685
4.65556,32.438,-114.637,-20.709,-10.534,29.415,-41.118,-48.714,1.67,18.94,3.101,-9.756,-9.883
4.82277,31.083,-112.14,-61.47,-32.699,-8.324,-28.174,-40.44,-0.623,-0.157,-1.338,-8.563,-5.868
5.17252,35.129,-105.058,-2.798,47.922,37.661,-51.973,-37.249,9.619,19.803,11.865,-9.859,1.702
5.51478,33.048,-40.039,-82.738,-0.867,18.686,-58.587,-18.809,-31.207,-18.911,23.74,-15.434,11.069
5.68558,35.73,-112.962,32.349,49.983,54.329,-23.444,-0.002,-21.44,20.706,26.507,-2.676,-20.877
5.84621,33.759,-73.186,-31.077,-12.186,19.321,-20.237,-3.878,-33.507,36.133,-16.699,-6.116,-6.503
6.20993,31.585,-134.22,-53.103,-32.76,-16.945,-31.708,-29.045,-4.936,8.875,-3.776,1.555,-3.576
6.54327,33.216,-76.475,-51.526,-17.398,25.95,-21.559,-32.532,-44.291,23.487,12.131,-8.649,15.005
6.86939,31.981,-68.989,-75.036,-13.942,20.504,13.672,-5.086,-36.918,16.898,-42.952,3.58,-21.85
7.22707,31.56,-101.115,-60.651,-25.712,13.882,-32.507,-13.993,-13.79,20.778,20.881,-6.615,26.471
7.58336,29.603,-126.737,-35.845,-23.307,-2.568,-36.162,-21.215,-22.567,-4.241,6.968,-8.553,7.925
7.90317,28.728,-136.713,-33.366,-57.329,8.993,-16.618,-9.6,6.824,23.465,16.599,2.616,9.842
8.26086,33.73,-23.839,-92.492,-20.375,20.307,-17.532,-25.563,-25.501,-1.336,8.394,14.152,-5.21
8.58154,30.797,-47.876,-61.966,-47.136,35.439,-36.06,-9.721,13.693,17.812,2.393,-6.898,6.427
8.94463,32.477,-59.375,-57.23,-39.538,11.741,-7.139,-31.097,4.696,12.423,16.513,2.091,-8.66
9.26558,30.948,-86.989,-29.283,-53.397,43.38,-19.157,-3.029,8.096,10.452,4.853,-15.336,5.601
9.64757,33.713,-43.272,-52.425,-8.42,49.72,-48.363,-1.425,-50.382,-2.517,21.575,-8.561,8.596
9.96186,31.537,-123.117,-13.242,-53.3,23.993,-29.116,6.051,5.384,10.813,-3.169,-3.564,-2.109
10.28717,32.57,-141.131,18.594,-54.84,25.45,-36.921,4.584,9.124,32.626,6.44,-8.329,-16.662
10.61234,34.617,-129.665,4.211,-8.315,16.082,-59.952,-0.279,0.839,33.197,6.848,1.885,-23.684
10.69179,36.458,-137.104,7.935,28.6,36.194,-60.905,-21.325,-16.399,20.068,12.023,-13.924,-7.048
10.86707,34.187,-159.725,13.278,28.637,38.192,-71.605,-11.476,-16.637,25.168,11.464,-9.085,-15.893
11.01937,34.502,-51.704,-31.71,48.9,52.502,-15.963,10.563,-17.123,4.242,-14.748,6.839,-15.964
11.2107,30.271,-135.758,-6.636,-20.392,41.721,-50.687,1.559,17.073,16.283,3.631,-11.041,-23.282
11.32177,31.015,-110.975,8.582,-52.234,19.299,-33.777,-4.302,18.279,29.405,7.15,-9.633,-6.668
11.5434,33.15,-126.967,4.097,11.007,41.825,-42.38,-9.795,16.735,34.239,25.853,-12.948,-16.3
11.71379,32.283,-135.285,-45.134,-31.525,-10.536,-10.388,-16.784,-5.232,10.023,2.228,2.267,4.372
11.90059,33.272,-174.069,-6.963,45.503,31.812,-76.152,-4.539,9.713,23.042,22.161,-17.658,-19.216
12.06884,32.699,-124.994,-26.645,-4.978,33.42,-46.348,-39.276,-6.661,25.729,9.26,-1.483,-2.234
12.40481,35.004,-80.237,-43.84,53.304,58.886,-38.18,-17.718,-28.665,-4.708,26.613,2.775,-14.181
12.74871,31.605,-140.858,-37.046,-38.042,26.64,-37.799,-17.564,12.683,30.089,22.935,2.615,5.479
13.08512,30.119,-135.101,-22.934,-32.413,5.158,-37.898,-24.727,-8.377,19.783,6.203,2.423,-6.915
13.43274,31.085,-144.54,-25.09,-32.855,23.729,-34.471,-27.023,-24.31,14.82,12.237,9.337,-3.007
13.79043,36.84,-76.183,-46.874,31.011,77.068,-78.378,-6.815,6.366,9.702,31.312,-13.766,-7.611
14.12721,35.478,-95.054,-39.829,-28.609,50.126,-33.801,-10.944,12.629,29.169,24.409,-1.615,1.229
14.29946,35.067,-89.13,-10.84,20.627,57.625,-31.664,-13.842,17.123,22.489,17.377,-5.332,-16.531
14.46073,32.928,-78.545,-37.204,-49.143,44.564,-33.841,-12.903,6.991,18.582,1.949,-4.312,-9.855
14.62744,36.632,-85.745,15.904,7.772,60.573,40.269,0.987,-11.539,18.352,21.288,-23.904,-16.304
14.83206,33.944,-98.61,-10.054,14.293,58.827,-60.98,-39.148,5.403,12.125,-8.353,-9.625,-8.922
15.16308,37.894,-68.19,-3.106,81.472,56.2,-12.495,-15.757,-25.912,4.822,23.097,9.65,-17.321
15.49828,32.234,-117.089,-17.83,-22.048,32.858,-29.038,-7.485,-9.895,20.293,-3.956,1.117,3.131
15.86549,34.908,-135.409,-17.043,37.166,10.769,-66.548,-38.764,5.794,2.839,-1.52,-10.061,-9.035
16.20172,40.096,-78.821,0.97,98.31,31.499,-2.697,-26.155,-30.648,11.577,10.91,-17.542,-11.039
16.45619,30.789,-79.1,11.986,10.887,14.519,-69.891,-2.872,-13.838,16.509,11.0,-2.877,1.466
16.53365,35.347,-69.292,-28.271,22.481,55.097,10.051,-18.718,-21.29,-8.601,0.55,29.996,-10.49
16.8863,32.604,-129.805,-28.89,-23.002,12.898,-44.407,-14.975,2.975,17.294,12.52,4.099,-0.601
17.2054,31.483,-139.988,0.217,-36.449,15.163,-25.887,2.341,-0.167,9.98,2.617,0.293,6.864
17.58803,32.825,-148.69,-37.22,-15.351,16.066,-47.661,-28.318,-3.985,20.1,-7.035,-7.203,9.474
17.92567,33.699,-54.865,-47.227,-3.3,38.752,-62.083,1.687,-63.969,-13.573,18.21,0.989,-4.056
18.26304,32.579,-142.74,-22.462,-26.603,28.475,-52.604,18.853,-9.437,18.012,2.621,5.451,10.632
18.61107,32.601,-154.42,-2.609,-35.891,18.076,-37.121,16.697,10.79,5.644,-12.823,0.943,-6.739
19.24372,34.893,-129.6,56.563,-30.729,47.97,-33.077,45.955,60.017,19.052,-28.634,0.742,-16.611
19.64943,36.648,-96.93,34.195,-8.133,48.559,-41.125,40.093,12.979,-4.451,-4.195,1.252,-18.646
19.99188,36.572,-87.08,24.045,-6.562,11.276,-37.484,40.364,20.0,-22.405,-10.935,2.166,-5.251
20.28268,36.804,-95.683,68.362,-8.38,10.423,-23.953,39.383,19.932,-21.598,-4.275,-9.006,-4.479
20.50993,37.423,-105.598,82.991,22.399,15.222,-41.336,44.576,11.266,-10.637,0.38,-16.144,-11.833
20.65429,38.496,-64.407,66.887,-4.201,21.9,-18.801,57.358,-11.653,-10.669,-39.294,-4.518,-17.072
21.02005,39.478,-83.689,80.186,8.944,-9.563,-38.263,41.224,17.041,-27.616,-7.121,0.859,-2.511
21.35705,40.171,-63.019,97.506,-2.635,-6.484,-33.126,39.277,12.448,-35.023,-12.722,-11.892,-2.588
21.74068,40.334,-53.43,60.192,15.158,-29.665,-41.794,25.172,32.135,-51.886,-18.734,-8.109,15.117
22.05202,37.499,-24.761,-37.267,-21.298,-28.192,-43.086,23.508,32.218,-57.808,-9.915,7.85,14.409
22.51447,38.682,-13.909,-54.13,-38.571,12.646,-25.709,17.498,4.474,-22.501,-4.824,-6.782,7.056
22.7737,40.941,-50.027,-30.353,-55.555,48.16,-42.847,5.797,6.992,1.469,9.342,-4.613,7.529
