start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.002,171.093,9.412,-28.533,57.44,-50.076,14.868,5.32,-27.225,0.983,-10.654,-7.216
0.14522,19.176,-189.579,-136.264,-132.778,58.45,29.36,46.408,-22.39,-44.108,113.501,36.329,-6.151
0.32635,27.195,-241.305,-86.676,-71.43,6.74,-13.79,27.027,34.123,-25.917,-13.73,-1.642,-5.824
0.60612,26.268,-247.366,-67.74,-45.098,44.808,-56.031,-9.658,10.701,-31.333,-12.891,-4.84,-9.869
0.85986,30.908,-267.426,-44.819,-13.114,39.427,-29.316,-20.989,24.456,-16.456,1.363,1.978,-7.982
1.10263,31.266,-258.368,-8.942,-8.627,63.679,-65.615,-16.167,13.295,4.761,-8.891,6.17,-14.087
1.59116,32.946,-235.73,18.415,-13.672,73.385,3.936,-10.251,2.631,14.335,-0.006,-10.986,-13.745
2.07755,30.49,-250.109,15.457,-18.921,88.839,-17.423,-32.148,8.255,-8.648,-18.683,-2.999,-3.083
2.35583,30.06,-238.302,-12.736,-9.911,42.622,-27.085,-13.219,6.793,-20.209,-12.535,2.327,-3.961
2.86259,29.267,-226.771,-0.83,-14.428,51.639,-22.048,-26.363,9.09,-23.642,-31.805,16.024,0.074
3.10576,31.026,-235.519,31.725,2.475,87.681,-34.659,-36.642,-2.755,-4.887,-11.984,17.342,-8.17
3.6102,34.595,-194.298,65.928,19.216,94.059,-18.033,-46.459,-0.671,10.701,-11.138,5.972,-9.871
3.85501,32.138,-234.918,28.476,0.281,71.568,-32.023,-41.458,1.665,-12.786,-4.76,3.488,-2.414
4.09959,31.199,-247.658,18.876,-1.996,89.195,-33.221,-44.291,1.635,-13.395,-2.808,9.999,4.186
4.36059,29.002,-230.382,-4.881,-15.718,53.693,-23.815,-20.931,5.041,-22.342,-22.522,-3.796,-3.839
4.86435,30.467,-261.762,-11.124,-7.992,69.387,-29.455,-43.335,18.87,-20.243,-11.898,5.333,-2.116
5.10952,30.567,-251.715,37.655,1.772,97.897,-53.462,-40.024,3.487,-8.885,-16.332,5.307,-6.369
5.5907,32.242,-223.632,46.241,3.21,101.842,5.957,-36.973,-3.445,6.581,-18.463,0.768,-5.628
6.09968,29.698,-218.546,12.011,-16.32,76.794,-34.963,-47.945,-0.586,-5.719,-17.969,18.441,4.203
6.22395,29.612,-253.8,17.572,-22.902,90.614,-36.857,-36.298,-10.824,-23.138,-0.083,2.258,-1.31
6.39714,30.416,-236.853,-13.082,-14.769,33.403,-43.496,-20.341,5.191,-21.473,-18.499,-4.469,1.785
6.86245,28.785,-231.249,0.923,-30.345,56.623,-26.307,-29.276,6.258,-24.21,-35.046,8.466,-1.452
7.10576,30.015,-255.343,30.55,-4.761,97.552,-46.969,-27.71,2.511,-11.536,-13.309,9.493,-12.617
7.38444,29.222,-253.579,4.483,6.896,98.65,-51.792,-50.045,7.699,-16.26,-16.149,2.501,2.155
7.60472,32.554,-212.109,62.822,7.033,103.14,8.574,-32.247,-7.074,5.918,-14.552,11.225,-12.589
8.09723,30.581,-244.456,15.673,-12.662,86.029,-44.289,-45.853,-13.126,-11.009,-12.539,15.327,1.727
8.35832,30.546,-244.153,-14.968,6.343,46.407,-40.694,-25.053,15.46,-18.773,-21.675,3.869,-3.57
8.85964,30.999,-225.94,7.869,8.063,47.396,-40.949,-46.574,10.316,-24.914,-17.339,4.263,1.309
9.10413,30.518,-245.412,29.004,4.051,95.139,-36.989,-32.399,5.744,-4.718,-9.826,13.91,-10.281
9.3581,30.029,-251.751,13.941,-15.24,97.249,-33.854,-47.728,16.601,-10.066,-3.668,9.056,3.938
9.60259,33.59,-202.71,54.819,26.223,95.268,-3.701,-39.376,-22.002,0.133,-3.076,2.859,-7.99
10.09959,31.26,-252.794,11.063,-7.922,91.924,-24.994,-45.444,-1.877,-7.144,-11.67,6.323,5.103
10.36073,29.915,-253.711,-18.988,-25.318,55.312,-40.609,-24.919,18.113,-13.117,-11.837,13.963,-8.506
10.62853,31.01,-252.992,-8.881,-58.49,49.914,-29.796,-23.213,-10.052,-18.995,7.042,3.334,8.994
10.99569,31.329,-279.932,-27.679,-60.477,56.244,-31.931,-23.546,-12.012,-19.323,4.187,8.651,7.775
11.11147,32.549,-277.15,-20.031,-21.721,62.467,-45.039,-28.653,-10.123,-1.134,-23.198,5.489,3.981
11.38939,32.705,-287.647,-41.929,-38.715,52.922,-55.343,-31.276,-9.197,-5.101,-9.457,9.354,10.198
11.57605,33.703,-281.326,-17.332,-52.382,56.317,-14.367,-23.132,7.258,0.237,-17.945,-9.489,5.658
12.10803,32.349,-281.26,-28.959,-17.733,59.932,-45.391,-29.998,1.857,-8.317,-7.296,-0.458,4.459
12.35837,31.42,-240.999,2.407,-19.778,48.311,-27.628,-29.236,19.491,-13.942,-18.086,18.091,-2.223
12.55719,31.662,-237.343,3.124,-45.013,53.35,-43.879,-45.093,-1.065,-1.085,-12.982,13.072,3.629
12.64426,33.127,-240.689,7.122,-56.746,52.388,-42.764,-48.531,2.644,-6.591,1.892,9.993,7.763
12.88204,33.807,-230.1,0.416,-8.815,44.824,-49.8,-61.77,25.222,3.269,-28.614,12.05,0.95
13.06635,32.277,-252.835,7.151,-26.482,70.24,-26.518,-40.776,-17.959,-11.093,1.966,-7.377,7.291
13.26939,31.778,-282.13,-20.836,-47.09,65.415,-35.781,-32.056,8.999,-12.449,-7.299,16.498,5.643
13.60753,35.685,-245.4,-5.923,-2.187,49.044,-30.886,-29.395,-16.082,4.706,-11.283,-0.497,0.631
14.07773,31.137,-267.114,-28.365,-42.236,62.529,-32.013,-23.788,-0.4,-9.31,-5.659,6.896,1.904
14.35628,31.738,-237.196,-9.157,-20.225,27.913,-44.25,-29.855,15.559,-19.61,-22.906,9.698,5.324
14.55923,31.354,-276.202,-37.731,-34.205,52.132,-29.931,-30.154,7.643,-18.87,7.631,4.164,7.589
14.86698,32.004,-274.398,-9.686,-32.992,58.727,-28.535,-29.996,-14.705,-23.614,-3.752,0.411,7.833
15.10426,33.734,-253.068,-1.714,-17.852,57.196,-48.483,-38.787,-11.411,-3.186,-1.404,-3.574,7.195
15.59909,35.311,-255.974,-8.842,-3.336,46.686,-24.294,-29.47,-3.577,1.65,-5.854,5.344,-0.452
16.09234,32.723,-276.609,-40.118,-22.222,42.055,-30.328,-22.946,-3.721,-11.867,-3.189,16.256,3.303
16.35823,32.106,-242.023,-1.479,-15.251,40.366,-42.006,-35.288,15.766,-16.085,-21.522,13.388,2.157
16.70626,32.384,-249.379,1.456,-46.751,59.075,-26.376,-36.617,-31.159,-11.454,2.856,2.709,9.26
17.31102,32.328,-291.447,-27.176,-28.111,65.979,-45.77,-36.494,8.581,-9.286,-18.054,-0.507,8.083
17.6176,34.395,-253.552,6.557,18.816,63.94,-45.191,-35.659,-7.303,0.02,-11.043,-5.649,0.442
18.36027,31.861,-222.362,-1.972,-35.066,37.326,-43.66,-39.047,-4.926,-12.434,-8.204,7.672,11.683
18.82404,32.043,-250.558,-13.21,-51.591,56.456,-25.894,-39.421,-5.922,-7.653,16.908,1.915,10.771
19.07392,33.214,-256.684,-2.399,-40.09,66.574,-31.695,-40.69,1.517,3.074,1.29,8.196,9.375
19.28921,33.221,-248.973,-7.028,-33.896,63.395,-37.675,-45.283,-5.83,8.408,-7.335,9.136,9.975
19.47542,33.818,-257.485,9.576,-38.094,71.345,-40.329,-41.357,-13.728,-1.809,10.481,9.703,8.995
19.58603,35.435,-242.317,3.764,7.494,57.671,-31.692,-45.554,-6.278,0.124,-12.765,-2.267,1.091
20.20739,32.322,-270.935,-4.847,-46.413,65.56,-36.404,-29.729,-15.946,-9.308,1.908,7.025,4.533
20.32921,33.644,-239.742,5.026,-40.733,79.939,-39.695,-29.263,6.405,11.479,-18.627,25.123,1.038
20.87438,34.615,-250.285,-1.334,-32.713,71.418,-46.969,-45.345,2.962,5.168,-19.235,10.92,12.447
21.10063,35.028,-236.081,22.143,-18.729,89.633,-42.761,-41.257,14.415,5.61,-5.875,7.338,6.719
21.3683,34.912,-202.931,16.093,-33.456,73.304,-36.108,-55.205,-11.613,15.737,-5.801,15.093,8.21
21.5478,35.1,-225.137,11.311,-22.207,61.089,-27.235,-47.787,0.268,4.684,-1.976,-3.624,6.117
22.23868,33.477,-239.53,8.39,-44.672,49.433,-35.575,-25.09,-13.08,-13.328,1.48,6.803,12.205
22.40644,34.043,-243.69,-12.554,1.117,60.627,-33.283,-41.758,-8.798,0.045,-12.75,5.337,6.036
22.6678,32.098,-261.93,11.855,-26.87,72.154,-41.957,-42.867,0.736,-7.991,-16.319,8.983,1.285
22.86721,32.362,-243.266,16.735,-25.399,53.055,-37.644,-33.057,-18.518,-23.618,-0.521,3.569,11.409
23.09823,32.935,-264.77,-2.258,-19.058,71.336,-41.182,-42.408,0.325,-2.257,-0.691,13.829,8.16
23.35982,33.432,-264.617,-4.354,-18.297,71.401,-26.817,-45.772,13.618,1.473,-1.188,4.936,9.725
23.59224,34.831,-229.76,5.943,-9.647,56.884,-13.519,-35.089,-3.636,2.196,6.302,5.157,2.387
24.2429,33.523,-242.148,5.877,-43.079,59.017,-38.82,-35.455,-15.75,2.726,-2.557,13.306,1.459
25.1073,35.307,-248.597,23.591,-6.431,85.662,-50.001,-44.199,18.011,0.42,-4.751,-4.158,4.511
25.29324,33.416,-238.271,8.366,-26.501,74.05,-40.002,-40.272,-4.449,9.306,-16.03,4.786,7.878
25.57161,33.447,-253.42,8.882,-35.891,66.584,-13.424,-32.554,1.623,3.67,-16.57,-9.823,2.662
26.3678,36.027,-222.36,39.06,-8.319,69.591,-45.362,-13.99,-11.572,16.045,5.061,6.483,-14.921
