start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.219,166.333,2.865,-34.446,52.47,-50.148,17.465,0.859,-27.79,2.429,-12.13,-4.978
0.36803,3.22,100.74,-80.289,-57.228,16.894,-49.873,2.294,14.244,-31.642,-0.309,-3.962,3.874
0.74735,5.784,59.318,-59.174,-82.87,37.325,-22.41,25.713,-14.714,-37.297,23.189,-16.693,22.37
1.27147,13.084,24.942,-93.236,-28.126,18.861,28.264,10.368,-6.974,-16.389,8.274,-10.109,24.22
1.5742,11.723,24.25,-89.658,-47.916,10.497,-56.692,-20.557,-8.835,-3.081,6.138,-2.613,26.937
1.66698,20.533,-5.323,-85.463,94.93,-1.462,2.318,-13.183,22.396,-16.82,25.228,44.951,1.208
2.45079,17.819,-20.165,-46.822,-99.763,0.643,35.544,13.201,-45.345,-26.519,-4.551,-45.464,7.533
2.76517,19.431,-65.453,-106.265,-9.086,3.882,-50.45,-30.011,-25.732,-24.92,4.808,-22.479,5.716
2.9132,21.019,-67.974,-90.46,-38.107,17.46,3.859,-11.022,-22.531,-5.58,6.2,8.696,10.647
3.26236,22.482,-100.825,-130.72,21.098,19.69,-64.175,-17.832,-15.478,-33.458,17.665,-17.708,10.696
3.72177,16.936,-73.759,-113.336,-17.641,22.164,-41.161,-26.362,9.055,-14.751,-13.157,-0.728,-2.367
4.81587,22.748,-51.343,-73.038,-77.495,9.272,62.805,15.716,-11.524,-1.348,-10.851,-34.658,23.86
5.12073,26.273,74.189,-81.688,10.435,-70.893,-52.819,-78.584,-36.454,1.281,26.261,-20.827,-13.585
5.30181,25.525,-8.952,-55.962,28.509,5.252,-33.82,12.645,-31.894,-19.555,21.261,-27.934,26.787
5.58404,25.578,-57.76,-94.679,50.541,30.878,24.293,5.116,-3.476,-13.241,24.975,-18.549,17.206
6.20463,25.909,-64.136,-99.854,-45.048,24.862,26.746,6.743,-47.454,-21.052,-5.122,-54.447,18.77
6.46109,26.446,-120.6,-54.916,-133.004,25.308,-24.688,25.355,-6.145,-18.589,-39.111,8.892,-4.1
6.65655,35.673,-40.978,-42.383,6.345,11.752,-37.267,-5.866,-44.686,2.955,13.587,-16.577,9.265
6.78984,33.819,-32.07,-64.24,15.246,19.261,4.171,14.484,-32.454,-6.659,-36.159,-24.897,19.048
7.08431,25.063,-121.93,-106.724,15.645,-0.789,-74.255,-23.654,-35.413,-32.457,13.18,-23.16,9.615
7.27415,31.16,-43.577,-105.087,19.428,16.918,23.518,-27.577,-8.26,4.231,34.295,-41.147,17.208
7.49456,19.39,-64.43,-90.064,-27.925,48.334,-2.753,-27.711,-4.361,11.762,-7.365,-33.807,12.916
7.7859,21.29,-69.316,-45.99,-93.349,20.098,23.245,-20.349,-28.255,-12.216,-16.539,-62.37,9.085
8.1898,25.539,-40.393,-58.564,-80.56,22.411,18.082,4.18,-3.444,34.24,-44.453,-24.04,5.727
