start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.006,170.999,9.316,-28.654,57.373,-50.087,14.873,5.203,-27.25,0.973,-10.647,-7.142
0.15696,26.162,-52.474,-19.652,-107.676,-16.865,165.201,39.594,-32.239,-40.873,82.102,-14.026,-4.423
0.4937,38.196,-49.243,-45.42,-7.569,-64.08,23.321,0.479,2.335,-6.922,-5.807,-3.824,-28.18
0.82249,32.15,-71.978,-42.258,-6.923,-55.186,8.115,8.413,-35.896,-21.929,15.894,-35.509,6.242
1.12848,34.327,-55.616,-77.623,-61.681,-66.99,15.391,-15.408,11.177,22.068,-25.385,16.859,-27.015
1.32635,39.727,21.577,-44.949,-16.677,-108.674,-12.746,-30.376,-9.001,-33.965,-9.629,-11.214,-35.472
1.6327,41.088,-0.447,-47.907,17.687,-56.341,-27.36,2.255,23.717,-5.349,14.026,2.517,2.037
1.81011,40.038,30.604,-51.898,54.346,-63.143,-25.251,-12.736,-5.498,-5.327,2.594,-44.949,-3.376
2.11764,38.321,-55.921,-51.348,54.992,-64.24,-25.959,8.382,1.629,-20.038,12.754,-20.89,11.142
2.40735,40.855,12.674,-28.707,71.889,-41.756,90.281,19.528,-31.815,-19.007,2.025,-0.546,-9.787
3.09778,42.57,44.126,-46.444,-38.275,-57.392,-29.628,-17.953,3.451,-0.032,6.546,11.702,-9.688
3.24957,54.884,26.987,70.794,-29.498,30.487,-15.409,3.645,-28.257,-9.456,40.504,-7.781,-20.222
3.40689,56.018,22.184,100.633,-18.114,33.568,-26.737,-14.332,16.029,1.52,-17.18,-4.821,-27.367
3.66336,55.723,20.92,78.004,-9.99,39.352,-33.231,-25.219,10.187,10.334,0.51,-0.921,-10.18
3.77279,55.076,28.703,76.707,48.692,14.714,-17.371,-20.27,-2.236,4.999,-9.564,-24.918,-32.801
3.9361,52.44,51.811,70.904,-7.432,36.455,19.839,-80.886,16.728,13.717,-43.511,-16.038,-40.695
4.08576,53.547,41.188,71.921,-5.772,22.819,26.202,3.281,-15.154,5.831,-1.971,-9.722,-36.777
4.23778,51.89,13.202,65.775,60.084,45.308,-20.289,19.197,5.129,12.423,9.684,-30.824,-10.6
4.40585,50.059,22.531,87.722,-49.655,13.586,24.094,6.616,-1.095,-14.867,10.912,-2.508,-28.749
4.73687,50.374,-14.15,83.118,70.997,18.583,-20.564,60.145,22.429,2.496,6.992,-60.616,-16.241
5.02834,40.812,70.432,-42.111,-46.539,-20.709,-10.924,17.667,17.833,7.682,-15.775,-14.829,-15.827
5.17805,46.082,58.061,-3.209,-137.629,-5.33,2.05,-17.446,-52.895,-13.994,22.218,-12.309,-20.859
5.39946,53.492,-10.194,81.823,6.96,16.605,-35.913,13.384,6.056,-4.01,-1.432,3.452,-15.277
5.74113,53.207,-7.949,89.883,13.987,11.213,-35.971,5.722,28.041,-6.895,-3.449,-2.732,-28.525
5.90354,53.266,72.271,100.992,-24.886,30.873,0.407,-86.26,6.755,3.804,-31.343,9.722,-37.053
6.05451,53.978,29.703,73.829,54.033,11.566,-34.277,8.536,-27.455,4.195,34.812,-12.911,-24.536
6.22893,50.59,6.801,105.833,76.762,31.23,-36.332,9.993,3.44,-15.473,-0.818,-22.37,-22.753
6.38032,50.113,37.462,22.152,39.728,6.111,12.731,-26.074,13.099,-25.228,-8.91,-2.639,-27.555
6.53456,49.658,8.502,35.006,71.384,25.238,7.272,-6.37,15.536,-25.352,-19.16,-44.751,-23.935
6.7166,51.12,18.171,74.633,31.872,34.277,22.182,12.118,6.429,-1.496,39.819,-25.105,-16.134
7.03687,44.123,57.214,-4.358,-29.182,-1.149,-0.204,51.324,21.23,-34.891,-10.71,3.232,-5.534
7.19859,52.454,22.08,47.134,-28.712,44.111,28.735,16.395,-23.438,-22.964,57.914,-12.787,-7.409
7.37778,51.843,-32.401,82.088,-3.323,31.971,-33.969,28.615,23.401,-6.134,-15.043,-9.624,-15.52
7.76653,53.177,18.084,81.169,33.047,2.668,-19.282,-6.576,0.465,0.213,-14.771,-36.16,-26.154
7.91714,50.093,36.814,68.361,42.373,47.221,37.988,-87.995,-5.15,17.022,-48.81,-38.917,-31.485
8.06313,52.155,-10.744,59.118,57.287,24.086,4.264,20.096,-4.704,5.649,21.332,-3.536,-20.559
8.2424,51.826,40.729,96.924,21.023,23.186,6.958,-1.061,25.641,-3.639,-29.487,7.499,-35.029
8.38848,51.028,27.653,39.748,-40.037,-27.456,3.328,-52.144,7.481,-11.626,-12.013,-21.818,-22.692
8.56227,49.009,24.95,14.577,67.612,-11.152,-12.631,-64.003,-53.608,-13.297,-16.865,-58.307,-28.293
8.72599,49.694,-16.776,71.249,5.52,35.082,6.112,11.044,14.427,-3.45,34.959,-38.54,-17.365
9.05995,43.963,12.194,10.855,0.984,0.672,-19.68,50.782,2.949,-36.48,-9.284,6.054,14.452
9.18921,51.788,32.712,51.128,-106.468,21.18,39.757,-37.121,33.714,9.14,-17.553,5.88,-18.084
9.36957,54.687,25.305,57.949,41.542,22.898,-14.507,-28.355,-30.237,-6.17,5.736,-47.98,-20.526
9.51909,51.128,-24.058,46.777,45.929,38.433,22.658,0.965,-1.434,-0.955,4.879,-42.855,-9.373
9.69429,46.727,-15.677,50.575,-30.688,33.504,28.524,30.601,-11.262,-29.506,42.122,-53.788,-9.496
10.20086,47.193,-28.731,48.151,-59.866,21.282,55.519,-15.305,18.237,6.886,-15.554,-38.735,-21.602
10.37891,49.94,38.81,1.788,21.143,-18.43,31.741,-39.62,-9.971,-1.834,1.673,2.58,-22.627
10.53583,47.396,-35.864,28.868,64.393,30.467,-19.799,-23.105,23.402,-6.545,22.654,-40.669,-21.128
10.71497,42.766,-55.667,12.171,-18.199,34.08,12.926,24.06,-17.494,-30.102,57.913,-35.24,1.079
11.15333,39.651,96.989,-72.58,-53.459,-6.316,-27.504,23.484,-8.955,-24.282,-28.78,-16.507,-8.171
11.3424,45.215,96.914,-10.484,-156.174,5.76,4.996,-6.145,-52.868,-37.144,16.112,-23.673,-20.642
11.55773,52.87,72.137,-4.593,2.86,-1.968,7.217,-85.199,-21.888,13.892,2.098,-11.337,-14.308
11.73075,52.288,-9.242,52.665,-14.937,51.184,20.884,-13.738,-18.36,12.484,-5.157,-17.956,-5.658
12.0458,51.747,-27.71,104.146,-35.674,42.304,8.866,18.972,18.406,-9.929,-1.987,-5.136,-0.718
12.22952,50.907,-13.408,52.207,107.431,23.36,3.124,-13.489,4.966,3.303,-21.119,-45.798,-17.703
12.39261,50.62,45.864,24.859,15.929,-23.632,10.692,-39.447,-11.539,-6.601,-4.151,-14.088,-28.4
12.55701,47.625,-29.628,24.774,60.894,29.215,-0.457,-12.917,13.062,-5.296,-1.703,-50.337,-17.305
12.73615,42.981,-68.361,13.315,-16.661,41.641,15.855,32.206,-24.723,-27.757,58.296,-30.134,9.232
13.13066,40.608,87.142,-52.604,-54.963,-10.127,-24.825,18.025,-13.602,0.058,-31.614,-9.653,-2.713
13.33483,45.914,-50.936,98.1,-183.061,7.848,2.377,14.441,21.948,-4.396,21.564,20.676,-24.576
13.56014,55.661,59.569,54.047,21.742,13.305,1.247,-50.317,-21.398,-0.897,-12.498,-22.836,-27.434
13.73478,52.57,-14.2,75.106,18.392,64.004,19.049,19.793,6.852,1.048,-12.649,-32.639,7.754
14.04281,52.306,-36.511,72.382,-39.439,41.034,31.208,8.181,20.439,0.162,-29.857,-19.883,17.45
14.25696,50.194,0.669,81.292,108.144,39.164,-23.281,-19.741,-7.034,-11.658,-7.969,-70.862,-24.723
14.40073,49.95,23.212,24.387,5.344,-14.397,16.682,-37.029,-14.991,-0.649,-2.973,0.962,-40.404
14.55283,48.156,-17.624,32.096,71.664,28.263,-18.367,-22.821,3.41,-12.322,17.051,-27.527,-18.589
14.73315,44.204,-71.478,11.861,-9.651,54.972,18.418,37.406,-14.186,-28.777,50.251,-28.589,-2.531
15.0273,40.638,-26.573,-26.812,-29.492,-0.445,-41.696,7.848,73.064,26.505,-20.704,-1.45,-2.267
15.14213,41.414,110.403,-66.47,-32.349,-17.992,6.005,20.816,-37.084,-25.265,-28.14,-45.281,-5.575
