start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
1.01873,20.183,-30.27,90.483,-297.908,49.963,99.222,79.749,-115.301,-58.922,92.709,-47.158,14.882
1.3293,36.695,-139.715,27.523,76.638,49.876,-17.252,-12.547,-4.647,-9.658,1.764,-29.92,19.868
1.58594,37.726,-140.187,44.639,62.298,52.226,59.914,5.792,6.357,-22.053,-11.541,1.776,9.46
2.01982,36.84,-150.961,35.735,85.743,52.47,-4.808,-30.479,1.916,-27.986,-12.989,-19.317,16.948
2.32268,37.952,-163.41,50.984,-10.492,51.242,56.716,8.439,8.292,-14.776,-0.271,15.467,0.761
2.5834,39.399,-145.17,43.713,97.569,59.93,-43.749,-18.586,-5.221,-8.592,-3.831,-33.948,10.972
2.86177,40.527,-127.765,37.463,111.896,50.649,-0.144,-38.105,5.054,-30.091,-14.801,-34.944,17.491
3.15156,39.482,-136.655,29.902,58.179,58.526,29.876,-10.44,-20.927,-12.386,11.871,-5.431,22.79
3.54567,33.396,-229.193,1.975,-17.356,41.256,-33.667,-14.537,13.796,-21.794,-9.141,19.114,1.763
3.74372,39.858,-141.732,28.581,38.38,41.724,-32.918,-21.031,-9.785,-1.81,3.171,3.087,11.417
3.84277,41.298,-155.281,56.523,20.133,33.711,-22.652,-12.585,-0.616,-27.198,-11.162,23.705,6.933
4.05215,46.7,-84.091,95.382,65.777,76.959,-21.039,-26.94,-8.483,14.585,1.271,-31.712,-28.668
4.32476,45.759,-3.476,142.103,130.397,44.838,-25.453,32.809,13.231,1.478,-8.906,-24.278,-20.91
4.46472,36.817,-83.03,128.791,11.905,65.63,-41.876,31.881,-7.601,15.402,10.89,-10.59,-20.172
4.64458,38.179,-125.121,127.348,31.468,71.679,-18.296,29.421,-2.932,8.667,6.891,13.122,-35.318
4.74363,43.184,-172.682,21.679,0.713,28.406,-12.11,-41.573,3.341,-16.126,-9.225,-28.984,2.213
5.02689,37.89,-194.533,33.811,6.913,37.417,-17.4,-17.143,-1.056,-25.014,-7.036,-6.043,20.54
5.21787,40.385,-90.378,12.513,152.862,74.21,44.998,-46.418,13.052,21.429,-9.913,-17.403,-28.797
5.86907,38.989,-84.155,10.174,-50.246,37.136,82.078,3.634,-10.524,8.372,9.01,15.733,-11.401
6.19311,43.425,-88.256,73.296,-49.775,47.053,7.728,-8.834,-5.729,-2.989,-1.742,14.515,0.119
6.49061,52.295,-40.433,104.285,60.552,74.574,-9.439,-12.703,-22.063,-8.801,7.473,7.41,15.481
6.78014,48.219,-45.411,44.416,70.673,46.296,0.723,-32.696,-14.016,-7.333,-3.952,-16.049,9.729
7.15234,48.337,-59.026,60.075,-51.343,31.02,63.295,-6.579,5.259,-5.184,-21.709,-9.93,-1.194
7.37261,47.405,11.412,43.615,141.662,29.715,44.092,-13.681,24.488,-1.233,-24.664,-12.098,0.321
7.93592,42.601,-44.1,66.612,-57.218,33.3,31.492,-0.524,-3.763,-1.459,11.623,-59.525,5.489
8.2307,47.191,-56.049,79.885,-25.812,59.576,35.374,-4.771,22.885,5.49,-21.776,1.629,7.343
8.52689,49.479,-6.29,100.137,28.731,62.153,43.965,5.385,-10.195,26.572,-15.756,-12.591,-33.339
8.84685,46.021,-69.52,43.029,-12.217,43.225,-10.989,-45.154,-23.643,-8.808,-16.728,5.042,1.438
8.9459,48.19,-63.402,69.873,72.769,51.804,-5.236,-22.766,12.701,-5.18,-17.621,-18.378,11.417
9.2356,46.661,-59.594,51.177,-16.778,32.099,47.937,-14.964,4.253,-8.985,-0.414,-15.572,-5.687
9.46762,44.958,-29.75,8.273,111.017,28.37,-28.236,-8.473,22.943,2.128,1.872,-20.524,14.429
9.79238,36.36,-32.21,4.88,-35.447,9.545,-16.608,-17.555,12.192,12.023,22.213,-10.912,2.522
10.00136,42.773,-72.961,38.217,-27.024,46.21,40.296,-13.794,9.331,5.556,-15.991,-44.416,15.237
10.32739,46.46,-33.946,49.271,58.883,45.868,51.606,-0.633,19.261,1.782,9.431,-9.281,5.785
10.59315,46.785,-71.532,81.564,-25.331,42.586,24.893,-4.253,18.259,-6.782,-12.111,-3.734,12.968
10.72717,50.717,7.87,88.135,72.756,16.121,32.368,6.229,3.898,-7.362,-41.925,-16.824,-6.846
10.91347,46.392,-63.941,58.566,51.02,47.173,-18.88,-25.972,2.608,-15.898,8.367,-4.247,11.182
11.19288,44.062,-65.595,23.508,0.816,36.747,51.047,-27.103,-0.098,-6.876,-11.712,-37.87,-0.3
11.5815,37.853,-37.486,-3.715,-24.231,6.906,-32.351,-25.269,21.559,17.742,-8.978,3.296,-3.203
11.79546,47.224,35.169,66.125,55.637,28.571,93.16,19.262,11.184,14.793,12.15,-29.884,-45.606
12.17315,38.743,-59.809,-1.544,-19.387,0.951,-22.232,-27.361,15.478,5.344,23.611,-4.222,-8.367
12.35941,41.426,-37.561,56.719,-60.927,13.966,21.52,4.081,-9.48,-2.1,9.474,-63.211,-1.479
12.65524,48.212,-38.433,83.515,-6.607,46.527,34.571,11.045,5.099,11.315,-47.171,2.387,-6.771
