start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.112,168.847,5.746,-31.521,54.402,-50.55,17.339,3.186,-26.913,1.956,-11.603,-7.15
4.40508,11.085,-34.846,-71.405,-120.515,45.147,-6.133,41.372,-33.579,-38.492,51.04,-1.463,-2.442
4.82426,16.974,-106.427,-47.562,-81.551,38.251,-52.502,41.215,-7.185,-25.792,5.354,1.485,-13.458
5.06721,21.091,-131.437,-44.552,-51.564,6.459,-42.279,24.431,9.051,-17.058,4.488,-1.375,-17.242
5.2581,20.431,-116.536,-75.366,-12.907,5.913,-44.616,1.509,42.461,-6.655,4.668,-23.177,-7.751
5.74943,15.975,-135.671,-149.934,-76.153,44.456,-61.5,-3.373,15.695,-7.901,6.566,-0.346,-7.968
5.84526,22.904,-190.447,-45.06,-60.359,54.381,-40.426,-7.991,10.781,-39.377,-1.241,14.357,0.158
6.0785,23.962,-136.78,-31.528,-33.915,35.084,-43.394,-34.889,1.121,-9.132,-11.261,5.91,8.08
6.38553,23.483,-119.048,-1.532,-45.349,52.298,-39.045,-30.609,5.534,7.84,-8.128,6.783,0.328
6.51859,21.119,-94.49,-18.081,37.759,60.411,-35.477,-41.315,38.347,0.836,-10.652,-33.506,3.97
11.19388,10.514,-32.329,-88.017,-90.064,46.808,-28.332,16.229,-13.921,-32.721,25.974,-10.066,-3.041
11.42068,15.114,-113.905,-125.129,-97.447,34.188,-47.718,7.796,-4.116,-28.761,2.705,-5.752,-7.221
11.50961,17.699,-155.179,-130.195,-104.227,35.133,-53.673,7.116,-3.109,-22.615,2.884,-1.979,-14.266
11.6878,18.641,-155.326,-135.913,-36.619,29.135,-42.883,-8.725,46.085,-14.197,2.234,-27.704,-17.221
12.4405,14.38,-95.102,-117.559,-65.251,43.088,-48.55,-12.065,3.366,-17.752,9.611,-4.545,-6.85
12.58068,19.653,-116.325,-28.958,-152.709,37.197,-8.36,-7.336,-43.086,-20.042,12.689,8.693,-9.518
13.17646,25.801,-101.799,35.929,-35.35,24.355,-29.598,-38.02,0.114,-3.1,-11.852,6.839,-11.704
13.32286,26.625,-59.342,44.753,-17.802,26.134,-24.112,-35.371,-8.689,-3.617,-10.649,-3.248,-8.895
13.69315,25.663,-91.416,44.922,-13.962,25.354,-28.179,-33.189,5.461,-9.356,-1.61,-8.479,-13.499
13.87451,25.251,-70.399,46.708,-23.283,21.385,-18.736,-20.133,6.303,-7.062,-13.033,-1.827,-1.035
14.04163,24.021,-76.389,55.018,13.664,36.118,-31.388,-7.275,0.732,-10.265,-15.567,-5.757,3.353
15.45392,17.264,-44.42,-5.991,65.667,58.763,-28.46,-37.337,46.522,-8.975,-8.076,-42.059,3.703
17.93057,12.072,-45.256,-74.289,-96.696,51.223,-14.255,22.355,-15.802,-24.237,35.565,-8.658,-6.324
18.1654,15.88,-99.825,-54.996,-64.236,54.82,-45.517,33.511,-1.425,-19.669,9.857,-5.997,-15.805
18.25669,17.261,-124.637,-91.393,-48.031,44.684,-44.335,21.124,21.187,-14.222,4.815,-25.787,-4.592
19.16726,16.775,-139.119,-150.153,-61.483,38.673,-44.137,-6.082,27.261,-6.964,26.45,-1.184,-4.692
19.28739,24.507,-182.073,-24.132,-66.941,36.069,-28.889,-1.766,17.961,-37.09,7.782,31.674,0.313
19.8,26.223,-89.378,25.203,-19.216,33.899,-23.502,-33.223,16.243,1.435,-17.124,-3.408,4.745
20.66104,24.085,-75.655,32.871,-24.741,32.518,-24.731,-45.139,-9.753,-6.448,-13.71,-0.115,-6.573
21.07302,24.081,-64.833,31.729,-6.279,29.903,-32.118,-43.348,-14.256,-19.771,-11.543,7.056,13.266
21.84317,23.169,-73.184,53.084,-10.091,15.592,-34.317,-31.468,3.227,-46.326,-9.895,4.728,10.282
22.25628,21.817,-45.412,40.734,-1.955,14.444,-25.226,-44.016,-4.335,-33.513,-13.918,0.891,7.948
22.63247,19.518,-39.863,20.335,-18.699,32.973,-20.206,-49.363,0.854,-11.452,-5.949,1.104,12.629
22.8366,18.303,-23.42,4.286,-25.003,35.187,-23.422,-58.428,-6.992,-11.333,-0.71,-0.75,17.626
23.04032,13.429,-32.538,-61.302,20.328,57.229,-45.94,-66.417,32.226,-12.76,-15.974,-12.582,1.531
24.18839,10.742,-13.387,-66.636,-101.432,48.783,-33.012,2.701,-22.905,-12.354,22.213,-9.337,3.443
24.35914,14.562,-83.689,-99.082,-69.924,21.734,-52.713,8.6,2.714,-26.617,3.849,-4.557,-17.012
24.44086,15.605,-112.972,-119.41,-75.432,31.996,-46.289,12.476,13.647,-21.528,6.597,-21.936,-6.07
25.47265,13.802,-113.367,-161.798,-83.949,54.933,-52.829,-5.171,21.911,2.226,14.937,0.234,-1.674
25.63769,23.85,-153.271,-8.115,-76.528,42.525,-32.831,-12.564,24.227,-26.135,0.59,23.877,-0.651
26.17937,26.344,-35.544,28.595,-28.169,42.95,-30.068,-28.595,-7.72,3.199,-7.415,3.227,6.039
26.35955,27.304,-38.847,25.35,-31.627,54.121,-30.883,-29.099,-0.977,13.53,3.473,-7.75,-7.31
26.75483,25.346,-34.501,22.464,-1.43,38.061,-30.443,-33.85,1.356,3.069,-1.296,-16.625,-5.067
27.20721,22.682,-58.183,24.948,-26.126,53.605,-31.241,-49.862,-0.941,10.796,-9.874,8.29,2.985
27.71914,23.166,-43.276,27.016,-16.564,40.199,-25.461,-41.648,-9.022,-1.25,-8.233,0.865,23.725
27.91048,22.002,-53.14,22.178,-15.343,36.654,-27.749,-43.97,-7.883,-7.704,-3.013,-1.467,25.067
28.10721,21.773,-69.873,19.95,-22.403,34.304,-21.339,-44.645,-4.184,-14.665,-5.342,3.397,19.093
28.29878,21.766,-67.825,18.244,-22.272,32.773,-19.257,-50.049,-7.117,-12.375,-10.715,4.733,12.458
28.49628,21.589,-72.092,22.623,-13.29,33.286,-24.414,-44.679,1.853,-19.552,-6.884,6.806,14.041
28.6771,21.382,-62.906,20.901,-36.076,35.905,-23.714,-48.344,-3.706,-10.437,-3.67,2.813,18.399
28.81732,22.037,-67.866,32.719,-25.509,29.387,-21.175,-37.566,4.301,-28.739,-14.816,0.237,23.881
29.04181,21.872,-66.896,19.475,-30.136,31.607,-18.959,-45.059,4.761,-21.664,-19.33,-2.274,23.713
29.21692,21.75,-58.961,28.026,-31.158,24.042,-19.641,-41.538,0.473,-29.13,-13.262,1.828,28.434
29.42676,21.937,-30.916,7.693,-19.558,26.752,-15.699,-53.462,3.293,-11.801,-19.149,5.572,31.399
29.8322,14.114,-37.886,-72.141,36.203,52.033,-43.797,-71.644,44.273,-12.456,-19.417,-10.384,10.672
30.90063,10.913,-26.446,-90.57,-99.475,39.04,-36.64,16.797,-29.311,-23.463,24.142,-3.446,8.179
31.10091,15.43,-101.008,-94.184,-63.304,34.726,-44.456,20.827,13.122,-28.295,0.626,-4.773,-14.764
31.22431,16.761,-110.75,-71.757,-62.224,34.178,-50.455,30.763,3.662,-27.934,0.283,-4.16,-20.391
31.33311,18.628,-124.009,-42.752,-55.533,34.408,-55.802,40.347,12.927,-25.459,-3.932,-1.557,-22.986
31.43329,20.686,-139.27,-38.81,-61.337,23.172,-47.614,30.293,2.732,-17.644,5.686,-5.046,-28.913
31.63361,20.495,-133.565,-55.153,-22.769,20.083,-42.911,12.297,22.275,-12.789,0.388,-28.069,-30.8
32.22376,23.432,-174.122,-6.225,-45.214,59.802,-27.492,15.031,-1.036,-28.041,12.37,5.725,2.11
32.48481,24.893,-162.558,7.688,-49.061,40.034,-34.767,-2.139,3.977,-20.551,-15.883,12.61,10.796
32.6522,27.468,-96.439,41.098,-12.089,13.936,-30.854,-1.963,11.924,-12.835,-28.424,15.826,29.395
32.76816,27.552,-78.706,51.265,23.856,28.249,-26.489,-15.618,4.83,-15.505,-17.195,-4.712,23.423
34.12272,24.311,-63.466,40.861,-8.0,22.732,-21.075,-25.438,-16.897,-32.921,-13.762,2.998,26.964
34.56939,23.93,-77.473,48.05,-0.529,9.09,-28.583,-29.878,-2.558,-51.831,-20.952,6.964,14.464
34.71519,22.918,-60.846,35.136,14.427,6.016,-28.797,-48.483,16.237,-43.842,-17.02,-0.636,12.769
36.03224,14.678,-45.135,-41.336,26.478,67.854,-47.694,-52.215,21.906,-14.011,-9.426,-18.891,7.799
37.28549,12.763,-57.098,-55.411,-87.072,54.135,-42.948,2.321,-21.027,-38.817,4.689,5.864,-13.326
37.48798,18.782,-119.92,-28.324,-91.412,40.728,-41.283,6.92,-17.309,-30.299,2.605,-1.495,-18.222
37.88807,21.047,-145.732,-68.506,-18.618,15.665,-41.031,17.312,31.231,-14.077,-1.863,-21.72,-25.771
38.57111,27.724,-188.202,-3.239,-33.229,24.76,-13.382,16.198,1.9,-20.153,24.331,22.715,-2.455
38.77592,28.337,-122.649,4.411,-27.31,24.533,-31.538,-25.458,-1.063,1.382,-12.914,7.305,14.477
39.04363,30.279,-11.905,47.71,-45.705,12.819,-10.541,-31.547,18.98,1.041,-9.936,10.213,18.647
39.28889,30.364,-46.993,20.916,22.73,71.769,-45.901,-33.302,-20.671,22.622,-15.85,-2.43,21.704
39.82268,32.478,-131.004,85.877,103.289,83.868,-45.874,0.005,32.63,17.729,-4.108,-17.857,-14.707
40.65746,25.245,-92.735,48.185,-2.207,56.169,-30.918,-23.646,-1.676,6.211,-9.563,3.889,3.658
40.98154,24.109,-74.01,43.404,-20.084,42.256,-27.486,-33.792,-2.016,-5.299,-4.761,-3.4,14.607
41.2142,23.501,-58.593,31.34,-17.031,45.375,-24.331,-37.587,6.228,-6.716,-17.454,1.983,22.515
41.68685,25.987,-115.247,60.496,0.125,111.394,9.549,-31.627,-14.357,0.408,41.267,-28.815,7.44
42.33492,22.71,-160.328,-31.741,-16.421,74.377,-44.433,-18.616,30.634,13.644,-1.042,-2.322,-9.047
42.59211,21.489,-165.198,-75.556,-70.021,48.238,-46.358,-15.985,-10.147,-3.414,8.303,-4.743,-1.172
42.70744,21.765,-178.359,-81.276,-42.157,50.441,-42.852,-19.952,23.86,-10.311,-1.739,-12.997,-8.93
43.64209,25.684,-181.17,-4.053,-64.284,45.861,-13.133,-14.486,9.218,-29.487,-3.223,7.242,10.832
43.91025,27.99,-141.09,6.072,-65.312,25.701,-37.998,-37.835,1.047,-3.279,-13.923,18.035,12.703
44.20998,32.848,-108.517,7.947,-41.194,15.873,-26.707,-39.519,-11.803,-2.736,-8.137,16.754,7.16
44.38023,30.758,-106.089,-28.193,37.564,14.673,-57.252,-55.195,-11.148,-2.675,2.755,-13.947,8.323
45.86086,20.149,-85.68,-49.753,67.954,44.856,-41.934,-55.148,38.186,-19.086,-14.07,-22.073,23.981
47.15424,14.881,-106.978,-82.209,-94.037,66.201,-41.379,4.437,-18.899,-34.255,12.915,6.484,-3.209
47.35624,19.561,-168.441,-84.923,-84.741,52.818,-45.245,-5.467,-10.005,-28.97,-0.254,-2.309,-18.689
47.50834,21.921,-182.313,-84.802,-55.682,46.935,-31.888,-24.302,22.086,-13.446,2.388,-27.821,-10.875
48.50354,20.368,-113.972,-4.392,-115.65,40.181,1.963,-5.138,-58.507,-31.722,24.209,9.045,-0.541
48.76803,27.739,-186.469,-12.74,-75.578,40.288,-41.758,-35.078,-1.611,-1.117,-15.273,16.938,13.95
48.98961,31.071,-127.271,-1.851,-10.442,22.742,-30.539,-40.977,6.383,-4.705,-15.181,-10.61,25.295
49.57034,27.958,-139.333,-22.646,-43.823,28.378,-34.922,-55.574,-14.356,-0.176,1.663,10.236,5.427
49.70662,27.919,-144.427,-18.385,-38.533,33.066,-30.748,-55.547,-14.128,-3.579,-3.304,-5.413,8.088
49.88889,27.809,-138.582,2.042,-31.193,22.394,-16.949,-46.57,-9.028,-15.12,-14.636,6.976,9.223
50.42317,26.03,-134.369,-3.864,-6.115,23.719,-28.408,-53.56,0.362,-22.79,-16.742,5.096,7.838
50.76599,18.495,-87.98,-45.984,63.83,46.581,-45.626,-56.363,52.836,-31.068,-24.952,-14.507,4.277
52.33778,12.271,-70.836,-106.065,-78.016,58.695,-52.023,11.115,5.338,-15.535,7.457,-1.657,-2.507
52.43846,16.562,-133.039,-91.928,-54.367,67.691,-51.084,35.03,17.835,-21.299,13.908,10.132,-0.362
52.78095,17.519,-136.967,-73.53,-65.942,61.218,-47.111,41.163,4.525,-14.112,7.514,-10.288,-10.534
52.98118,18.976,-141.146,-52.572,-50.001,51.309,-50.456,37.027,22.198,-17.903,-2.87,-2.945,-17.734
53.63483,22.327,-106.398,16.746,-92.038,13.289,-32.007,8.967,-35.728,-19.459,13.521,2.083,-18.633
53.82454,28.188,-142.972,26.083,-30.983,-1.816,-27.977,-2.829,-1.591,-34.957,-8.843,-0.017,9.494
53.93905,29.889,-117.087,33.102,-41.24,0.645,-27.113,-13.88,15.267,-23.548,-15.077,12.378,17.771
54.1205,31.862,-49.835,39.39,-22.183,-13.16,-41.523,-9.851,9.452,-32.627,-2.248,12.586,24.191
54.28367,33.58,-18.835,40.229,-16.329,4.048,-30.864,-20.229,-11.636,-8.619,10.637,0.796,8.678
54.46649,33.94,-22.028,12.892,9.12,10.472,-16.467,-44.89,-7.474,-8.406,-2.721,-19.099,21.381
54.84249,28.358,-40.404,14.614,-21.944,12.378,-22.15,-30.689,-29.09,2.544,6.233,6.194,-4.588
54.91578,28.293,-67.095,20.191,29.94,25.712,4.049,-32.134,13.711,-8.653,-12.363,-51.417,0.655
55.61687,22.186,-63.67,19.511,-31.122,-9.405,-24.082,-13.222,-0.35,-34.756,-12.791,-2.314,-5.781
55.78925,23.39,-47.544,56.188,-46.285,-6.565,-28.414,-13.033,0.959,-38.348,-9.486,12.73,-10.845
56.38381,27.204,-4.135,94.236,-14.156,16.007,-24.91,-21.765,1.662,-39.137,-9.202,8.95,-2.913
56.74413,29.207,10.819,78.597,-4.999,9.568,-31.517,-16.877,-10.026,-34.275,1.267,2.956,-7.166
56.88408,30.392,28.207,92.026,-0.199,23.545,-8.978,-21.075,-17.059,-30.473,-9.599,-10.802,-3.658
57.08603,30.064,28.559,108.952,11.753,42.166,-25.858,-32.566,-5.645,-38.692,-9.002,12.236,-2.937
57.35333,32.306,-4.155,59.268,-21.653,4.778,-29.92,-14.479,0.841,-19.145,6.537,7.319,-11.029
57.67206,34.012,-4.736,67.364,-19.493,10.458,-20.259,-16.223,-0.042,-25.803,0.056,-8.445,-7.898
57.84,36.475,3.026,56.237,-13.472,7.377,-25.672,-1.319,-8.575,-29.743,9.57,-5.537,-4.444
58.01465,36.806,-4.129,56.526,3.558,-5.05,-27.313,-10.764,8.211,-26.262,-7.296,-5.14,-9.603
58.57687,35.119,-60.591,14.979,-41.528,32.785,-24.614,-15.006,5.122,-6.672,-18.853,1.68,8.415
58.70667,36.974,-8.078,29.253,-45.67,48.659,-23.81,-22.724,5.714,10.838,-8.173,6.879,9.872
58.8283,41.262,10.716,89.192,-44.378,63.061,-22.191,-1.438,13.813,14.766,4.125,12.192,-8.737
59.30381,40.6,-0.297,70.198,79.422,43.578,-32.378,-1.956,-9.652,-3.437,2.53,-45.211,-11.78
59.70512,33.664,6.89,46.145,-30.189,-9.637,-25.973,-19.379,0.551,-3.983,4.609,4.473,-10.504
59.78558,34.561,42.788,39.94,-1.82,-12.55,-11.084,-23.163,-6.131,-12.399,-12.597,-18.691,6.413
60.15102,31.908,12.061,34.337,-20.946,-15.53,-22.531,-18.386,24.035,-32.271,-9.655,0.076,13.767
60.29669,34.866,59.185,45.678,-25.524,1.879,-6.882,-22.027,4.283,-18.747,-5.374,2.594,10.177
60.49955,36.022,78.16,39.491,-15.835,1.763,-24.324,-25.359,-10.125,-15.465,4.615,-7.508,3.641
60.66776,35.902,76.953,33.848,-8.174,6.257,-32.422,-23.194,-3.744,-11.154,2.837,-4.977,7.437
61.00998,34.373,57.454,17.961,12.74,3.846,-4.793,-17.872,-23.215,-9.422,-5.221,-43.75,12.676
61.23079,30.324,-142.28,-18.252,-29.076,20.386,-35.069,-33.129,-12.587,-11.762,12.049,-1.07,8.445
61.45134,33.135,-126.464,-18.913,-85.411,19.586,-26.668,-46.642,10.357,9.28,-9.959,13.712,1.438
61.63592,37.032,-86.638,-16.453,-55.121,10.514,-25.35,-42.5,-8.462,-1.771,-8.981,3.279,4.718
61.80549,36.743,-103.006,-24.733,-6.115,-1.228,-25.806,-33.648,-10.187,-17.269,-10.347,-19.445,8.182
62.33642,30.691,-48.881,4.508,-33.485,-9.092,-14.04,-1.883,1.403,1.034,-6.632,-1.083,-6.268
62.4966,30.852,-48.994,31.273,25.16,32.077,-16.376,-24.996,-14.191,-3.006,-5.288,-17.325,1.572
62.99057,27.699,-120.714,31.093,-30.384,31.297,-21.665,-20.828,-2.401,-12.584,-11.771,3.317,14.871
63.15805,28.69,-122.129,23.386,-32.569,25.729,-31.797,-26.861,-0.948,-16.106,-15.958,9.8,11.664
63.32558,30.226,-94.401,32.319,-28.688,8.878,-29.875,-12.314,-3.22,-29.072,-21.721,7.513,8.897
63.66417,31.117,-95.238,19.197,-25.763,9.162,-15.161,-36.057,15.784,-29.604,-22.526,9.508,6.903
63.83769,31.135,-87.174,9.771,-19.509,12.799,-31.477,-47.496,-2.402,-28.249,-9.313,2.054,8.64
63.99324,31.35,-93.212,15.665,-20.027,12.031,-21.607,-41.684,-12.545,-34.72,-9.335,6.119,7.281
64.13302,31.359,-98.177,14.742,-22.295,11.984,-24.48,-42.968,-6.465,-25.729,-15.02,-8.236,10.629
64.36694,30.289,-95.161,18.182,7.419,9.872,-30.8,-42.061,-8.547,-40.426,-19.458,-2.511,13.646
64.52172,29.683,-82.62,26.256,-12.572,2.887,-7.555,-45.208,4.651,-38.792,-24.263,8.058,8.565
64.73079,27.44,-40.371,31.98,27.422,9.322,-23.595,-40.439,7.936,-42.286,-21.183,-2.223,18.369
64.92322,23.166,17.795,62.041,20.411,26.091,-3.873,-22.654,-6.132,-39.788,-10.903,-11.043,15.857
65.10834,23.287,-11.482,50.802,8.686,11.916,-10.206,-11.927,-16.688,-42.955,-10.156,-12.891,3.738
65.26118,25.189,-81.086,-6.589,-47.387,-7.268,8.17,-10.383,-7.819,-36.641,-11.166,-18.296,7.308
65.47633,27.024,-152.079,-32.609,-28.364,-0.139,-10.623,-16.334,-7.571,-29.835,-16.074,-6.113,-6.63
65.67261,27.118,-196.117,-46.882,-38.035,7.92,-29.473,-12.175,5.229,-21.909,-10.584,1.33,-11.739
66.04948,24.47,-186.82,-91.658,-0.698,21.886,-34.339,-21.22,53.08,-10.477,-10.522,-31.599,-5.775
66.52721,21.687,-136.048,-27.475,-131.236,42.496,26.401,5.766,-23.615,-26.315,31.398,-3.548,1.288
67.12834,28.43,-148.544,-24.351,-49.372,28.848,-36.527,-48.706,-14.097,-2.328,-4.473,4.065,0.191
67.23778,25.887,-141.653,-58.821,49.042,42.359,-23.756,-60.784,42.819,-7.527,-10.668,-47.997,12.261
70.19392,15.281,-90.219,-57.448,-59.334,57.113,-30.631,16.034,2.959,-25.162,19.952,0.876,-20.375
70.28816,17.864,-143.406,-100.996,-72.26,38.762,-55.249,33.668,8.263,-18.411,9.332,-5.197,-8.159
70.38698,20.546,-140.096,-73.814,-72.775,-1.696,-43.102,29.661,8.951,-14.298,4.961,0.131,-19.956
70.49619,22.316,-148.212,-65.577,-58.757,-11.95,-46.022,29.917,10.469,-10.583,7.8,-4.777,-17.393
70.61646,21.857,-148.548,-93.001,-24.192,-8.882,-35.571,9.808,24.954,-10.616,3.808,-41.496,-13.896
71.51197,25.652,-159.023,-3.738,-62.232,33.041,29.718,2.267,9.644,-23.625,36.729,21.162,-7.757
71.85923,28.119,-113.352,53.911,-43.671,26.784,-18.58,-17.214,9.872,-12.018,-15.698,10.208,0.857
72.0054,31.394,-45.533,60.271,-19.838,31.925,-32.052,-18.579,14.925,-3.376,-10.958,6.739,5.286
72.10385,32.284,-49.582,53.369,3.933,30.58,-22.601,-12.486,1.203,-9.602,-2.355,-4.782,15.229
72.47533,31.417,-51.727,71.284,-16.03,38.25,-18.842,-17.815,-19.924,-17.831,3.811,4.204,14.789
72.8298,28.907,-70.302,34.047,34.328,55.945,-33.499,-47.715,-2.493,8.129,-9.075,-7.639,7.398
74.03714,25.503,-73.83,55.725,-11.279,38.349,-44.572,-24.446,3.818,-14.445,-3.351,0.84,17.527
75.38975,24.312,-60.177,32.598,-17.827,6.234,-14.331,-31.734,5.392,-44.807,-22.268,2.637,23.576
75.54667,25.345,-77.481,0.424,-48.171,-27.817,-29.665,3.659,-22.866,-38.648,9.25,-7.778,14.161
76.38422,27.438,-82.581,-45.873,-61.651,-39.846,-35.173,8.802,14.664,2.305,-5.781,0.344,13.963
76.82889,34.707,-165.846,55.947,55.59,56.646,-41.615,29.899,19.836,19.356,13.611,-9.386,-19.011
77.27664,31.254,-83.608,66.79,-14.765,44.347,-29.374,2.862,-2.479,15.359,3.799,5.045,-8.357
77.46254,33.207,-55.07,71.529,12.13,42.862,-35.268,2.307,-1.705,16.766,-7.127,-1.976,-7.909
77.63007,34.069,-91.13,78.859,-18.634,72.533,-16.289,-3.38,-36.175,21.899,4.546,-17.084,-7.969
78.00213,34.096,-46.946,17.668,47.417,87.711,-43.905,-48.422,-18.279,41.906,-0.04,-1.843,-10.426
78.73923,31.767,-69.634,57.682,-25.931,61.074,-24.773,-36.577,-3.738,15.53,1.644,-2.55,1.484
78.90118,32.713,-58.67,57.239,-14.737,67.574,-21.515,-41.379,-7.196,8.0,6.864,-3.482,-2.796
79.24943,31.734,-59.069,51.767,-6.503,55.842,-17.899,-30.239,-7.709,1.801,-12.405,-6.243,3.039
79.68027,32.917,-101.113,79.067,-31.76,35.405,-16.807,-30.301,-8.175,-39.71,-8.49,12.44,3.245
79.76086,35.045,-78.086,78.644,-1.186,42.273,-20.807,-31.914,9.45,-25.53,-21.613,5.769,7.248
80.10281,34.875,-73.315,71.522,-9.643,49.743,-20.972,-32.735,1.799,-19.307,-20.34,-1.466,9.37
80.25356,33.424,-87.724,28.582,30.222,36.333,-18.878,-40.37,10.604,-18.155,-15.292,-23.855,13.688
80.96091,31.805,-108.734,-1.437,-53.476,-4.71,-22.497,-11.766,3.647,-7.826,5.153,3.535,13.215
81.36508,32.513,-81.995,-12.993,-38.0,-11.729,-32.714,-15.209,33.749,-9.673,-5.846,7.8,14.509
81.89302,30.696,-148.495,-23.553,-49.617,39.871,-32.835,-42.915,-2.92,7.867,-12.762,7.459,20.484
82.16485,31.761,-113.392,-28.642,-42.551,41.798,-38.774,-65.95,-13.773,10.604,-8.931,3.613,16.339
82.28063,33.594,-111.436,-7.221,-57.937,48.723,-19.292,-46.496,-2.27,13.579,-13.754,15.903,19.132
82.48912,34.523,-76.512,-6.48,-40.344,44.531,-27.822,-47.411,0.602,14.9,-17.597,8.678,24.649
82.6683,34.042,-61.939,8.687,-36.682,55.61,-31.328,-43.301,-4.986,16.539,-11.669,6.287,32.775
82.8771,34.191,-40.429,21.819,-11.172,59.314,-36.576,-61.672,-14.439,7.978,-2.104,13.752,16.463
83.23143,33.349,-36.8,29.339,-13.036,63.834,-16.479,-65.396,-12.033,3.001,-1.588,4.156,7.954
83.51569,32.477,-56.697,1.355,-17.75,30.76,-33.125,-46.816,-10.761,3.027,2.668,-2.973,9.146
83.82122,30.394,-92.365,-28.714,-21.398,12.884,-44.839,-35.99,-15.761,4.82,6.093,-2.247,1.979
84.12467,29.301,-149.392,-25.456,-48.995,24.68,-42.121,-10.663,-6.693,21.866,0.639,3.271,17.603
84.3005,30.418,-175.601,-8.249,-32.833,26.672,-29.861,0.074,2.13,2.071,3.331,-5.867,11.667
84.48113,29.387,-130.256,-30.359,-16.42,31.445,-34.263,-22.851,5.005,14.484,-14.665,-12.847,6.286
84.77152,27.766,-110.717,26.05,-75.877,64.171,-1.273,-23.366,3.732,10.933,-17.995,3.107,10.73
85.06522,34.158,-156.923,4.346,-80.66,36.792,-23.728,-37.094,-12.35,-5.129,-5.723,15.119,6.934
85.2873,35.782,-155.028,-30.427,4.772,39.599,-19.23,-53.33,-16.681,7.058,-24.979,-17.143,9.14
85.88322,32.529,-221.218,41.206,-38.396,73.689,-35.632,-23.78,14.558,7.23,14.621,22.853,-7.483
86.10481,33.853,-149.251,18.724,0.504,53.904,-27.245,-35.307,-5.815,18.503,-11.026,-19.007,0.868
86.33161,32.392,-119.484,62.559,65.253,65.917,-39.087,5.086,46.751,21.53,5.076,11.399,-15.621
87.09256,26.84,19.184,93.638,-9.968,40.117,-21.202,-5.926,-17.442,-6.086,11.464,-22.278,1.788
87.2542,27.167,-57.926,64.244,-4.48,35.451,-20.033,-23.07,-6.174,-6.327,-10.214,-12.094,-14.294
87.64916,26.465,-109.435,71.851,-15.986,31.542,-25.55,21.036,2.089,-11.507,12.989,-0.784,-16.182
87.83574,27.935,-52.085,84.905,13.632,22.527,-9.704,-11.78,9.987,-21.802,-18.105,-19.089,-16.033
88.24213,25.507,-132.545,17.549,-32.062,40.838,-25.913,-20.229,-9.259,-16.357,-9.594,0.346,2.158
88.43315,29.041,-191.618,6.781,-78.436,38.938,-27.884,-34.183,-16.096,-22.535,-1.074,11.39,1.374
88.68227,33.001,-155.584,25.505,-23.174,24.715,-19.855,-45.097,39.737,-19.008,-28.868,20.338,-1.748
89.26395,31.58,-62.606,36.915,-23.267,47.291,-15.43,-51.296,2.821,-8.123,-7.689,1.18,13.591
89.45429,30.719,-122.441,-26.974,11.31,19.293,-33.791,-35.015,-20.559,-5.848,-1.394,-26.713,6.21
90.24594,24.487,-129.738,1.427,-82.099,46.217,11.161,-20.452,-17.057,12.409,7.568,-9.338,-18.756
