start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,24.143,-91.242,-53.766,-55.101,-26.093,-1.308,-39.494,-18.414,1.942,3.193,21.614,-21.212
0.28068,26.467,-129.755,-76.145,-63.652,-41.414,-28.463,-36.334,-27.917,6.79,8.622,-17.871,-19.295
0.58168,26.913,-144.917,-54.494,-71.722,-22.195,-32.462,-45.731,19.271,9.984,-5.668,8.137,-14.757
0.7556,26.794,-110.329,-39.983,-23.345,-35.716,-36.476,-27.281,-8.144,-8.746,-4.077,-12.866,-6.521
1.0541,28.669,-155.596,-77.208,-72.006,-15.441,-40.53,-36.125,-43.079,4.192,33.021,-8.619,-3.652
1.34136,29.337,-158.191,-88.143,-23.745,-19.302,-48.968,-48.142,22.85,23.03,2.191,14.256,-13.186
1.8961,27.054,-169.035,-72.953,-72.796,-15.425,-24.063,-27.262,-29.708,4.07,21.843,-11.298,-5.81
2.1961,28.172,-181.828,-77.646,-47.125,-11.134,-20.869,-39.21,24.303,13.27,-15.975,-17.794,-10.804
2.47737,25.443,-154.993,-79.35,-76.079,-14.344,-42.202,-19.626,0.656,12.379,-0.045,-8.125,-12.095
2.7673,24.914,-161.891,-77.204,-39.687,-10.198,-49.394,-36.307,23.426,3.55,2.185,0.031,-12.499
3.10073,25.829,-147.545,-65.011,-45.573,-15.21,-1.67,-29.679,1.459,-15.809,-20.026,-30.359,-12.243
3.43601,25.621,-41.378,-75.173,20.918,-16.948,-14.444,-24.231,-64.14,11.653,-11.789,19.132,2.528
3.72458,25.59,-64.792,-58.113,-11.949,-26.12,19.631,-13.698,-57.328,2.353,-18.732,-3.043,-13.562
4.01918,24.884,-156.588,-62.353,-66.947,-11.459,-36.075,-33.787,-10.064,-6.677,-6.525,-3.712,-11.593
4.17755,26.809,-67.031,-76.067,11.023,-21.471,-5.839,-38.765,-42.469,15.673,-23.156,13.74,-9.681
4.58168,24.456,-88.031,-26.284,-87.332,-22.284,-3.155,-23.275,5.081,-2.967,-20.162,-26.82,-15.166
4.80599,25.041,-175.363,-70.412,-69.665,-4.889,-39.685,-29.114,-11.194,-9.192,4.576,0.064,-11.655
4.89179,26.989,-181.7,-84.662,-73.189,4.662,-22.552,-26.575,-3.397,11.368,-18.592,-17.189,-3.354
5.54354,31.041,-118.452,-72.921,58.563,-43.755,-41.948,-34.781,-50.973,-49.045,0.783,-0.885,-13.747
5.83261,30.624,-93.341,-119.468,5.897,-17.379,6.209,-34.418,-85.269,29.919,-20.074,20.515,-16.573
6.10667,30.245,-121.519,-76.252,-40.001,-26.664,35.678,-38.897,5.982,15.33,-61.79,-38.264,-19.949
6.36177,32.284,-90.225,-17.962,-6.011,-40.281,18.962,-9.71,-18.058,-38.85,-29.247,-47.857,-6.721
