start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.39569,28.801,106.264,-3.142,119.706,62.257,83.449,-62.392,10.684,-47.52,44.93,80.287,-21.165
0.5922,21.318,119.768,12.491,33.542,58.505,4.665,-43.223,-16.398,-18.084,-12.235,-1.829,-8.202
0.72612,26.762,100.086,-51.601,86.995,10.329,-71.298,-46.283,8.922,-29.929,8.792,-0.766,9.448
0.89977,31.103,99.141,-20.224,118.597,30.765,-15.632,-82.524,17.2,-31.078,9.364,-10.625,-16.346
1.23061,20.011,109.289,10.151,49.19,31.698,-78.513,-33.161,-12.022,-23.397,19.371,-8.185,6.151
1.35229,31.954,97.608,-23.666,105.012,26.668,-15.545,-68.323,18.852,-24.441,13.044,-1.575,-24.12
1.64263,22.818,106.339,-26.979,80.707,28.417,-55.926,-39.25,-0.199,-20.68,20.893,2.325,2.492
1.8219,20.555,112.801,-26.771,70.391,17.156,-42.834,-25.205,-9.778,-19.192,28.33,-9.24,7.805
1.96177,32.116,86.081,-9.562,42.867,44.242,41.092,-61.424,-4.635,-33.789,28.985,-20.748,-18.821
2.11909,23.078,94.041,-7.496,39.933,30.999,-11.971,-50.849,-9.673,-24.273,-20.091,-1.276,-19.462
2.28209,21.453,117.421,-10.468,74.903,22.868,-55.093,-26.489,-5.748,-35.925,11.178,-4.288,13.432
2.4322,30.949,89.864,-26.004,108.833,27.076,-8.826,-70.605,25.946,-31.519,13.314,-5.097,-14.386
2.74599,22.051,100.079,-20.113,38.64,26.894,-47.651,-29.126,-10.576,-33.357,10.97,11.131,1.6
2.87941,32.458,79.709,-26.103,101.121,29.598,-36.137,-71.765,22.55,-30.377,5.434,-10.393,-20.127
3.16943,22.893,109.308,-34.04,58.579,49.276,4.522,-39.608,7.596,-25.339,5.789,3.065,-1.421
3.34408,29.017,83.294,-32.073,102.805,35.438,-13.274,-65.42,18.269,-39.402,23.333,-1.016,-13.152
3.6624,22.215,87.75,-38.776,50.892,29.347,-32.159,-13.455,-13.48,-27.671,27.352,8.121,4.072
3.77868,29.256,78.067,-29.696,25.389,48.498,87.466,-44.454,-3.757,-24.639,25.058,-14.103,-16.037
3.97075,22.822,111.995,7.031,46.968,31.413,-59.597,-51.889,-19.741,-32.107,9.26,-8.547,-0.572
4.09324,22.756,115.84,-46.104,73.931,23.311,11.622,-37.353,-1.97,-20.685,5.108,21.473,-5.71
4.28259,20.744,106.904,-8.891,55.404,40.855,-58.4,-48.131,-0.444,-34.853,13.961,-5.756,-2.809
4.41179,30.968,86.37,-47.77,118.124,17.984,-32.803,-59.453,34.421,-25.628,15.964,13.627,-15.116
4.71946,19.214,119.141,-21.414,61.582,26.85,-45.708,-37.582,-18.339,-24.519,10.403,-9.685,9.502
4.88785,28.963,85.688,-33.476,84.127,16.058,-2.409,-64.014,19.767,-42.995,21.949,-13.426,-10.07
5.19501,38.582,-52.995,35.452,-11.979,1.309,23.393,28.115,0.582,-30.921,14.249,50.392,-10.181
5.34649,42.271,-61.564,13.682,-9.509,19.097,-15.623,17.641,-44.545,-42.56,32.908,-25.482,9.8
5.65274,38.777,-127.247,-11.555,4.487,7.578,-48.379,45.35,-28.012,-19.974,-3.564,8.503,22.569
5.84576,37.805,-105.207,-39.797,10.37,40.038,-50.671,11.347,-1.964,-11.421,9.909,-25.79,15.216
6.16494,39.131,-157.844,-12.327,-41.945,58.085,-20.532,32.674,-35.676,-26.361,53.459,-2.457,8.459
6.30322,40.026,-66.225,-61.045,28.422,64.299,-69.533,-22.419,-1.004,5.107,-5.498,-17.898,5.565
6.42036,37.201,-163.904,1.778,-25.007,66.495,-38.45,17.948,13.746,-2.943,16.204,2.808,2.576
6.80299,37.18,-151.255,23.585,10.077,83.999,-70.647,-4.664,-39.947,-8.748,21.221,-3.06,14.248
6.93637,39.61,-72.214,43.144,37.468,107.959,-50.726,18.094,-41.769,-1.322,-0.673,-0.622,-0.549
7.11161,36.43,-131.981,-21.69,28.256,82.794,-70.62,21.502,-22.831,-0.955,4.972,-0.727,5.263
7.26281,34.004,-158.328,-20.395,-3.158,76.971,-60.591,17.24,-30.612,-5.238,11.275,-14.854,8.323
7.43152,37.764,-61.949,-9.122,-17.728,58.579,-53.798,-12.719,-73.816,-22.183,29.173,-10.706,-7.619
7.5751,36.465,-85.404,-50.593,49.398,100.467,-58.647,-10.338,-0.7,8.671,-2.1,-8.352,12.206
7.74884,38.536,-149.11,27.315,32.699,81.55,-14.324,20.494,-22.814,-12.837,25.609,7.145,5.256
7.89519,35.414,-79.601,-91.795,15.91,19.173,-98.46,-42.707,-49.667,-9.733,20.141,-31.337,-1.97
8.06884,32.862,-100.028,-129.551,-20.556,26.975,-49.789,-23.645,-41.521,-1.724,10.391,-0.593,2.689
8.20753,32.017,-71.262,-149.403,-23.905,36.427,-48.154,-34.268,-43.334,9.728,10.104,-4.314,4.605
8.39048,33.851,-53.769,-106.966,-3.18,-1.241,-52.13,-39.207,-44.761,-19.159,35.728,-34.809,3.675
8.70331,29.545,-58.912,-73.013,-12.003,31.146,-69.677,-35.61,-35.531,7.43,23.427,-0.973,-8.323
8.83546,32.68,19.493,-65.698,22.914,27.949,-13.358,-57.748,-14.151,-21.149,3.627,-26.384,-20.564
9.00948,29.126,-19.836,-94.9,-36.656,14.93,-33.258,-21.917,-48.729,-22.348,36.136,-9.749,3.953
9.15855,29.456,-43.727,-101.949,-7.711,5.271,-77.722,-25.158,-39.753,-5.917,38.706,-26.054,5.972
9.34,28.352,-22.901,-104.249,-9.098,8.772,-65.996,-24.622,-37.551,-4.827,21.813,-11.842,-2.814
