start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.44458,22.576,48.239,133.414,-245.953,49.021,82.091,29.37,-38.733,-23.752,78.077,44.482,-20.554
0.80104,43.205,48.535,77.041,-12.048,19.228,-27.818,-4.887,-7.513,1.705,10.099,-6.964,-22.052
0.98544,46.487,-1.3,38.242,-37.149,3.982,-24.222,-9.729,4.011,-6.026,-1.311,-4.318,1.127
1.3761,47.245,-5.661,44.011,-18.242,15.004,-24.518,-21.133,-0.843,6.659,-4.703,4.497,-12.238
1.81111,48.607,14.353,64.491,-16.881,11.331,-23.416,-26.61,8.252,-5.154,2.051,-1.702,-8.766
2.24662,49.043,19.637,39.99,-3.746,-18.443,-32.847,-29.89,-10.52,-17.152,-2.341,-8.42,11.736
2.52472,48.886,23.437,40.957,-33.482,-5.975,-21.766,-42.912,3.961,-15.697,-12.701,-1.961,9.23
2.69338,48.272,26.895,44.749,2.792,17.585,-20.444,-34.088,-5.857,-5.381,-9.343,-1.026,-6.462
3.1117,47.03,48.013,71.863,-22.415,8.48,-32.202,-30.589,7.719,-9.273,1.627,1.595,-6.27
3.23311,47.478,34.751,62.157,13.744,27.878,-28.007,-31.328,7.977,-2.784,5.482,-3.242,0.104
3.47265,46.599,53.877,57.341,-11.457,-1.949,-32.939,-31.927,-0.136,-15.435,1.231,2.503,7.157
3.97565,47.799,30.159,56.871,7.02,24.466,-1.326,-37.116,-1.835,-4.622,-9.513,-11.076,0.665
4.14422,46.675,51.318,66.021,-18.525,16.623,-21.055,-36.056,7.013,-2.197,-1.137,4.991,2.151
4.26649,46.793,44.921,54.818,26.162,-2.642,-22.945,-33.916,-6.817,-15.617,-14.845,7.647,-1.165
4.7898,45.619,30.764,61.71,-21.311,-2.803,-18.927,-40.918,-2.323,-20.165,-8.448,3.279,3.948
5.31787,47.151,42.997,48.235,-20.264,16.02,-11.8,-40.128,0.117,-5.242,-8.847,-8.549,-12.072
6.2985,46.346,59.872,59.164,-28.334,-0.161,-24.323,-26.467,-11.563,-23.105,-11.248,7.27,2.534
6.46118,48.885,72.679,70.801,6.151,23.598,-18.57,-46.255,-15.259,-4.949,-2.686,7.543,-12.555
6.92526,47.166,59.122,97.698,-4.69,22.085,-13.173,-50.046,8.45,-22.139,-7.503,-13.488,-17.226
7.47655,45.62,97.982,104.419,-1.078,18.921,-12.072,-46.273,5.75,-18.226,-23.022,-0.575,-24.266
7.68594,45.689,98.692,97.116,21.353,7.756,-29.037,-56.561,-7.993,-36.142,-3.107,-12.046,-18.88
8.45211,44.721,69.65,52.973,-19.2,-16.379,-23.252,-49.928,-4.092,-34.611,16.23,-5.589,1.38
8.98141,43.988,61.123,83.457,-7.726,24.212,-22.092,-74.507,0.758,-22.69,-3.565,4.8,-22.424
9.26481,40.113,69.008,62.25,61.678,4.629,-7.816,-44.746,7.605,-25.717,-4.235,-51.127,-13.133
10.97125,35.639,-1.189,107.549,-223.52,68.023,97.916,3.321,-9.926,-5.792,32.389,-5.93,-28.109
11.47619,45.115,12.306,73.78,32.648,86.321,-13.549,-50.879,8.012,-1.22,7.235,-50.704,-19.693
11.85909,36.526,16.266,-17.505,0.515,84.086,-46.19,-34.724,74.618,-33.576,-16.447,5.512,-12.0
12.16853,43.627,-13.763,28.601,23.15,66.577,16.992,-53.043,27.781,-2.949,8.849,-20.077,-22.39
12.54313,39.28,-76.082,-0.229,-31.973,90.286,0.505,-16.465,1.191,-0.398,5.948,-15.843,7.823
13.0615,33.066,-133.104,-67.603,36.239,98.394,-59.042,-20.16,-6.6,1.582,-4.939,-15.833,10.703
13.47193,27.196,-115.962,-69.177,-33.731,61.78,-47.207,-38.481,2.747,25.013,-5.44,2.133,8.422
13.69773,26.849,118.731,-113.117,-56.677,120.686,-57.426,1.657,4.824,-33.41,-47.684,6.79,-5.65
13.84544,37.62,-45.56,34.298,70.395,89.269,23.367,-25.335,27.921,-10.283,-11.782,-42.753,-30.705
14.17578,35.15,-83.002,18.699,31.417,73.162,45.05,-13.114,-13.156,-27.303,2.527,-14.163,-25.814
14.48422,33.869,-75.62,30.087,-35.147,29.799,11.482,-40.355,-6.121,-33.847,-34.073,27.795,-15.818
14.60032,37.242,-95.364,62.406,19.089,74.064,18.479,-11.827,0.727,-27.872,-6.832,-41.862,-17.005
14.80889,31.678,-58.617,-53.33,44.427,39.132,-43.455,-43.521,8.033,-9.34,-27.638,-21.141,11.064
15.05995,30.915,-80.932,-24.619,-43.313,57.773,21.075,-24.096,3.904,19.22,12.928,18.457,-7.573
15.15778,33.704,-59.607,11.889,-23.388,63.97,-7.679,10.831,14.174,20.261,-4.747,-13.364,11.27
15.66227,28.629,-136.137,-64.252,8.031,46.299,-42.153,-26.201,-20.553,-21.349,-0.923,-14.279,0.435
16.03234,24.377,-203.237,-30.721,-17.989,79.472,-31.135,-22.239,13.511,-16.709,7.129,-7.309,-9.047
16.35796,23.116,-126.785,-23.656,5.9,77.163,-28.416,-45.51,6.683,-18.759,-8.784,-11.337,-3.994
16.79456,21.873,-100.61,32.262,21.673,69.62,-14.528,-56.29,19.085,-15.151,-15.367,-6.527,-0.274
17.20649,22.708,148.468,-58.988,-70.869,145.825,24.482,-61.841,-1.946,45.255,-73.297,-0.319,10.123
17.36172,37.356,-15.028,31.188,-128.262,73.086,68.297,-18.846,-14.591,-13.475,-29.035,14.583,3.786
17.63533,42.316,-36.738,42.577,2.802,88.752,10.07,-4.216,10.465,21.312,-30.566,-33.822,28.548
18.24558,30.896,-59.056,-3.393,-27.931,52.005,-22.018,-37.345,-30.445,11.237,8.634,-27.607,36.364
18.47705,31.996,-66.244,-22.672,-22.033,82.016,-29.212,-34.602,-49.03,-0.691,37.108,-56.446,35.913
19.22136,26.822,-170.386,-45.728,-42.156,78.743,-45.28,0.391,7.426,-7.801,-10.565,-9.287,9.758
19.37823,26.416,-143.523,-60.846,-66.489,67.517,-27.228,-29.827,7.919,23.321,-4.049,-9.327,11.814
19.52277,25.721,-154.994,-40.223,-64.556,71.743,-36.833,-20.6,1.997,11.662,-8.149,-8.663,4.772
19.64227,27.805,101.942,-130.067,-47.56,132.682,-22.275,-20.042,-1.623,23.166,-61.325,-0.685,7.918
19.85909,33.259,-56.45,-53.233,34.511,64.219,16.752,-89.878,10.127,14.577,-3.32,-29.376,6.334
20.07388,23.517,36.61,-55.544,-1.021,45.516,-60.138,-58.12,-35.539,-5.102,5.261,-13.468,-5.985
20.1781,33.454,-68.597,39.649,-50.43,66.22,46.522,-18.741,-11.484,-17.48,16.338,11.612,-23.506
20.44621,33.681,-144.155,-44.224,-66.68,66.822,-35.01,-55.028,1.53,21.901,-17.043,10.542,20.129
20.60059,35.874,-42.528,-53.476,-54.627,69.513,-4.013,-83.614,45.134,41.272,-11.7,-7.796,18.427
21.04753,34.673,-49.756,-0.775,57.455,60.214,27.671,-47.928,-1.955,-8.639,25.701,-10.696,-10.23
21.34621,31.007,-87.514,4.587,-91.795,88.278,-4.581,-23.769,17.388,-10.218,9.19,-17.112,10.861
22.20376,30.982,-158.818,-16.66,-22.393,30.381,-51.265,-34.382,-23.827,-27.522,15.086,2.069,6.524
22.31932,29.955,-189.202,-33.665,25.723,42.765,-61.078,-25.951,16.711,-7.315,-2.859,-9.99,6.744
22.89615,27.466,-153.739,-17.128,-77.18,27.796,-27.21,-27.978,-12.255,-18.647,-25.444,15.782,-4.367
23.01533,27.593,-135.951,-13.317,57.019,80.188,-49.939,-41.068,5.767,-16.897,-18.519,0.263,-0.842
23.70757,36.509,-74.781,26.202,21.429,38.942,15.211,-41.859,-28.069,-15.86,-24.427,4.083,1.989
23.96299,35.826,36.61,-28.735,-67.81,124.506,-31.839,-34.346,2.14,-18.249,-53.648,16.149,6.178
24.09673,45.912,-51.27,55.305,-6.006,86.293,1.261,-14.638,21.592,-7.271,-16.877,-16.623,3.734
24.83456,46.37,-4.246,77.247,-50.703,98.484,17.375,4.291,7.85,-22.6,4.861,18.552,19.544
25.06005,48.19,13.465,73.613,35.442,69.438,-25.254,-18.645,-8.002,-0.476,-2.392,1.238,31.837
25.43873,41.684,-23.635,-9.846,34.146,48.69,-20.11,-61.528,-35.385,-11.501,-4.409,-29.567,10.019
25.58907,37.236,-60.373,-31.225,19.035,33.89,-26.08,-61.407,-41.761,3.852,-7.892,3.185,20.278
25.70971,36.278,-87.447,-20.623,-16.33,32.193,-11.695,-56.488,-34.184,-0.308,-12.815,11.165,5.933
25.87302,37.773,26.143,-20.021,-41.718,81.069,-51.057,-78.943,-66.811,-4.783,30.99,-0.782,13.538
25.9361,40.168,52.596,-47.591,41.22,90.9,-33.017,-96.864,28.156,8.896,-25.047,-1.966,15.491
26.21456,40.77,-35.213,25.555,-35.785,86.808,51.636,-75.028,8.286,13.613,-16.301,-37.393,1.965
26.44086,38.253,6.847,11.691,-76.015,91.752,-18.722,-62.644,71.192,-33.287,7.983,-2.944,8.379
26.761,38.294,35.068,-38.122,-7.181,107.276,-40.378,-45.282,-49.675,-49.634,8.008,-11.062,5.041
26.84816,42.306,-43.369,47.926,22.491,56.58,-19.057,-56.2,6.548,-20.151,22.555,-24.463,-1.285
27.06698,37.5,-87.373,-49.004,-61.151,38.096,-22.163,-52.432,5.869,16.645,-1.876,18.01,3.525
27.29465,38.305,-79.995,-2.998,20.329,77.727,-15.852,-6.316,9.744,2.781,-4.348,-37.704,-0.594
28.1722,26.654,-55.964,-45.145,-36.279,46.835,-32.78,-33.817,2.492,-28.213,-2.491,-13.642,-24.236
28.28803,24.682,-131.952,3.142,27.524,45.417,-26.577,-48.737,9.854,-34.036,-2.653,-16.61,-12.197
28.80385,33.49,-64.064,70.885,-136.943,95.039,83.303,55.182,18.616,-12.248,-5.909,-0.83,4.898
29.19401,40.221,-33.85,0.228,-42.811,43.332,-8.844,-1.356,-12.846,-4.595,8.694,10.639,-19.434
29.91832,38.344,-46.434,-1.12,5.567,47.61,-35.499,-7.653,14.995,-15.055,-14.205,-27.172,-38.716
30.58,33.266,-79.7,-43.568,-28.311,69.298,-52.468,-27.435,8.775,-34.231,-3.569,-0.857,-27.256
30.82367,30.067,-73.355,-67.909,-30.402,79.025,-37.001,-25.793,7.086,-34.716,-14.401,-26.086,-33.819
30.982,28.82,-58.557,-63.061,-30.936,70.442,-24.264,-25.303,3.464,-27.376,-4.762,-4.713,-36.766
31.15007,26.256,-78.011,-75.609,-12.883,67.61,-62.479,-31.157,17.586,-21.304,-16.38,-8.814,-31.819
31.2815,25.122,-48.989,-52.607,-34.208,48.481,-19.695,-36.492,6.86,-16.402,1.049,5.279,-30.574
31.56227,32.232,-55.296,-2.979,-93.425,74.485,0.145,-56.722,-18.764,-11.461,47.745,21.205,-2.187
31.77129,35.594,-89.0,-33.466,-14.964,66.276,-21.494,-59.482,-40.149,13.273,2.996,-24.501,14.767
32.08308,33.888,-84.954,-6.025,-12.228,54.895,-45.647,-40.868,10.244,-9.454,-37.857,15.371,8.704
32.31048,32.503,-61.865,20.023,-32.051,35.943,-32.766,-20.941,9.309,-33.258,-7.089,9.051,6.024
32.53823,34.495,-87.829,-3.403,-23.414,62.065,-21.764,-54.612,-7.567,12.727,1.196,-7.75,0.377
